path,num_obstacles,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mm_ci_lo,mm_ci_hi,rare_miss_rate,rare_ci_lo,rare_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
S-curve,1,Base,0.390000,0.360245,0.420597,0.748613,0.745284,0.751913,0.846810,0.842722,0.850812,1.1194,0.2561,0.9142,0.985,1000
S-curve,1,WDRO-sampling,0.193000,0.169733,0.218617,0.041449,0.039696,0.043276,0.036802,0.034356,0.039415,1.1185,0.3479,0.9575,1.156,1000
S-curve,1,WDRO-inject-K1,0.194000,0.170681,0.219661,0.000000,0.000000,0.000081,0.000000,0.000000,0.000179,1.1122,0.3559,0.9577,1.137,1000
S-curve,1,TopRisk-K1,0.195000,0.171630,0.220705,0.000000,0.000000,0.000081,0.000000,0.000000,0.000177,1.1038,0.3734,0.9574,1.126,1000
S-curve,1,TopRisk-K2,0.175000,0.152705,0.199782,0.000000,0.000000,0.000081,0.000000,0.000000,0.000178,1.1149,0.3755,0.9577,1.145,1000
S-curve,2,Base,0.562000,0.531070,0.592456,0.731773,0.729079,0.734451,0.828952,0.825569,0.832282,0.8929,0.2125,0.9451,1.093,1000
S-curve,2,WDRO-sampling,0.147000,0.126404,0.170298,0.026161,0.025154,0.027207,0.026025,0.024566,0.027568,1.1556,0.4146,0.9580,1.296,1000
S-curve,2,WDRO-inject-K1,0.142000,0.121734,0.165006,0.000000,0.000000,0.000042,0.000000,0.000000,0.000092,1.1307,0.4569,0.9584,1.327,1000
S-curve,2,TopRisk-K1,0.156000,0.134831,0.179802,0.000000,0.000000,0.000041,0.000000,0.000000,0.000090,1.1307,0.4169,0.9582,1.283,1000
S-curve,2,TopRisk-K2,0.178000,0.155537,0.202927,0.000000,0.000000,0.000041,0.000000,0.000000,0.000090,1.1214,0.3868,0.9580,1.324,1000
S-curve,3,Base,0.590000,0.559228,0.620083,0.729121,0.726781,0.731448,0.843394,0.840564,0.846182,0.7994,0.1778,0.9576,1.300,1000
S-curve,3,WDRO-sampling,0.160000,0.138585,0.184017,0.021156,0.020407,0.021932,0.018451,0.017429,0.019531,1.1177,0.4036,0.9577,1.636,1000
S-curve,3,WDRO-inject-K1,0.142000,0.121734,0.165006,0.000000,0.000000,0.000028,0.000000,0.000000,0.000062,1.1148,0.4717,0.9582,1.627,1000
S-curve,3,TopRisk-K1,0.138000,0.118004,0.160766,0.000000,0.000000,0.000028,0.000000,0.000000,0.000061,1.1246,0.4133,0.9580,1.591,1000
S-curve,3,TopRisk-K2,0.136000,0.116142,0.158644,0.000000,0.000000,0.000028,0.000000,0.000000,0.000061,1.1172,0.3846,0.9580,1.559,1000
Tight-S,1,Base,0.804000,0.778252,0.827421,0.723467,0.718750,0.728135,0.864963,0.859574,0.870177,0.6165,0.2034,0.9569,0.929,1000
Tight-S,1,WDRO-sampling,0.089000,0.072888,0.108258,0.048001,0.045923,0.050169,0.053695,0.050467,0.057116,1.1688,0.5056,0.9572,1.062,1000
Tight-S,1,WDRO-inject-K1,0.098000,0.081082,0.117995,0.000000,0.000000,0.000099,0.000000,0.000000,0.000218,1.1258,0.4635,0.9572,1.145,1000
Tight-S,1,TopRisk-K1,0.084000,0.068359,0.102825,0.000000,0.000000,0.000099,0.000000,0.000000,0.000216,1.1531,0.5230,0.9573,1.143,1000
Tight-S,1,TopRisk-K2,0.093000,0.076523,0.112592,0.000000,0.000000,0.000099,0.000000,0.000000,0.000216,1.1359,0.4477,0.9572,1.154,1000
Tight-S,2,Base,0.922000,0.903717,0.937053,0.714799,0.711383,0.718192,0.846179,0.842108,0.850163,0.5225,0.2085,0.9569,1.099,1000
Tight-S,2,WDRO-sampling,0.082000,0.066552,0.100648,0.023854,0.022809,0.024945,0.025377,0.023796,0.027060,1.1938,0.5290,0.9573,1.247,1000
Tight-S,2,WDRO-inject-K1,0.086000,0.070168,0.105000,0.000000,0.000000,0.000050,0.000000,0.000000,0.000111,1.1344,0.5271,0.9572,1.365,1000
Tight-S,2,TopRisk-K1,0.083000,0.067455,0.101737,0.000000,0.000000,0.000049,0.000000,0.000000,0.000109,1.1637,0.5409,0.9573,1.371,1000
Tight-S,2,TopRisk-K2,0.097000,0.080169,0.116916,0.000000,0.000000,0.000049,0.000000,0.000000,0.000110,1.1412,0.4852,0.9573,1.284,1000
Tight-S,3,Base,0.935000,0.917994,0.948676,0.711890,0.709095,0.714669,0.843841,0.840453,0.847171,0.5145,0.1847,0.9566,1.189,1000
Tight-S,3,WDRO-sampling,0.098000,0.081082,0.117995,0.015216,0.014531,0.015934,0.016407,0.015364,0.017519,1.1673,0.4172,0.9570,1.595,1000
Tight-S,3,WDRO-inject-K1,0.081000,0.065649,0.099558,0.000000,0.000000,0.000033,0.000000,0.000000,0.000073,1.1464,0.5342,0.9567,1.702,1000
Tight-S,3,TopRisk-K1,0.101000,0.083824,0.121230,0.000000,0.000000,0.000033,0.000000,0.000000,0.000074,1.1369,0.4706,0.9572,1.576,1000
Tight-S,3,TopRisk-K2,0.099000,0.081995,0.119074,0.000000,0.000000,0.000033,0.000000,0.000000,0.000074,1.1425,0.4431,0.9572,1.619,1000
