obstacle_speed,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mm_ci_lo,mm_ci_hi,rare_miss_rate,rare_ci_lo,rare_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
0.6,Base,0.972000,0.962369,0.979219,0.708421,0.704426,0.712385,0.841022,0.836191,0.845737,0.3767,0.1185,0.9559,0.804,1500
0.6,WDRO-inject-K1,0.344000,0.320386,0.368411,0.000000,0.000000,0.000057,0.000000,0.000000,0.000127,0.8750,0.1884,0.9575,0.993,1500
0.6,WDRO-sampling,0.334667,0.311236,0.358942,0.052435,0.050775,0.054146,0.023375,0.021757,0.025110,0.8912,0.1728,0.9575,0.999,1500
0.6,TopRisk-K1,0.336667,0.313195,0.360972,0.000000,0.000000,0.000057,0.000000,0.000000,0.000126,0.8788,0.1767,0.9576,0.996,1500
0.8,Base,0.974000,0.964655,0.980923,0.713860,0.709924,0.717764,0.828511,0.823613,0.833301,0.3893,0.0982,0.9566,0.797,1500
0.8,WDRO-inject-K1,0.240667,0.219713,0.262946,0.000000,0.000000,0.000061,0.000000,0.000000,0.000135,0.9916,0.2704,0.9577,0.977,1500
0.8,WDRO-sampling,0.262000,0.240375,0.284841,0.057853,0.056078,0.059680,0.049231,0.046809,0.051772,0.9865,0.1911,0.9576,0.975,1500
0.8,TopRisk-K1,0.258667,0.237142,0.281424,0.000000,0.000000,0.000060,0.000000,0.000000,0.000132,0.9770,0.2143,0.9579,0.979,1500
1.0,Base,0.829333,0.809459,0.847526,0.704322,0.700391,0.708223,0.836805,0.831983,0.841516,0.5995,0.1921,0.9568,0.809,1500
1.0,WDRO-inject-K1,0.084000,0.071003,0.099123,0.000000,0.000000,0.000066,0.000000,0.000000,0.000146,1.1480,0.5449,0.9572,0.919,1500
1.0,WDRO-sampling,0.111333,0.096397,0.128255,0.047895,0.046204,0.049644,0.051362,0.048785,0.054069,1.1666,0.4497,0.9572,0.938,1500
1.0,TopRisk-K1,0.090000,0.076545,0.105550,0.000000,0.000000,0.000066,0.000000,0.000000,0.000144,1.1531,0.5274,0.9573,0.916,1500
1.2,Base,0.520000,0.494698,0.545200,0.716240,0.712407,0.720042,0.854294,0.849742,0.858731,0.8556,0.2483,0.9572,0.807,1500
1.2,WDRO-inject-K1,0.052000,0.041864,0.064424,0.000000,0.000000,0.000071,0.000000,0.000000,0.000159,1.2299,0.7848,0.9569,0.869,1500
1.2,WDRO-sampling,0.048000,0.038289,0.060020,0.033774,0.032298,0.035316,0.038200,0.035887,0.040656,1.2853,0.8635,0.9568,0.856,1500
1.2,TopRisk-K1,0.061333,0.050275,0.074633,0.000000,0.000000,0.000071,0.000000,0.000000,0.000157,1.2298,0.5746,0.9567,0.866,1500
1.3,Base,0.320667,0.297531,0.344719,0.727438,0.723717,0.731128,0.870676,0.866490,0.874751,1.0765,0.3568,0.9566,0.798,1500
1.3,WDRO-inject-K1,0.064667,0.053299,0.078259,0.000000,0.000000,0.000071,0.000000,0.000000,0.000159,1.2701,0.4986,0.9571,0.866,1500
1.3,WDRO-sampling,0.044000,0.034734,0.055596,0.028414,0.027047,0.029849,0.025845,0.023916,0.027925,1.3183,1.0116,0.9570,0.861,1500
1.3,TopRisk-K1,0.040667,0.031788,0.051892,0.000000,0.000000,0.000072,0.000000,0.000000,0.000161,1.2953,0.9823,0.9570,0.854,1500
1.5,Base,0.128000,0.112038,0.145863,0.730890,0.727344,0.734407,0.844733,0.840434,0.848937,1.5062,0.5792,0.9537,0.796,1500
1.5,WDRO-inject-K1,0.018667,0.012946,0.026847,0.000000,0.000000,0.000072,0.000000,0.000000,0.000161,1.4955,1.1145,0.9574,0.830,1500
1.5,WDRO-sampling,0.018667,0.012946,0.026847,0.017365,0.016287,0.018513,0.014968,0.013509,0.016582,1.5063,1.1417,0.9575,0.826,1500
1.5,TopRisk-K1,0.019333,0.013494,0.027628,0.000000,0.000000,0.000072,0.000000,0.000000,0.000160,1.5067,1.1157,0.9574,0.825,1500
1.7,Base,0.038667,0.030030,0.049661,0.701357,0.698506,0.704191,0.743946,0.739968,0.747884,2.0178,0.9232,0.9006,0.849,1500
1.7,WDRO-inject-K1,0.007333,0.004100,0.013084,0.000000,0.000000,0.000073,0.000000,0.000000,0.000161,1.7453,1.2614,0.9579,0.819,1500
1.7,WDRO-sampling,0.006000,0.003160,0.011364,0.018455,0.017341,0.019639,0.017392,0.015806,0.019135,1.7351,1.2475,0.9580,0.819,1500
1.7,TopRisk-K1,0.010667,0.006576,0.017257,0.000000,0.000000,0.000072,0.000000,0.000000,0.000158,1.7730,1.2653,0.9579,0.822,1500
2.0,Base,0.002000,0.000680,0.005864,0.774184,0.772130,0.776226,0.871622,0.869208,0.873999,2.7596,1.6831,0.8174,0.931,1500
2.0,WDRO-inject-K1,0.000667,0.000118,0.003767,0.000000,0.000000,0.000073,0.000000,0.000000,0.000161,2.0934,1.3488,0.9580,0.818,1500
2.0,WDRO-sampling,0.000667,0.000118,0.003767,0.017504,0.016411,0.018668,0.014815,0.013342,0.016449,2.0709,1.3491,0.9581,0.810,1500
2.0,TopRisk-K1,0.002000,0.000680,0.005864,0.000000,0.000000,0.000073,0.000000,0.000000,0.000162,2.0968,1.3683,0.9581,0.812,1500
