path,obstacle_speed,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mm_ci_lo,mm_ci_hi,rare_miss_rate,rare_ci_lo,rare_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
S-curve,1.3,Base,0.220000,0.199766,0.241664,0.750196,0.747445,0.752926,0.862308,0.859053,0.865498,1.4317,0.3645,0.9197,0.835,1500
S-curve,1.3,WDRO-inject-K1,0.139333,0.122728,0.157781,0.000000,0.000000,0.000060,0.000000,0.000000,0.000131,1.1356,0.3384,0.9592,0.912,1500
S-curve,1.3,TopRisk-K1,0.152667,0.135354,0.171754,0.000000,0.000000,0.000059,0.000000,0.000000,0.000132,1.1122,0.3020,0.9591,0.914,1500
S-curve,1.5,Base,0.174667,0.156290,0.194706,0.758131,0.755430,0.760812,0.877504,0.874455,0.880488,1.5434,0.4596,0.9152,0.849,1500
S-curve,1.5,WDRO-inject-K1,0.132667,0.116435,0.150775,0.000000,0.000000,0.000061,0.000000,0.000000,0.000131,1.2742,0.3108,0.9588,0.898,1500
S-curve,1.5,TopRisk-K1,0.136667,0.120209,0.154981,0.000000,0.000000,0.000061,0.000000,0.000000,0.000135,1.2521,0.2884,0.9586,0.898,1500
S-curve,1.7,Base,0.099333,0.085205,0.115509,0.760478,0.757903,0.763034,0.879227,0.876336,0.882060,1.8293,0.6180,0.9017,0.842,1500
S-curve,1.7,WDRO-inject-K1,0.032000,0.024220,0.042171,0.000000,0.000000,0.000062,0.000000,0.000000,0.000137,1.5656,1.0412,0.9592,0.873,1500
S-curve,1.7,TopRisk-K1,0.037333,0.028861,0.048170,0.000000,0.000000,0.000062,0.000000,0.000000,0.000134,1.5541,1.0074,0.9594,0.877,1500
S-curve,2.0,Base,0.024000,0.017386,0.033046,0.775318,0.773157,0.777465,0.879699,0.877249,0.882107,2.4139,1.1700,0.8446,0.845,1500
S-curve,2.0,WDRO-inject-K1,0.134667,0.118321,0.152879,0.000000,0.000000,0.000058,0.000000,0.000000,0.000127,1.7210,0.2593,0.9559,0.919,1500
