obstacle_speed,path,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mm_ci_lo,mm_ci_hi,rare_miss_rate,rare_ci_lo,rare_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
0.8,Straight,Base,0.564000,0.533078,0.594433,0.737515,0.734042,0.740958,0.831010,0.826652,0.835281,0.8013,0.1339,0.9279,0.932,1000
0.8,Straight,WDRO-inject-K1,0.151000,0.130146,0.174525,0.000000,0.000000,0.000076,0.000000,0.000000,0.000164,1.0469,0.6251,0.9600,1.052,1000
0.8,Straight,TopRisk-K1,0.127000,0.107780,0.149075,0.000000,0.000000,0.000076,0.000000,0.000000,0.000168,1.0565,0.6343,0.9606,1.020,1000
0.8,Straight,WDRO-sampling,0.164000,0.142344,0.188228,0.045019,0.043258,0.046847,0.047659,0.045014,0.050452,1.0505,0.5730,0.9607,1.034,1000
0.8,S-curve,Base,0.744000,0.716052,0.770080,0.751777,0.748116,0.755402,0.862808,0.858504,0.867002,0.6942,0.1777,0.9389,0.941,1000
0.8,S-curve,WDRO-inject-K1,0.133000,0.113351,0.155458,0.000000,0.000000,0.000080,0.000000,0.000000,0.000174,1.0818,0.5090,0.9579,1.108,1000
0.8,S-curve,TopRisk-K1,0.121000,0.102223,0.142677,0.000000,0.000000,0.000080,0.000000,0.000000,0.000176,1.1006,0.5149,0.9578,1.106,1000
0.8,S-curve,WDRO-sampling,0.159000,0.137646,0.182964,0.045096,0.043287,0.046978,0.044843,0.042213,0.047629,1.0950,0.4577,0.9577,1.015,1000
0.8,Tight-S,Base,0.978000,0.966914,0.985427,0.709884,0.705040,0.714681,0.849977,0.844214,0.855564,0.3831,0.1010,0.9568,0.920,1000
0.8,Tight-S,WDRO-inject-K1,0.254000,0.227997,0.281886,0.000000,0.000000,0.000090,0.000000,0.000000,0.000197,0.9917,0.2227,0.9578,1.187,1000
0.8,Tight-S,TopRisk-K1,0.260000,0.233768,0.288069,0.000000,0.000000,0.000091,0.000000,0.000000,0.000201,0.9721,0.2026,0.9576,1.145,1000
