num_obstacles,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mm_ci_lo,mm_ci_hi,rare_miss_rate,rare_ci_lo,rare_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
1,Base,0.063000,0.049549,0.079795,0.762155,0.759063,0.765220,0.869850,0.866276,0.873341,2.0463,0.7399,0.9014,0.908,1000
1,WDRO-inject-K1,0.112000,0.093919,0.133050,0.000000,0.000000,0.000090,0.000000,0.000000,0.000194,1.2476,0.4329,0.9587,0.965,1000
1,WDRO-inject-K2,0.124000,0.105000,0.145878,0.000000,0.000000,0.000090,0.000000,0.000000,0.000197,1.2305,0.3960,0.9585,0.998,1000
1,TopRisk-K1,0.114000,0.095761,0.135193,0.000000,0.000000,0.000090,0.000000,0.000000,0.000197,1.2447,0.4170,0.9587,0.968,1000
1,TopRisk-K2,0.120000,0.101299,0.141609,0.000000,0.000000,0.000090,0.000000,0.000000,0.000196,1.2476,0.3994,0.9586,1.017,1000
2,Base,0.671000,0.641272,0.699419,0.729491,0.726608,0.732354,0.841853,0.838333,0.845311,0.7020,0.1247,0.9485,1.019,1000
2,WDRO-inject-K1,0.178000,0.155537,0.202927,0.000000,0.000000,0.000040,0.000000,0.000000,0.000087,1.0536,0.4879,0.9581,1.253,1000
2,WDRO-inject-K2,0.160000,0.138585,0.184017,0.000000,0.000000,0.000041,0.000000,0.000000,0.000088,1.0625,0.4459,0.9582,1.281,1000
2,TopRisk-K1,0.185000,0.162154,0.210257,0.000000,0.000000,0.000040,0.000000,0.000000,0.000087,1.0533,0.4404,0.9581,1.253,1000
2,TopRisk-K2,0.170000,0.147991,0.194535,0.000000,0.000000,0.000041,0.000000,0.000000,0.000089,1.0501,0.4547,0.9582,1.235,1000
3,Base,0.502000,0.471062,0.532923,0.720273,0.717760,0.722773,0.831423,0.828312,0.834489,0.9058,0.2655,0.9607,1.167,1000
3,WDRO-inject-K1,0.133000,0.113351,0.155458,0.000000,0.000000,0.000029,0.000000,0.000000,0.000063,1.1649,0.4251,0.9585,1.422,1000
3,WDRO-inject-K2,0.152000,0.131082,0.175581,0.000000,0.000000,0.000029,0.000000,0.000000,0.000063,1.1669,0.3747,0.9584,1.360,1000
3,TopRisk-K1,0.155000,0.133893,0.178747,0.000000,0.000000,0.000028,0.000000,0.000000,0.000062,1.1453,0.3478,0.9587,1.374,1000
3,TopRisk-K2,0.151000,0.130146,0.174525,0.000000,0.000000,0.000028,0.000000,0.000000,0.000062,1.1461,0.4253,0.9586,1.389,1000
