environment,method,seed,collision,min_clearance,progress
Oncoming,Base,3738707042,0,2.072602,0.9501
Oncoming,Base,3738707043,1,0.667114,0.9611
Oncoming,Base,3738707044,1,0.509372,0.9611
Oncoming,Base,3738707045,0,1.569036,0.9501
Oncoming,Base,3738707046,1,0.363171,0.9611
Oncoming,Base,3738707047,1,0.288393,0.9611
Oncoming,Base,3738707048,1,0.553536,0.9611
Oncoming,Base,3738707049,1,0.533907,0.9556
Oncoming,Base,3738707050,1,0.281038,0.9611
Oncoming,Base,3738707051,1,0.436263,0.9611
Oncoming,Base,3738707052,1,0.346226,0.9611
Oncoming,Base,3738707053,1,0.559921,0.9611
Oncoming,Base,3738707054,1,0.182422,0.9611
Oncoming,Base,3738707055,0,1.436823,0.9611
Oncoming,Base,3738707056,1,0.745325,0.9501
Oncoming,Base,3738707057,1,0.542175,0.9611
Oncoming,Base,3738707058,1,0.661104,0.9556
Oncoming,Base,3738707059,1,0.523507,0.9611
Oncoming,Base,3738707060,1,0.377568,0.9611
Oncoming,Base,3738707061,1,0.753984,0.9611
Oncoming,Base,3738707062,1,0.289100,0.9611
Oncoming,Base,3738707063,1,0.640603,0.9611
Oncoming,Base,3738707064,1,0.230796,0.9611
Oncoming,Base,3738707065,0,1.793970,0.9666
Oncoming,Base,3738707066,1,0.496306,0.9611
Oncoming,Base,3738707067,0,0.956407,0.9611
Oncoming,Base,3738707068,0,2.036143,0.9666
Oncoming,Base,3738707069,1,0.059689,0.9611
Oncoming,Base,3738707070,1,0.160169,0.9611
Oncoming,Base,3738707071,1,0.721677,0.9611
Oncoming,Base,3738707072,0,1.379573,0.9611
Oncoming,Base,3738707073,1,0.189684,0.9611
Oncoming,Base,3738707074,1,0.382677,0.9611
Oncoming,Base,3738707075,1,0.607400,0.9556
Oncoming,Base,3738707076,1,0.418323,0.9611
Oncoming,Base,3738707077,1,0.409484,0.9611
Oncoming,Base,3738707078,1,0.753627,0.9611
Oncoming,Base,3738707079,1,0.485988,0.9611
Oncoming,Base,3738707080,0,2.189492,0.9666
Oncoming,Base,3738707081,0,1.041164,0.9611
Oncoming,Base,3738707082,1,0.367662,0.9611
Oncoming,Base,3738707083,1,0.316640,0.9611
Oncoming,Base,3738707084,1,0.230298,0.9611
Oncoming,Base,3738707085,1,0.313443,0.9611
Oncoming,Base,3738707086,1,0.250551,0.9611
Oncoming,Base,3738707087,1,0.168612,0.9611
Oncoming,Base,3738707088,0,1.829634,0.5471
Oncoming,Base,3738707089,1,0.440720,0.9611
Oncoming,Base,3738707090,1,0.332782,0.9611
Oncoming,Base,3738707091,1,0.825424,0.9611
Oncoming,Base,3738707092,1,0.340955,0.9611
Oncoming,Base,3738707093,1,0.358880,0.9611
Oncoming,Base,3738707094,0,0.892569,0.9611
Oncoming,Base,3738707095,0,2.091518,0.9666
Oncoming,Base,3738707096,0,3.998950,0.5744
Oncoming,Base,3738707097,1,0.275132,0.9611
Oncoming,Base,3738707098,1,0.322570,0.9611
Oncoming,Base,3738707099,1,0.494740,0.9611
Oncoming,Base,3738707100,1,0.193892,0.9556
Oncoming,Base,3738707101,1,0.269980,0.9611
Oncoming,Base,3738707102,1,0.314481,0.9611
Oncoming,Base,3738707103,1,0.131438,0.9611
Oncoming,Base,3738707104,1,0.293172,0.9611
Oncoming,Base,3738707105,1,0.349628,0.9611
Oncoming,Base,3738707106,1,0.270069,0.9611
Oncoming,Base,3738707107,0,1.479415,0.5416
Oncoming,Base,3738707108,0,1.448535,0.9611
Oncoming,Base,3738707109,1,0.481159,0.9611
Oncoming,Base,3738707110,1,0.470919,0.9611
Oncoming,Base,3738707111,0,1.201559,0.9611
Oncoming,Base,3738707112,0,0.990991,0.9611
Oncoming,Base,3738707113,1,0.213752,0.9611
Oncoming,Base,3738707114,1,0.503663,0.9611
Oncoming,Base,3738707115,1,0.337551,0.9611
Oncoming,Base,3738707116,1,0.207753,0.9611
Oncoming,Base,3738707117,1,0.287333,0.9611
Oncoming,Base,3738707118,0,1.872803,0.9501
Oncoming,Base,3738707119,1,0.807678,0.9611
Oncoming,Base,3738707120,1,0.661341,0.9611
Oncoming,Base,3738707121,1,0.363873,0.9556
Oncoming,Base,3738707122,0,1.085148,0.9611
Oncoming,Base,3738707123,1,0.483789,0.9611
Oncoming,Base,3738707124,0,0.871850,0.9611
Oncoming,Base,3738707125,1,0.190349,0.9611
Oncoming,Base,3738707126,1,0.661707,0.9556
Oncoming,Base,3738707127,1,0.621307,0.9611
Oncoming,Base,3738707128,1,0.433058,0.9611
Oncoming,Base,3738707129,1,0.765684,0.9611
Oncoming,Base,3738707130,0,0.921900,0.9556
Oncoming,Base,3738707131,1,0.266935,0.9611
Oncoming,Base,3738707132,0,2.205619,0.9611
Oncoming,Base,3738707133,1,0.794689,0.9611
Oncoming,Base,3738707134,1,0.454525,0.9611
Oncoming,Base,3738707135,1,0.203226,0.9611
Oncoming,Base,3738707136,1,0.315203,0.9611
Oncoming,Base,3738707137,1,0.212630,0.9611
Oncoming,Base,3738707138,1,0.577630,0.9611
Oncoming,Base,3738707139,1,0.539273,0.9611
Oncoming,Base,3738707140,1,0.563758,0.9611
Oncoming,Base,3738707141,1,0.125523,0.9611
Oncoming,Base,3738707142,1,0.788644,0.9556
Oncoming,Base,3738707143,1,0.691098,0.9611
Oncoming,Base,3738707144,0,1.461380,0.5690
Oncoming,Base,3738707145,1,0.145356,0.9611
Oncoming,Base,3738707146,1,0.834429,0.9556
Oncoming,Base,3738707147,0,1.350910,0.5361
Oncoming,Base,3738707148,0,1.486515,0.9666
Oncoming,Base,3738707149,1,0.332942,0.5690
Oncoming,Base,3738707150,1,0.410969,0.9611
Oncoming,Base,3738707151,1,0.322106,0.9611
Oncoming,Base,3738707152,1,0.351975,0.9611
Oncoming,Base,3738707153,1,0.356545,0.9611
Oncoming,Base,3738707154,1,0.693570,0.9611
Oncoming,Base,3738707155,1,0.488266,0.9611
Oncoming,Base,3738707156,0,1.669045,0.5471
Oncoming,Base,3738707157,1,0.811217,0.5471
Oncoming,Base,3738707158,1,0.671529,0.9611
Oncoming,Base,3738707159,0,1.161577,0.9611
Oncoming,Base,3738707160,0,1.368843,0.9611
Oncoming,Base,3738707161,1,0.194098,0.9611
Oncoming,Base,3738707162,1,0.748766,0.9611
Oncoming,Base,3738707163,1,0.699952,0.5744
Oncoming,Base,3738707164,1,0.698866,0.9611
Oncoming,Base,3738707165,1,0.185620,0.9611
Oncoming,Base,3738707166,1,0.566091,0.9611
Oncoming,Base,3738707167,1,0.628965,0.9611
Oncoming,Base,3738707168,1,0.563745,0.9556
Oncoming,Base,3738707169,1,0.768722,0.9611
Oncoming,Base,3738707170,0,1.443222,0.9501
Oncoming,Base,3738707171,1,0.393663,0.9611
Oncoming,Base,3738707172,1,0.415270,0.9611
Oncoming,Base,3738707173,1,0.449831,0.9611
Oncoming,Base,3738707174,1,0.655295,0.9611
Oncoming,Base,3738707175,0,1.102137,0.5416
Oncoming,Base,3738707176,1,0.236737,0.9611
Oncoming,Base,3738707177,0,2.149618,0.9501
Oncoming,Base,3738707178,1,0.666296,0.9611
Oncoming,Base,3738707179,0,1.288947,0.9666
Oncoming,Base,3738707180,1,0.486487,0.9611
Oncoming,Base,3738707181,0,1.606935,0.9501
Oncoming,Base,3738707182,1,0.751316,0.9611
Oncoming,Base,3738707183,1,0.761768,0.9611
Oncoming,Base,3738707184,1,0.367853,0.9611
Oncoming,Base,3738707185,1,0.329237,0.9611
Oncoming,Base,3738707186,1,0.383358,0.9611
Oncoming,Base,3738707187,1,0.488214,0.9611
Oncoming,Base,3738707188,1,0.646168,0.9556
Oncoming,Base,3738707189,0,1.635563,0.9666
Oncoming,Base,3738707190,0,0.944273,0.9611
Oncoming,Base,3738707191,1,0.837844,0.9611
Oncoming,Base,3738707192,0,1.256761,0.5416
Oncoming,Base,3738707193,0,1.427115,0.9666
