obstacle_speed,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mm_ci_lo,mm_ci_hi,rare_miss_rate,rare_ci_lo,rare_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
0.5,Base,0.916500,0.903563,0.927840,0.724703,0.721739,0.727646,0.842591,0.839013,0.846104,0.4659,0.1171,0.9588,0.840,2000
0.5,WDRO-sampling,0.128000,0.114068,0.143359,0.054321,0.052930,0.055747,0.053879,0.051852,0.055980,1.0695,0.4429,0.9575,0.949,2000
0.5,WDRO-inject-K1,0.108500,0.095612,0.122889,0.000000,0.000000,0.000040,0.000000,0.000000,0.000086,1.0518,0.4580,0.9580,0.954,2000
0.5,WDRO-inject-K2,0.129000,0.115017,0.144405,0.000000,0.000000,0.000039,0.000000,0.000000,0.000086,1.0477,0.4187,0.9580,0.953,2000
0.5,TopRisk-K1,0.130000,0.115967,0.145451,0.000000,0.000000,0.000039,0.000000,0.000000,0.000087,1.0532,0.3961,0.9580,0.950,2000
0.5,TopRisk-K2,0.112000,0.098916,0.126572,0.000000,0.000000,0.000039,0.000000,0.000000,0.000086,1.0618,0.4418,0.9579,0.956,2000
1.0,Base,0.185500,0.169073,0.203133,0.751998,0.749660,0.754322,0.856305,0.853495,0.859070,1.4435,0.4589,0.9125,0.840,2000
1.0,WDRO-sampling,0.080000,0.068899,0.092711,0.035876,0.034663,0.037130,0.030466,0.028837,0.032183,1.2183,0.4514,0.9587,0.929,2000
1.0,WDRO-inject-K1,0.077000,0.066110,0.089512,0.000000,0.000000,0.000044,0.000000,0.000000,0.000097,1.1817,0.5114,0.9590,0.919,2000
1.0,WDRO-inject-K2,0.071500,0.061010,0.083633,0.000000,0.000000,0.000044,0.000000,0.000000,0.000097,1.1867,0.5255,0.9590,0.933,2000
1.0,TopRisk-K1,0.072000,0.061473,0.084168,0.000000,0.000000,0.000044,0.000000,0.000000,0.000098,1.1919,0.5021,0.9588,0.920,2000
1.0,TopRisk-K2,0.072000,0.061473,0.084168,0.000000,0.000000,0.000044,0.000000,0.000000,0.000097,1.1985,0.5068,0.9588,0.928,2000
1.5,Base,0.052500,0.043555,0.063161,0.749441,0.747100,0.751768,0.860777,0.858021,0.863489,1.7837,0.8325,0.9104,0.861,2000
1.5,WDRO-sampling,0.096000,0.083853,0.109696,0.022581,0.021587,0.023620,0.011682,0.010643,0.012821,1.3392,0.3465,0.9594,0.895,2000
1.5,WDRO-inject-K1,0.136000,0.121673,0.151723,0.000000,0.000000,0.000046,0.000000,0.000000,0.000102,1.2823,0.2866,0.9593,0.890,2000
1.5,WDRO-inject-K2,0.159000,0.143629,0.175678,0.000000,0.000000,0.000046,0.000000,0.000000,0.000102,1.2616,0.2151,0.9591,0.897,2000
1.5,TopRisk-K1,0.138500,0.124053,0.154333,0.000000,0.000000,0.000046,0.000000,0.000000,0.000102,1.2831,0.2703,0.9592,0.908,2000
1.5,TopRisk-K2,0.140000,0.125482,0.155899,0.000000,0.000000,0.000046,0.000000,0.000000,0.000101,1.2852,0.2524,0.9592,0.898,2000
2.0,Base,0.000000,0.000000,0.001917,0.774058,0.772154,0.775952,0.881002,0.878856,0.883114,2.6230,1.7497,0.8516,0.827,2000
2.0,WDRO-sampling,0.014000,0.009704,0.020160,0.012682,0.011938,0.013472,0.011824,0.010775,0.012973,1.8843,1.4161,0.9579,0.863,2000
2.0,WDRO-inject-K1,0.018500,0.013451,0.025395,0.000000,0.000000,0.000047,0.000000,0.000000,0.000104,1.8747,1.4064,0.9580,0.865,2000
2.0,WDRO-inject-K2,0.018500,0.013451,0.025395,0.000000,0.000000,0.000047,0.000000,0.000000,0.000102,1.8663,1.4135,0.9581,0.867,2000
2.0,TopRisk-K1,0.017500,0.012610,0.024240,0.000000,0.000000,0.000047,0.000000,0.000000,0.000103,1.8715,1.3988,0.9581,0.866,2000
2.0,TopRisk-K2,0.022000,0.016429,0.029404,0.000000,0.000000,0.000047,0.000000,0.000000,0.000101,1.8771,1.4080,0.9583,0.884,2000
