obstacle_speed,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mm_ci_lo,mm_ci_hi,rare_miss_rate,rare_ci_lo,rare_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
0.8,Base,0.720000,0.696738,0.742138,0.736384,0.733436,0.739310,0.828258,0.824553,0.831901,0.7152,0.1862,0.9288,0.829,1500
0.8,Mode-DRO(inj),0.132000,0.115806,0.150074,0.000000,0.000000,0.000054,0.000000,0.000000,0.000116,1.0914,0.4966,0.9581,0.944,1500
0.8,Traj-DRO(comb),0.179333,0.160746,0.199559,0.372654,0.369156,0.376166,0.384749,0.379548,0.389977,1.0611,0.4050,0.9577,0.934,1500
1.0,Base,0.378000,0.353802,0.402821,0.749029,0.746384,0.751655,0.843798,0.840539,0.847002,1.1419,0.2680,0.9042,0.844,1500
1.0,Mode-DRO(inj),0.178667,0.160109,0.198866,0.000000,0.000000,0.000054,0.000000,0.000000,0.000119,1.1060,0.3944,0.9576,0.960,1500
1.0,Traj-DRO(comb),0.195333,0.176059,0.216165,0.369460,0.365892,0.373042,0.401151,0.395848,0.406477,1.0981,0.3784,0.9581,0.932,1500
1.1,Base,0.280000,0.257862,0.303262,0.757168,0.754509,0.759807,0.855988,0.852789,0.859129,1.2771,0.2966,0.9094,0.846,1500
1.1,Mode-DRO(inj),0.212667,0.192706,0.234095,0.000000,0.000000,0.000055,0.000000,0.000000,0.000122,1.0862,0.2808,0.9579,0.948,1500
1.1,Traj-DRO(comb),0.166000,0.148028,0.185678,0.368065,0.364450,0.371696,0.392016,0.386572,0.397487,1.1073,0.4090,0.9587,0.930,1500
1.2,Base,0.248000,0.226807,0.270480,0.741980,0.739198,0.744743,0.839402,0.835962,0.842784,1.3521,0.3501,0.9195,0.849,1500
1.2,Mode-DRO(inj),0.196000,0.176698,0.216855,0.000000,0.000000,0.000057,0.000000,0.000000,0.000124,1.0720,0.2723,0.9585,0.948,1500
1.2,Traj-DRO(comb),0.137333,0.120839,0.155681,0.339242,0.335634,0.342870,0.348103,0.342728,0.353518,1.1094,0.3723,0.9590,603.988,1500
1.3,Base,0.216667,0.196556,0.238225,0.748886,0.746073,0.751678,0.857666,0.854305,0.860962,1.4465,0.3994,0.9279,0.840,1500
1.3,Mode-DRO(inj),0.159333,0.141685,0.178722,0.000000,0.000000,0.000059,0.000000,0.000000,0.000130,1.1115,0.2620,0.9591,0.944,1500
1.3,Traj-DRO(comb),0.082000,0.069160,0.096976,0.333081,0.329423,0.336759,0.348575,0.343042,0.354149,1.1833,0.5192,0.9599,0.893,1500
1.4,Base,0.200667,0.181175,0.221688,0.751089,0.748303,0.753855,0.872057,0.868874,0.875174,1.4773,0.4137,0.9241,0.875,1500
1.4,Mode-DRO(inj),0.111333,0.096397,0.128255,0.000000,0.000000,0.000061,0.000000,0.000000,0.000134,1.2049,0.3596,0.9591,0.922,1500
1.4,Traj-DRO(comb),0.096667,0.082726,0.112668,0.341263,0.337570,0.344974,0.360110,0.354602,0.365655,1.2407,0.3677,0.9595,0.883,1500
1.5,Base,0.190000,0.170948,0.210636,0.755459,0.752779,0.758119,0.875721,0.872679,0.878700,1.5330,0.4137,0.9106,0.849,1500
1.5,Mode-DRO(inj),0.138000,0.121468,0.156381,0.000000,0.000000,0.000061,0.000000,0.000000,0.000133,1.2656,0.3228,0.9586,0.894,1500
1.5,Traj-DRO(comb),0.162667,0.144855,0.182201,0.346953,0.343279,0.350646,0.368908,0.363418,0.374432,1.2527,0.2417,0.9587,0.883,1500
