obstacle_speed,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mm_ci_lo,mm_ci_hi,rare_miss_rate,rare_ci_lo,rare_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
0.8,Base,0.978000,0.969265,0.984293,0.707238,0.703281,0.711165,0.817791,0.812805,0.822674,0.3868,0.0997,0.9564,0.796,1500
0.8,Mode-DRO(inj),0.252667,0.231327,0.275270,0.000000,0.000000,0.000060,0.000000,0.000000,0.000132,0.9806,0.1923,0.9579,21.321,1500
0.8,Mode-DRO(q*),0.276667,0.254620,0.299854,0.058434,0.056650,0.060269,0.047282,0.044929,0.049751,0.9686,0.2194,0.9577,0.961,1500
0.8,Traj-DRO(comb),0.293333,0.270844,0.316879,0.344920,0.341261,0.348598,0.378088,0.372545,0.383663,0.9497,0.1821,0.9577,0.951,1500
1.0,Base,0.824000,0.803907,0.842438,0.709770,0.705869,0.713640,0.827278,0.822400,0.832048,0.5984,0.2236,0.9567,0.806,1500
1.0,Mode-DRO(inj),0.081333,0.068546,0.096260,0.000000,0.000000,0.000067,0.000000,0.000000,0.000148,1.1376,0.5151,0.9571,0.914,1500
1.0,Mode-DRO(q*),0.083333,0.070388,0.098407,0.047188,0.045504,0.048931,0.054280,0.051619,0.057069,1.1855,0.5363,0.9571,0.891,1500
1.0,Traj-DRO(comb),0.103333,0.088929,0.119765,0.324883,0.321108,0.328681,0.345724,0.340020,0.351473,1.1487,0.4056,0.9572,0.892,1500
1.2,Base,0.522000,0.496697,0.547191,0.725692,0.721927,0.729425,0.852847,0.848369,0.857215,0.8658,0.2386,0.9564,0.815,1500
1.2,Mode-DRO(inj),0.062667,0.051483,0.076084,0.000000,0.000000,0.000071,0.000000,0.000000,0.000155,1.2140,0.6095,0.9569,1.034,1500
1.2,Mode-DRO(q*),0.057333,0.046660,0.070268,0.036591,0.035054,0.038192,0.039256,0.036893,0.041763,1.2667,0.7116,0.9568,1.013,1500
1.2,Traj-DRO(comb),0.063333,0.052088,0.076809,0.312090,0.308223,0.315984,0.339451,0.333543,0.345410,1.2474,0.5978,0.9567,0.884,1500
1.3,Base,0.360000,0.336095,0.384621,0.717378,0.713630,0.721095,0.835596,0.830947,0.840141,1.0806,0.3626,0.9560,0.823,1500
1.3,Mode-DRO(inj),0.043333,0.034143,0.054857,0.000000,0.000000,0.000072,0.000000,0.000000,0.000159,1.2854,0.9891,0.9569,0.883,1500
1.3,Mode-DRO(q*),0.039333,0.030615,0.050405,0.027967,0.026606,0.029396,0.026627,0.024666,0.028739,1.3304,1.0280,0.9570,0.880,1500
1.3,Traj-DRO(comb),0.048667,0.038883,0.060756,0.303509,0.299639,0.307406,0.328921,0.322990,0.334908,1.3046,0.9377,0.9569,0.874,1500
