scenario,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mm_ci_lo,mm_ci_hi,rare_miss_rate,rare_ci_lo,rare_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
Oncoming-default,Base,0.936500,0.924953,0.946373,0.715190,0.712013,0.718347,0.833029,0.829121,0.836866,0.5178,0.2786,0.9611,0.789,2000
Oncoming-default,WDRO-inject-K1,0.147500,0.132635,0.163717,0.000000,0.000000,0.000039,0.000000,0.000000,0.000084,1.0531,0.5153,0.9565,16.979,2000
Oncoming-default,TopRisk-K1,0.156500,0.141237,0.173080,0.000000,0.000000,0.000039,0.000000,0.000000,0.000085,1.0420,0.4932,0.9564,0.942,2000
Oncoming-default,WDRO-sampling,0.185000,0.168592,0.202616,0.043101,0.041868,0.044368,0.037457,0.035781,0.039208,1.0580,0.4618,0.9564,0.937,2000
Tight-S@v1.0,Base,0.814500,0.796867,0.830927,0.715527,0.712164,0.718867,0.849851,0.845838,0.853777,0.6041,0.2105,0.9569,0.800,2000
Tight-S@v1.0,WDRO-inject-K1,0.081500,0.070296,0.094309,0.000000,0.000000,0.000050,0.000000,0.000000,0.000109,1.1387,0.5301,0.9571,0.915,2000
Tight-S@v1.0,TopRisk-K1,0.071000,0.060547,0.083098,0.000000,0.000000,0.000050,0.000000,0.000000,0.000109,1.1608,0.5978,0.9571,1.029,2000
Tight-S@v1.0,WDRO-sampling,0.084000,0.072626,0.096969,0.046746,0.045293,0.048243,0.052723,0.050454,0.055088,1.1929,0.5331,0.9571,0.984,2000
Tight-S@v1.3,Base,0.348500,0.327925,0.369656,0.719415,0.716188,0.722619,0.845668,0.841810,0.849449,1.0823,0.3677,0.9564,0.825,2000
Tight-S@v1.3,WDRO-inject-K1,0.050500,0.041735,0.060988,0.000000,0.000000,0.000054,0.000000,0.000000,0.000118,1.2858,0.7790,0.9571,0.887,2000
Tight-S@v1.3,TopRisk-K1,0.047500,0.039014,0.057721,0.000000,0.000000,0.000054,0.000000,0.000000,0.000118,1.2934,0.9599,0.9569,0.884,2000
Tight-S@v1.3,WDRO-sampling,0.039000,0.031361,0.048406,0.027199,0.026032,0.028417,0.023646,0.022035,0.025372,1.3279,1.0178,0.9568,0.861,2000
S-curve-crossing,Base,0.756000,0.736698,0.774321,0.750731,0.748118,0.753327,0.874041,0.871062,0.876961,0.7147,0.1436,0.9279,0.824,2000
S-curve-crossing,WDRO-inject-K1,0.241500,0.223249,0.260742,0.000000,0.000000,0.000041,0.000000,0.000000,0.000089,1.0002,0.2163,0.9586,0.931,2000
S-curve-crossing,TopRisk-K1,0.227000,0.209175,0.245872,0.000000,0.000000,0.000041,0.000000,0.000000,0.000088,1.0202,0.2056,0.9586,0.939,2000
S-curve-crossing,WDRO-sampling,0.256000,0.237353,0.275582,0.048376,0.047031,0.049757,0.061905,0.059675,0.064212,0.9923,0.1778,0.9585,0.953,2000
