scenario,method,seed,collision,min_clearance,progress
Oncoming-default,Base,4278980689,1,0.404328,0.9611
Oncoming-default,Base,4278980690,1,0.418329,0.9611
Oncoming-default,Base,4278980691,1,0.492751,0.9611
Oncoming-default,Base,4278980692,1,0.301189,0.9611
Oncoming-default,Base,4278980693,1,0.469905,0.9611
Oncoming-default,Base,4278980694,1,0.479139,0.9611
Oncoming-default,Base,4278980695,1,0.725114,0.9611
Oncoming-default,Base,4278980696,1,0.325801,0.9611
Oncoming-default,Base,4278980697,1,0.516371,0.9611
Oncoming-default,Base,4278980698,0,1.020716,0.9611
Oncoming-default,Base,4278980699,1,0.513220,0.9611
Oncoming-default,Base,4278980700,1,0.490290,0.9611
Oncoming-default,Base,4278980701,1,0.573650,0.9611
Oncoming-default,Base,4278980702,1,0.418694,0.9611
Oncoming-default,Base,4278980703,0,1.287306,0.9611
Oncoming-default,Base,4278980704,1,0.718048,0.9611
Oncoming-default,Base,4278980705,1,0.612741,0.9611
Oncoming-default,Base,4278980706,1,0.518444,0.9611
Oncoming-default,Base,4278980707,1,0.534169,0.9611
Oncoming-default,Base,4278980708,1,0.588360,0.9611
Oncoming-default,Base,4278980709,1,0.664998,0.9611
Oncoming-default,Base,4278980710,1,0.284472,0.9611
Oncoming-default,Base,4278980711,1,0.511749,0.9611
Oncoming-default,Base,4278980712,1,0.438894,0.9611
Oncoming-default,Base,4278980713,1,0.472865,0.9611
Oncoming-default,Base,4278980714,1,0.410169,0.9611
Oncoming-default,Base,4278980715,0,0.876079,0.9611
Oncoming-default,Base,4278980716,1,0.699960,0.9611
Oncoming-default,Base,4278980717,1,0.526507,0.9611
Oncoming-default,Base,4278980718,1,0.334275,0.9611
Oncoming-default,Base,4278980719,1,0.709563,0.9611
Oncoming-default,Base,4278980720,1,0.365123,0.9611
Oncoming-default,Base,4278980721,1,0.486202,0.9611
Oncoming-default,Base,4278980722,0,1.265317,0.9611
Oncoming-default,Base,4278980723,1,0.430227,0.9611
Oncoming-default,Base,4278980724,1,0.278983,0.9611
Oncoming-default,Base,4278980725,1,0.504068,0.9611
Oncoming-default,Base,4278980726,1,0.379244,0.9611
Oncoming-default,Base,4278980727,1,0.412717,0.9611
Oncoming-default,Base,4278980728,1,0.532905,0.9611
Oncoming-default,Base,4278980729,1,0.433973,0.9611
Oncoming-default,Base,4278980730,1,0.404920,0.9611
Oncoming-default,Base,4278980731,1,0.436169,0.9611
Oncoming-default,Base,4278980732,1,0.422319,0.9611
Oncoming-default,Base,4278980733,1,0.381887,0.9611
Oncoming-default,Base,4278980734,1,0.579949,0.9611
Oncoming-default,Base,4278980735,1,0.291819,0.9611
Oncoming-default,Base,4278980736,1,0.434653,0.9611
Oncoming-default,Base,4278980737,1,0.392740,0.9611
Oncoming-default,Base,4278980738,1,0.765604,0.9611
Oncoming-default,Base,4278980739,1,0.225003,0.9611
Oncoming-default,Base,4278980740,1,0.575718,0.9611
Oncoming-default,Base,4278980741,1,0.694751,0.9611
Oncoming-default,Base,4278980742,1,0.444243,0.9611
Oncoming-default,Base,4278980743,1,0.461429,0.9611
Oncoming-default,Base,4278980744,1,0.434712,0.9611
Oncoming-default,Base,4278980745,1,0.276631,0.9611
Oncoming-default,Base,4278980746,1,0.562281,0.9611
Oncoming-default,Base,4278980747,1,0.364839,0.9611
Oncoming-default,Base,4278980748,0,1.003306,0.9611
Oncoming-default,Base,4278980749,1,0.424757,0.9611
Oncoming-default,Base,4278980750,1,0.410567,0.9611
Oncoming-default,Base,4278980751,1,0.352321,0.9611
Oncoming-default,Base,4278980752,0,0.992023,0.9611
Oncoming-default,Base,4278980753,1,0.324136,0.9611
Oncoming-default,Base,4278980754,1,0.419331,0.9611
Oncoming-default,Base,4278980755,1,0.413430,0.9611
Oncoming-default,Base,4278980756,1,0.327385,0.9611
Oncoming-default,Base,4278980757,1,0.471289,0.9611
Oncoming-default,Base,4278980758,0,1.273891,0.9611
Oncoming-default,Base,4278980759,1,0.574712,0.9611
Oncoming-default,Base,4278980760,1,0.638883,0.9611
Oncoming-default,Base,4278980761,1,0.766133,0.9611
Oncoming-default,Base,4278980762,1,0.493441,0.9611
Oncoming-default,Base,4278980763,1,0.330401,0.9611
Oncoming-default,Base,4278980764,1,0.515187,0.9611
Oncoming-default,Base,4278980765,1,0.545632,0.9611
Oncoming-default,Base,4278980766,1,0.469348,0.9611
Oncoming-default,Base,4278980767,1,0.496034,0.9611
Oncoming-default,Base,4278980768,1,0.348330,0.9611
Oncoming-default,Base,4278980769,1,0.350739,0.9611
Oncoming-default,Base,4278980770,1,0.623887,0.9611
Oncoming-default,Base,4278980771,1,0.706491,0.9611
Oncoming-default,Base,4278980772,1,0.502199,0.9611
Oncoming-default,Base,4278980773,1,0.332629,0.9611
Oncoming-default,Base,4278980774,0,1.126896,0.9611
Oncoming-default,Base,4278980775,0,1.340132,0.9611
Oncoming-default,Base,4278980776,1,0.487625,0.9611
Oncoming-default,Base,4278980777,1,0.634742,0.9611
Oncoming-default,Base,4278980778,1,0.498553,0.9611
Oncoming-default,Base,4278980779,1,0.314047,0.9611
Oncoming-default,Base,4278980780,1,0.537404,0.9611
Oncoming-default,Base,4278980781,1,0.448765,0.9611
Oncoming-default,Base,4278980782,0,1.521815,0.9611
Oncoming-default,Base,4278980783,1,0.391705,0.9611
Oncoming-default,Base,4278980784,1,0.484305,0.9611
Oncoming-default,Base,4278980785,1,0.422088,0.9611
Oncoming-default,Base,4278980786,1,0.488591,0.9611
Oncoming-default,Base,4278980787,1,0.590611,0.9611
Oncoming-default,Base,4278980788,1,0.473103,0.9611
Oncoming-default,Base,4278980789,1,0.477241,0.9611
Oncoming-default,Base,4278980790,1,0.535808,0.9611
Oncoming-default,Base,4278980791,1,0.641976,0.9611
Oncoming-default,Base,4278980792,1,0.622670,0.9611
Oncoming-default,Base,4278980793,1,0.346609,0.9611
Oncoming-default,Base,4278980794,1,0.426316,0.9611
Oncoming-default,Base,4278980795,1,0.375034,0.9611
Oncoming-default,Base,4278980796,1,0.473938,0.9611
Oncoming-default,Base,4278980797,1,0.534464,0.9611
Oncoming-default,Base,4278980798,1,0.355510,0.9611
Oncoming-default,Base,4278980799,1,0.718159,0.9611
Oncoming-default,Base,4278980800,1,0.400732,0.9611
Oncoming-default,Base,4278980801,1,0.546073,0.9611
Oncoming-default,Base,4278980802,1,0.599188,0.9611
Oncoming-default,Base,4278980803,1,0.330269,0.9611
Oncoming-default,Base,4278980804,1,0.454200,0.9611
Oncoming-default,Base,4278980805,1,0.401199,0.9611
Oncoming-default,Base,4278980806,1,0.291898,0.9611
Oncoming-default,Base,4278980807,1,0.360983,0.9611
Oncoming-default,Base,4278980808,1,0.499150,0.9611
Oncoming-default,Base,4278980809,1,0.380090,0.9611
Oncoming-default,Base,4278980810,1,0.431792,0.9611
Oncoming-default,Base,4278980811,1,0.450587,0.9611
Oncoming-default,Base,4278980812,1,0.404941,0.9611
Oncoming-default,Base,4278980813,1,0.294305,0.9611
Oncoming-default,Base,4278980814,1,0.357835,0.9611
Oncoming-default,Base,4278980815,1,0.655304,0.9611
Oncoming-default,Base,4278980816,1,0.598299,0.9611
Oncoming-default,Base,4278980817,1,0.523307,0.9611
Oncoming-default,Base,4278980818,1,0.491212,0.9611
Oncoming-default,Base,4278980819,1,0.403230,0.9611
Oncoming-default,Base,4278980820,1,0.557511,0.9611
Oncoming-default,Base,4278980821,1,0.459481,0.9611
Oncoming-default,Base,4278980822,0,1.470752,0.9611
Oncoming-default,Base,4278980823,1,0.303183,0.9611
Oncoming-default,Base,4278980824,1,0.440091,0.9611
Oncoming-default,Base,4278980825,1,0.290334,0.9611
Oncoming-default,Base,4278980826,1,0.434007,0.9611
Oncoming-default,Base,4278980827,1,0.753125,0.9611
Oncoming-default,Base,4278980828,1,0.432568,0.9611
Oncoming-default,Base,4278980829,1,0.431977,0.9611
Oncoming-default,Base,4278980830,1,0.600232,0.9611
Oncoming-default,Base,4278980831,0,1.095058,0.9611
Oncoming-default,Base,4278980832,0,1.042624,0.9611
Oncoming-default,Base,4278980833,1,0.363212,0.9611
Oncoming-default,Base,4278980834,1,0.451076,0.9611
Oncoming-default,Base,4278980835,1,0.338090,0.9611
Oncoming-default,Base,4278980836,1,0.759445,0.9611
Oncoming-default,Base,4278980837,1,0.459356,0.9611
Oncoming-default,Base,4278980838,1,0.287522,0.9611
Oncoming-default,Base,4278980839,1,0.485540,0.9611
Oncoming-default,Base,4278980840,1,0.445579,0.9611
Oncoming-default,Base,4278980841,1,0.415876,0.9611
Oncoming-default,Base,4278980842,1,0.369846,0.9611
Oncoming-default,Base,4278980843,1,0.712317,0.9611
Oncoming-default,Base,4278980844,1,0.458788,0.9611
Oncoming-default,Base,4278980845,1,0.471029,0.9611
Oncoming-default,Base,4278980846,1,0.560475,0.9611
Oncoming-default,Base,4278980847,1,0.816733,0.9611
Oncoming-default,Base,4278980848,1,0.477170,0.9611
Oncoming-default,Base,4278980849,1,0.407184,0.9611
Oncoming-default,Base,4278980850,1,0.219382,0.9611
Oncoming-default,Base,4278980851,1,0.569083,0.9611
Oncoming-default,Base,4278980852,1,0.681509,0.9611
Oncoming-default,Base,4278980853,0,0.893672,0.9611
Oncoming-default,Base,4278980854,1,0.474091,0.9611
Oncoming-default,Base,4278980855,1,0.258603,0.9611
Oncoming-default,Base,4278980856,1,0.485129,0.9611
Oncoming-default,Base,4278980857,1,0.601691,0.9611
Oncoming-default,Base,4278980858,1,0.780130,0.9611
Oncoming-default,Base,4278980859,1,0.290075,0.9611
Oncoming-default,Base,4278980860,1,0.442413,0.9611
Oncoming-default,Base,4278980861,1,0.404818,0.9611
Oncoming-default,Base,4278980862,1,0.465256,0.9611
Oncoming-default,Base,4278980863,1,0.546388,0.9611
Oncoming-default,Base,4278980864,1,0.769207,0.9611
Oncoming-default,Base,4278980865,1,0.426554,0.9611
Oncoming-default,Base,4278980866,1,0.376409,0.9611
Oncoming-default,Base,4278980867,1,0.349472,0.9611
Oncoming-default,Base,4278980868,1,0.472201,0.9611
Oncoming-default,Base,4278980869,1,0.392325,0.9611
Oncoming-default,Base,4278980870,1,0.611373,0.9611
Oncoming-default,Base,4278980871,1,0.057292,0.9611
Oncoming-default,Base,4278980872,1,0.412035,0.9611
Oncoming-default,Base,4278980873,1,0.476956,0.9611
Oncoming-default,Base,4278980874,1,0.413115,0.9611
Oncoming-default,Base,4278980875,1,0.463088,0.9611
Oncoming-default,Base,4278980876,1,0.452473,0.9611
Oncoming-default,Base,4278980877,1,0.560300,0.9611
Oncoming-default,Base,4278980878,1,0.402037,0.9611
Oncoming-default,Base,4278980879,1,0.283904,0.9611
Oncoming-default,Base,4278980880,0,1.007802,0.9611
Oncoming-default,Base,4278980881,1,0.573424,0.9611
Oncoming-default,Base,4278980882,1,0.517259,0.9611
Oncoming-default,Base,4278980883,1,0.330012,0.9611
Oncoming-default,Base,4278980884,1,0.336493,0.9611
Oncoming-default,Base,4278980885,1,0.343595,0.9611
Oncoming-default,Base,4278980886,1,0.460385,0.9611
Oncoming-default,Base,4278980887,1,0.778292,0.9611
Oncoming-default,Base,4278980888,1,0.599447,0.9611
Oncoming-default,Base,4278980889,1,0.452686,0.9611
Oncoming-default,Base,4278980890,1,0.440666,0.9611
Oncoming-default,Base,4278980891,1,0.515041,0.9611
Oncoming-default,Base,4278980892,1,0.275878,0.9611
Oncoming-default,Base,4278980893,1,0.488723,0.9611
Oncoming-default,Base,4278980894,0,1.004471,0.9611
Oncoming-default,Base,4278980895,1,0.522214,0.9611
Oncoming-default,Base,4278980896,1,0.146938,0.9611
Oncoming-default,Base,4278980897,1,0.450794,0.9611
Oncoming-default,Base,4278980898,1,0.319982,0.9611
Oncoming-default,Base,4278980899,1,0.803229,0.9611
Oncoming-default,Base,4278980900,1,0.548691,0.9611
Oncoming-default,Base,4278980901,1,0.481087,0.9611
Oncoming-default,Base,4278980902,1,0.469002,0.9611
Oncoming-default,Base,4278980903,1,0.463128,0.9611
Oncoming-default,Base,4278980904,1,0.483514,0.9611
Oncoming-default,Base,4278980905,1,0.720304,0.9611
Oncoming-default,Base,4278980906,1,0.433298,0.9611
Oncoming-default,Base,4278980907,0,0.918840,0.9611
Oncoming-default,Base,4278980908,1,0.842314,0.9611
Oncoming-default,Base,4278980909,1,0.524716,0.9611
Oncoming-default,Base,4278980910,1,0.482741,0.9611
Oncoming-default,Base,4278980911,1,0.602988,0.9611
Oncoming-default,Base,4278980912,1,0.459582,0.9611
Oncoming-default,Base,4278980913,1,0.536055,0.9611
Oncoming-default,Base,4278980914,1,0.493638,0.9611
Oncoming-default,Base,4278980915,1,0.382523,0.9611
Oncoming-default,Base,4278980916,1,0.474072,0.9611
Oncoming-default,Base,4278980917,1,0.476994,0.9611
Oncoming-default,Base,4278980918,1,0.462558,0.9611
Oncoming-default,Base,4278980919,1,0.363625,0.9611
Oncoming-default,Base,4278980920,1,0.529352,0.9611
Oncoming-default,Base,4278980921,1,0.254765,0.9611
Oncoming-default,Base,4278980922,1,0.630617,0.9611
Oncoming-default,Base,4278980923,1,0.328872,0.9611
Oncoming-default,Base,4278980924,1,0.558925,0.9611
Oncoming-default,Base,4278980925,1,0.512805,0.9611
Oncoming-default,Base,4278980926,1,0.526602,0.9611
Oncoming-default,Base,4278980927,1,0.399102,0.9611
Oncoming-default,Base,4278980928,1,0.845125,0.9611
Oncoming-default,Base,4278980929,1,0.274838,0.9611
Oncoming-default,Base,4278980930,1,0.385149,0.9611
Oncoming-default,Base,4278980931,1,0.382133,0.9611
Oncoming-default,Base,4278980932,1,0.455869,0.9611
Oncoming-default,Base,4278980933,1,0.423687,0.9611
Oncoming-default,Base,4278980934,1,0.410202,0.9611
Oncoming-default,Base,4278980935,1,0.218931,0.9611
Oncoming-default,Base,4278980936,1,0.479683,0.9611
Oncoming-default,Base,4278980937,1,0.745109,0.9611
Oncoming-default,Base,4278980938,1,0.553410,0.9611
Oncoming-default,Base,4278980939,1,0.300433,0.9611
Oncoming-default,Base,4278980940,1,0.513566,0.9611
