num_obstacles,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mm_ci_lo,mm_ci_hi,rare_miss_rate,rare_ci_lo,rare_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
1,Base,0.818667,0.798362,0.837343,0.707153,0.703233,0.711041,0.839291,0.834577,0.843896,0.6046,0.1961,0.9569,0.814,1500
1,WDRO-inject-K1,0.073333,0.061203,0.087644,0.000000,0.000000,0.000067,0.000000,0.000000,0.000146,1.1499,0.6038,0.9570,0.920,1500
1,TopRisk-K1,0.078667,0.066094,0.093392,0.000000,0.000000,0.000066,0.000000,0.000000,0.000147,1.1523,0.5962,0.9572,0.914,1500
1,WDRO-sampling,0.087333,0.074079,0.102696,0.047001,0.045323,0.048738,0.053669,0.051026,0.056440,1.1850,0.4619,0.9571,0.903,1500
2,Base,0.919333,0.904457,0.932068,0.707699,0.704892,0.710490,0.837800,0.834389,0.841154,0.5133,0.1832,0.9567,0.909,1500
2,WDRO-inject-K1,0.093333,0.079633,0.109112,0.000000,0.000000,0.000033,0.000000,0.000000,0.000073,1.1371,0.4557,0.9570,1.115,1500
2,TopRisk-K1,0.096000,0.082107,0.111957,0.000000,0.000000,0.000033,0.000000,0.000000,0.000072,1.1501,0.4859,0.9571,1.120,1500
2,WDRO-sampling,0.086000,0.072848,0.101267,0.023464,0.022615,0.024344,0.025256,0.023960,0.026620,1.1973,0.4732,0.9571,1.094,1500
3,Base,0.926000,0.911637,0.938187,0.712512,0.710231,0.714782,0.848061,0.845354,0.850729,0.5212,0.1919,0.9569,1.030,1500
3,WDRO-inject-K1,0.084667,0.071617,0.099838,0.000000,0.000000,0.000022,0.000000,0.000000,0.000049,1.1391,0.5391,0.9571,1.314,1500
3,TopRisk-K1,0.084667,0.071617,0.099838,0.000000,0.000000,0.000022,0.000000,0.000000,0.000049,1.1461,0.5041,0.9571,1.363,1500
3,WDRO-sampling,0.094000,0.080251,0.109823,0.016051,0.015473,0.016649,0.017646,0.016753,0.018586,1.1693,0.4828,0.9574,1.291,1500
