obstacle_speed,path,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mm_ci_lo,mm_ci_hi,rare_miss_rate,rare_ci_lo,rare_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
0.8,Straight,Base,0.560000,0.516196,0.602889,0.744576,0.739846,0.749249,0.830730,0.824732,0.836565,0.8243,0.1597,0.9175,1.036,500
0.8,Straight,WDRO-sampling,0.162000,0.132301,0.196853,0.046226,0.043745,0.048842,0.045127,0.041545,0.049002,1.0450,0.5816,0.9614,1.080,500
0.8,Straight,WDRO-inject-K1,0.110000,0.085491,0.140456,0.000000,0.000000,0.000153,0.000000,0.000000,0.000331,1.0630,0.6795,0.9604,1.117,500
0.8,Straight,WDRO-inject-K2,0.166000,0.135957,0.201136,0.000000,0.000000,0.000153,0.000000,0.000000,0.000328,1.0386,0.6137,0.9600,1.124,500
0.8,Straight,TopRisk-K1,0.128000,0.101526,0.160146,0.000000,0.000000,0.000152,0.000000,0.000000,0.000332,1.0555,0.6566,0.9602,1.063,500
0.8,Straight,TopRisk-K2,0.136000,0.108715,0.168836,0.000000,0.000000,0.000152,0.000000,0.000000,0.000335,1.0483,0.6476,0.9605,1.075,500
0.8,Straight,DiverseRisk-K1,0.158000,0.128652,0.192563,0.000000,0.000000,0.000152,0.000000,0.000000,0.000326,1.0510,0.6229,0.9605,1.073,500
0.8,Straight,Softmax-tau5,0.170000,0.139620,0.205412,0.000000,0.000000,0.000151,0.000000,0.000000,0.000326,1.0430,0.5324,0.9605,1.153,500
0.8,Gentle-S,Base,0.704000,0.662554,0.742335,0.723326,0.718115,0.728478,0.814638,0.807973,0.821123,0.6800,0.1510,0.9397,1.008,500
0.8,Gentle-S,WDRO-sampling,0.222000,0.187769,0.260471,0.048960,0.046392,0.051662,0.044197,0.040633,0.048059,1.0150,0.4726,0.9598,1.058,500
0.8,Gentle-S,WDRO-inject-K1,0.170000,0.139620,0.205412,0.000000,0.000000,0.000152,0.000000,0.000000,0.000331,1.0295,0.5365,0.9594,1.020,500
0.8,Gentle-S,WDRO-inject-K2,0.160000,0.130476,0.194709,0.000000,0.000000,0.000152,0.000000,0.000000,0.000329,1.0353,0.5027,0.9594,1.122,500
