path,switch_prob,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mm_ci_lo,mm_ci_hi,rare_miss_rate,rare_ci_lo,rare_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
S-curve,0.02,Base,0.594000,0.550396,0.636170,0.715503,0.710227,0.720720,0.838431,0.833472,0.843271,0.8764,0.2426,0.9308,1.029,500
S-curve,0.02,WDRO-sampling,0.098000,0.074924,0.127207,0.042082,0.039567,0.044750,0.044847,0.041804,0.048101,1.2233,0.4589,0.9581,1.063,500
S-curve,0.02,WDRO-inject-K1,0.064000,0.045696,0.088953,0.000000,0.000000,0.000170,0.000000,0.000000,0.000234,1.2136,0.6117,0.9590,1.112,500
S-curve,0.02,WDRO-inject-K2,0.074000,0.054161,0.100335,0.000000,0.000000,0.000170,0.000000,0.000000,0.000234,1.2323,0.5754,0.9586,1.128,500
S-curve,0.02,TopRisk-K1,0.056000,0.039025,0.079745,0.000000,0.000000,0.000169,0.000000,0.000000,0.000228,1.2328,0.6652,0.9585,1.121,500
S-curve,0.02,TopRisk-K2,0.076000,0.055869,0.102597,0.000000,0.000000,0.000168,0.000000,0.000000,0.000226,1.2317,0.4868,0.9584,1.084,500
S-curve,0.05,Base,0.630000,0.586839,0.671178,0.716910,0.711544,0.722216,0.826939,0.821424,0.832318,0.8375,0.2695,0.9378,1.101,500
S-curve,0.05,WDRO-sampling,0.106000,0.081957,0.136052,0.037591,0.035225,0.040109,0.039570,0.036565,0.042811,1.1889,0.4739,0.9576,1.018,500
S-curve,0.05,WDRO-inject-K1,0.090000,0.067942,0.118310,0.000000,0.000000,0.000167,0.000000,0.000000,0.000253,1.1780,0.4010,0.9586,1.016,500
S-curve,0.05,WDRO-inject-K2,0.104000,0.080194,0.133845,0.000000,0.000000,0.000167,0.000000,0.000000,0.000252,1.1811,0.4646,0.9587,1.069,500
S-curve,0.05,TopRisk-K1,0.080000,0.059298,0.107107,0.000000,0.000000,0.000168,0.000000,0.000000,0.000251,1.1938,0.6083,0.9583,1.147,500
S-curve,0.05,TopRisk-K2,0.102000,0.078434,0.131635,0.000000,0.000000,0.000166,0.000000,0.000000,0.000247,1.1800,0.5136,0.9584,1.036,500
S-curve,0.10,Base,0.700000,0.658431,0.738519,0.759296,0.754320,0.764203,0.866441,0.861170,0.871541,0.7632,0.2026,0.9272,1.035,500
S-curve,0.10,WDRO-sampling,0.146000,0.117748,0.179650,0.041084,0.038646,0.043668,0.044885,0.041509,0.048522,1.1189,0.4151,0.9577,1.011,500
S-curve,0.10,WDRO-inject-K1,0.098000,0.074924,0.127207,0.000000,0.000000,0.000164,0.000000,0.000000,0.000293,1.1522,0.5680,0.9581,1.140,500
S-curve,0.10,WDRO-inject-K2,0.124000,0.097946,0.155788,0.000000,0.000000,0.000163,0.000000,0.000000,0.000292,1.1220,0.4097,0.9581,1.066,500
S-curve,0.10,TopRisk-K1,0.104000,0.080194,0.133845,0.000000,0.000000,0.000165,0.000000,0.000000,0.000294,1.1462,0.5910,0.9582,1.187,500
S-curve,0.10,TopRisk-K2,0.106000,0.081957,0.136052,0.000000,0.000000,0.000166,0.000000,0.000000,0.000296,1.1566,0.5968,0.9582,1.013,500
S-curve,0.20,Base,0.738000,0.697746,0.774624,0.758278,0.753360,0.763130,0.871188,0.865455,0.876712,0.6900,0.1608,0.9246,0.936,500
S-curve,0.20,WDRO-sampling,0.154000,0.125010,0.188266,0.046924,0.044330,0.049662,0.044554,0.040873,0.048551,1.0861,0.3917,0.9575,1.199,500
S-curve,0.20,WDRO-inject-K1,0.150000,0.121375,0.183962,0.000000,0.000000,0.000159,0.000000,0.000000,0.000335,1.0839,0.4430,0.9576,1.108,500
S-curve,0.20,WDRO-inject-K2,0.130000,0.103320,0.162322,0.000000,0.000000,0.000158,0.000000,0.000000,0.000330,1.1111,0.4847,0.9571,1.324,500
S-curve,0.20,TopRisk-K1,0.142000,0.114129,0.175330,0.000000,0.000000,0.000160,0.000000,0.000000,0.000352,1.0866,0.4598,0.9580,1.097,500
S-curve,0.20,TopRisk-K2,0.170000,0.139620,0.205412,0.000000,0.000000,0.000158,0.000000,0.000000,0.000347,1.0747,0.4343,0.9575,1.075,500
S-curve,0.35,Base,0.776000,0.737430,0.810362,0.727764,0.722667,0.732802,0.821205,0.814091,0.828104,0.6426,0.1656,0.9241,1.060,500
S-curve,0.35,WDRO-sampling,0.148000,0.119561,0.181807,0.051182,0.048510,0.053993,0.047277,0.043185,0.051737,1.0719,0.5156,0.9573,1.084,500
S-curve,0.35,WDRO-inject-K1,0.174000,0.143289,0.209682,0.000000,0.000000,0.000155,0.000000,0.000000,0.000407,1.0484,0.4199,0.9577,1.188,500
S-curve,0.35,WDRO-inject-K2,0.150000,0.121375,0.183962,0.000000,0.000000,0.000157,0.000000,0.000000,0.000411,1.0670,0.5814,0.9574,1.282,500
S-curve,0.35,TopRisk-K1,0.166000,0.135957,0.201136,0.000000,0.000000,0.000155,0.000000,0.000000,0.000398,1.0491,0.5015,0.9570,1.108,500
S-curve,0.35,TopRisk-K2,0.182000,0.150646,0.218203,0.000000,0.000000,0.000155,0.000000,0.000000,0.000399,1.0420,0.4650,0.9573,1.150,500
S-curve,0.50,Base,0.808000,0.771179,0.840124,0.710114,0.704759,0.715411,0.801313,0.793143,0.809238,0.5992,0.1981,0.9340,1.031,500
S-curve,0.50,WDRO-sampling,0.204000,0.170998,0.241516,0.055143,0.052391,0.058030,0.045966,0.041701,0.050644,1.0248,0.4262,0.9570,1.042,500
S-curve,0.50,WDRO-inject-K1,0.180000,0.148804,0.216075,0.000000,0.000000,0.000154,0.000000,0.000000,0.000452,1.0324,0.4550,0.9573,1.129,500
S-curve,0.50,WDRO-inject-K2,0.176000,0.145126,0.211815,0.000000,0.000000,0.000154,0.000000,0.000000,0.000452,1.0326,0.4644,0.9571,1.135,500
S-curve,0.50,TopRisk-K1,0.184000,0.152489,0.220330,0.000000,0.000000,0.000154,0.000000,0.000000,0.000459,1.0290,0.4314,0.9568,1.173,500
S-curve,0.50,TopRisk-K2,0.216000,0.182167,0.254164,0.000000,0.000000,0.000152,0.000000,0.000000,0.000452,1.0054,0.3839,0.9567,1.254,500
Tight-S,0.02,Base,0.950000,0.927231,0.965906,0.645865,0.638644,0.653020,0.854172,0.847670,0.860442,0.4860,0.1096,0.9568,1.018,500
Tight-S,0.02,WDRO-sampling,0.310000,0.271038,0.351859,0.039851,0.037289,0.042582,0.038585,0.035644,0.041758,0.9465,0.0831,0.9578,1.177,500
Tight-S,0.02,WDRO-inject-K1,0.264000,0.227267,0.304332,0.000000,0.000000,0.000187,0.000000,0.000000,0.000255,0.9913,0.1319,0.9580,1.154,500
Tight-S,0.02,WDRO-inject-K2,0.252000,0.215933,0.291849,0.000000,0.000000,0.000187,0.000000,0.000000,0.000257,1.0088,0.1252,0.9579,1.116,500
Tight-S,0.02,TopRisk-K1,0.262000,0.225376,0.302254,0.000000,0.000000,0.000185,0.000000,0.000000,0.000256,0.9913,0.0979,0.9582,1.138,500
