switch_prob,challenge,num_obstacles,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mm_ci_lo,mm_ci_hi,rare_miss_rate,rare_ci_lo,rare_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
0.1,HighSpeed-1.5,1,Base,0.124000,0.097946,0.155788,0.782092,0.777504,0.786612,0.901164,0.896797,0.905367,1.6761,0.5124,0.9191,1.034,500
0.1,HighSpeed-1.5,1,WDRO-sampling,0.080000,0.059298,0.107107,0.018805,0.017034,0.020755,0.018291,0.015965,0.020949,1.3769,0.4373,0.9593,1.020,500
0.1,HighSpeed-1.5,1,WDRO-inject-K1,0.106000,0.081957,0.136052,0.000000,0.000000,0.000185,0.000000,0.000000,0.000322,1.3520,0.3509,0.9590,1.057,500
0.1,HighSpeed-1.5,1,WDRO-inject-K2,0.116000,0.090813,0.147042,0.000000,0.000000,0.000184,0.000000,0.000000,0.000319,1.3198,0.2788,0.9589,1.062,500
0.1,HighSpeed-1.5,1,TopRisk-K1,0.096000,0.073173,0.124988,0.000000,0.000000,0.000186,0.000000,0.000000,0.000339,1.3531,0.3998,0.9594,1.066,500
0.1,HighSpeed-1.5,1,TopRisk-K2,0.106000,0.081957,0.136052,0.000000,0.000000,0.000186,0.000000,0.000000,0.000340,1.3256,0.3378,0.9592,1.024,500
0.1,HighSpeed-1.5,1,DiverseRisk-K1,0.132000,0.105116,0.164495,0.000000,0.000000,0.000184,0.000000,0.000000,0.000332,1.3172,0.2461,0.9589,1.011,500
0.1,HighSpeed-1.5,1,Softmax-tau5,0.132000,0.105116,0.164495,0.000000,0.000000,0.000181,0.000000,0.000000,0.000331,1.3440,0.2219,0.9590,1.074,500
0.1,HighSpeed-2.0,1,Base,0.014000,0.006798,0.028613,0.815882,0.812369,0.819344,0.921295,0.918118,0.924358,2.5096,1.1963,0.8478,0.963,500
0.1,HighSpeed-2.0,1,WDRO-sampling,0.068000,0.049066,0.093521,0.013046,0.011617,0.014647,0.010719,0.009069,0.012665,1.9273,0.5019,0.9560,1.035,500
0.1,HighSpeed-2.0,1,WDRO-inject-K1,0.074000,0.054161,0.100335,0.000000,0.000000,0.000180,0.000000,0.000000,0.000322,1.8405,0.4876,0.9561,1.102,500
0.1,HighSpeed-2.0,1,WDRO-inject-K2,0.080000,0.059298,0.107107,0.000000,0.000000,0.000179,0.000000,0.000000,0.000320,1.8409,0.4334,0.9563,1.080,500
0.1,HighSpeed-2.0,1,TopRisk-K1,0.094000,0.071426,0.122765,0.000000,0.000000,0.000179,0.000000,0.000000,0.000319,1.8553,0.3714,0.9561,1.092,500
0.1,HighSpeed-2.0,1,TopRisk-K2,0.070000,0.050759,0.095798,0.000000,0.000000,0.000179,0.000000,0.000000,0.000319,1.8644,0.5227,0.9561,1.082,500
0.1,HighSpeed-2.0,1,DiverseRisk-K1,0.082000,0.061019,0.109355,0.000000,0.000000,0.000179,0.000000,0.000000,0.000320,1.8441,0.4765,0.9564,1.147,500
0.1,HighSpeed-2.0,1,Softmax-tau5,0.070000,0.050759,0.095798,0.000000,0.000000,0.000174,0.000000,0.000000,0.000310,1.9844,0.5789,0.9541,1.214,500
0.1,Crossing,1,Base,0.870000,0.837678,0.896680,0.721212,0.715001,0.727339,0.849215,0.842531,0.855665,0.5303,0.1301,0.9589,0.908,500
0.1,Crossing,1,WDRO-sampling,0.184000,0.152489,0.220330,0.039880,0.037481,0.042427,0.044015,0.040695,0.047592,1.0738,0.2618,0.9586,1.091,500
0.1,Crossing,1,WDRO-inject-K1,0.188000,0.156179,0.224578,0.000000,0.000000,0.000162,0.000000,0.000000,0.000291,1.0589,0.2582,0.9590,1.194,500
0.1,Crossing,1,WDRO-inject-K2,0.202000,0.169141,0.239404,0.000000,0.000000,0.000162,0.000000,0.000000,0.000290,1.0397,0.2306,0.9590,1.161,500
0.1,Crossing,1,TopRisk-K1,0.206000,0.172856,0.243627,0.000000,0.000000,0.000159,0.000000,0.000000,0.000279,1.0421,0.1629,0.9590,1.134,500
0.1,Crossing,1,TopRisk-K2,0.204000,0.170998,0.241516,0.000000,0.000000,0.000159,0.000000,0.000000,0.000280,1.0596,0.2363,0.9586,1.174,500
0.1,Crossing,1,DiverseRisk-K1,0.224000,0.189638,0.262570,0.000000,0.000000,0.000158,0.000000,0.000000,0.000278,1.0148,0.2248,0.9588,1.079,500
0.1,Crossing,1,Softmax-tau5,0.206000,0.172856,0.243627,0.000000,0.000000,0.000157,0.000000,0.000000,0.000282,1.0703,0.2059,0.9584,1.077,500
0.1,Diagonal,1,Base,0.678000,0.635821,0.717465,0.735943,0.730444,0.741371,0.864605,0.858824,0.870185,0.7126,0.1795,0.9474,0.956,500
0.1,Diagonal,1,WDRO-sampling,0.130000,0.103320,0.162322,0.039061,0.036682,0.041588,0.044958,0.041574,0.048603,1.1027,0.5410,0.9577,1.124,500
0.1,Diagonal,1,WDRO-inject-K1,0.152000,0.123192,0.186115,0.000000,0.000000,0.000162,0.000000,0.000000,0.000278,1.0681,0.3958,0.9582,1.251,500
0.1,Diagonal,1,WDRO-inject-K2,0.132000,0.105116,0.164495,0.000000,0.000000,0.000161,0.000000,0.000000,0.000277,1.0976,0.4077,0.9580,1.130,500
0.1,Diagonal,1,TopRisk-K1,0.140000,0.112322,0.173168,0.000000,0.000000,0.000161,0.000000,0.000000,0.000286,1.0967,0.3946,0.9581,1.204,500
0.1,Diagonal,1,TopRisk-K2,0.144000,0.115938,0.177491,0.000000,0.000000,0.000160,0.000000,0.000000,0.000286,1.0818,0.3234,0.9579,1.115,500
0.1,Diagonal,1,DiverseRisk-K1,0.124000,0.097946,0.155788,0.000000,0.000000,0.000161,0.000000,0.000000,0.000275,1.1249,0.4435,0.9575,1.141,500
0.1,Diagonal,1,Softmax-tau5,0.182000,0.150646,0.218203,0.000000,0.000000,0.000158,0.000000,0.000000,0.000278,1.1049,0.3216,0.9580,1.128,500
0.1,Mixed-2obs,2,Base,0.708000,0.666680,0.746148,0.748155,0.744484,0.751792,0.869064,0.865260,0.872776,0.7220,0.1612,0.9322,1.051,500
0.1,Mixed-2obs,2,WDRO-sampling,0.116000,0.090813,0.147042,0.021898,0.020638,0.023233,0.016972,0.015522,0.018555,1.1794,0.2721,0.9558,1.348,500
0.1,Mixed-2obs,2,WDRO-inject-K1,0.182000,0.150646,0.218203,0.000000,0.000000,0.000076,0.000000,0.000000,0.000133,1.0944,0.1925,0.9556,1.420,500
0.1,Mixed-2obs,2,WDRO-inject-K2,0.160000,0.130476,0.194709,0.000000,0.000000,0.000077,0.000000,0.000000,0.000135,1.1055,0.1988,0.9555,1.494,500
0.1,Mixed-2obs,2,TopRisk-K1,0.168000,0.137788,0.203275,0.000000,0.000000,0.000076,0.000000,0.000000,0.000132,1.1077,0.2021,0.9552,1.340,500
0.1,Mixed-2obs,2,TopRisk-K2,0.182000,0.150646,0.218203,0.000000,0.000000,0.000075,0.000000,0.000000,0.000130,1.0899,0.1594,0.9548,1.407,500
0.1,Mixed-2obs,2,DiverseRisk-K1,0.166000,0.135957,0.201136,0.000000,0.000000,0.000076,0.000000,0.000000,0.000133,1.1143,0.2243,0.9554,1.320,500
0.1,Mixed-2obs,2,Softmax-tau5,0.194000,0.161726,0.230940,0.000000,0.000000,0.000078,0.000000,0.000000,0.000139,1.0665,0.0985,0.9570,1.347,500
0.1,Mixed-3obs,3,Base,0.744000,0.703986,0.780293,0.771544,0.769054,0.774014,0.870619,0.867996,0.873196,0.6649,0.1888,0.8987,1.271,500
0.1,Mixed-3obs,3,WDRO-sampling,0.346000,0.305621,0.388728,0.024890,0.023826,0.026001,0.021540,0.020244,0.022918,0.8927,0.1964,0.9566,1.779,500
0.1,Mixed-3obs,3,WDRO-inject-K1,0.274000,0.236740,0.314706,0.000000,0.000000,0.000050,0.000000,0.000000,0.000087,0.9377,0.2240,0.9566,1.632,500
0.1,Mixed-3obs,3,WDRO-inject-K2,0.298000,0.259573,0.339508,0.000000,0.000000,0.000050,0.000000,0.000000,0.000089,0.9315,0.2541,0.9568,1.621,500
0.1,Mixed-3obs,3,TopRisk-K1,0.316000,0.276783,0.358023,0.000000,0.000000,0.000049,0.000000,0.000000,0.000086,0.9262,0.2238,0.9563,1.661,500
0.1,Mixed-3obs,3,TopRisk-K2,0.294000,0.255758,0.335384,0.000000,0.000000,0.000051,0.000000,0.000000,0.000088,0.9451,0.1998,0.9563,1.653,500
0.1,Mixed-3obs,3,DiverseRisk-K1,0.324000,0.284455,0.366229,0.000000,0.000000,0.000050,0.000000,0.000000,0.000088,0.9146,0.2274,0.9571,1.756,500
0.1,Mixed-3obs,3,Softmax-tau5,0.338000,0.297912,0.380558,0.000000,0.000000,0.000050,0.000000,0.000000,0.000087,0.9131,0.2405,0.9564,1.671,500
0.1,Dense-4obs,4,Base,0.672000,0.629673,0.711705,0.765780,0.763639,0.767908,0.862163,0.859881,0.864414,0.7579,0.1526,0.8888,1.483,500
0.1,Dense-4obs,4,WDRO-sampling,0.254000,0.217820,0.293932,0.027126,0.026142,0.028145,0.024582,0.023354,0.025873,0.9921,0.1656,0.9562,1.747,500
0.1,Dense-4obs,4,WDRO-inject-K1,0.286000,0.248139,0.327124,0.000000,0.000000,0.000039,0.000000,0.000000,0.000068,0.9375,0.1066,0.9568,1.816,500
0.1,Dense-4obs,4,WDRO-inject-K2,0.292000,0.253852,0.333320,0.000000,0.000000,0.000039,0.000000,0.000000,0.000068,0.9489,0.0916,0.9568,1.884,500
0.1,Dense-4obs,4,TopRisk-K1,0.274000,0.236740,0.314706,0.000000,0.000000,0.000039,0.000000,0.000000,0.000068,0.9724,0.1617,0.9571,1.846,500
0.1,Dense-4obs,4,TopRisk-K2,0.294000,0.255758,0.335384,0.000000,0.000000,0.000039,0.000000,0.000000,0.000068,0.9514,0.1115,0.9573,1.584,500
0.1,Dense-4obs,4,DiverseRisk-K1,0.290000,0.251947,0.331256,0.000000,0.000000,0.000039,0.000000,0.000000,0.000069,0.9435,0.1263,0.9553,1.554,500
0.1,Dense-4obs,4,Softmax-tau5,0.226000,0.191509,0.264669,0.000000,0.000000,0.000039,0.000000,0.000000,0.000069,1.0105,0.1360,0.9569,1.546,500
0.1,HighSpeed-Dense,3,Base,0.308000,0.269125,0.349803,0.751701,0.748719,0.754658,0.865085,0.861957,0.868152,1.1632,0.2560,0.9412,1.196,500
0.1,HighSpeed-Dense,3,WDRO-sampling,0.242000,0.206517,0.281417,0.020520,0.019491,0.021602,0.019830,0.018498,0.021255,1.0108,0.2333,0.9585,1.324,500
0.1,HighSpeed-Dense,3,WDRO-inject-K1,0.226000,0.191509,0.264669,0.000000,0.000000,0.000056,0.000000,0.000000,0.000098,1.0213,0.2934,0.9586,1.302,500
0.1,HighSpeed-Dense,3,WDRO-inject-K2,0.270000,0.232948,0.310559,0.000000,0.000000,0.000055,0.000000,0.000000,0.000098,1.0094,0.3062,0.9591,1.297,500
0.1,HighSpeed-Dense,3,TopRisk-K1,0.226000,0.191509,0.264669,0.000000,0.000000,0.000055,0.000000,0.000000,0.000098,1.0264,0.3407,0.9583,1.290,500
