path,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mm_ci_lo,mm_ci_hi,rare_miss_rate,rare_ci_lo,rare_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
Straight,Base,0.556000,0.525049,0.586523,0.745062,0.741572,0.748521,0.859252,0.855117,0.863288,0.8344,0.1841,0.9323,0.822,1000
Straight,WDRO-sampling,0.150000,0.129210,0.173469,0.061914,0.059847,0.064048,0.056398,0.053499,0.059445,1.0574,0.5939,0.9604,0.926,1000
Straight,WDRO-inject-K1,0.115000,0.096683,0.136264,0.013711,0.012724,0.014773,0.001994,0.001496,0.002659,1.0589,0.6240,0.9600,0.908,1000
Straight,WDRO-inject-K2,0.133000,0.113351,0.155458,0.012804,0.011858,0.013825,0.001674,0.001225,0.002287,1.0516,0.6141,0.9602,0.925,1000
Straight,WDRO-inject-K3,0.120000,0.101299,0.141609,0.010448,0.009595,0.011376,0.000685,0.000422,0.001113,1.0577,0.6633,0.9604,0.923,1000
Straight,TopRisk-K1,0.116000,0.097605,0.137334,0.013428,0.012456,0.014474,0.002715,0.002123,0.003472,1.0596,0.6814,0.9602,0.933,1000
Straight,TopRisk-K2,0.129000,0.109635,0.151204,0.013807,0.012827,0.014861,0.002617,0.002038,0.003360,1.0554,0.6284,0.9602,0.925,1000
Straight,TopRisk-K3,0.127000,0.107780,0.149075,0.012696,0.011754,0.013713,0.002362,0.001815,0.003073,1.0610,0.6660,0.9604,0.912,1000
Straight,DiverseRisk-K1,0.116000,0.097605,0.137334,0.012985,0.012031,0.014014,0.003025,0.002391,0.003826,1.0558,0.6108,0.9598,0.913,1000
Straight,Softmax-tau5,0.133000,0.113351,0.155458,0.001465,0.001167,0.001838,0.002298,0.001762,0.002997,1.0663,0.5826,0.9602,0.915,1000
Gentle-S,Base,0.691000,0.661674,0.718864,0.749439,0.745779,0.753064,0.854835,0.850431,0.859131,0.7093,0.1926,0.9450,0.838,1000
Gentle-S,WDRO-sampling,0.163000,0.141404,0.187176,0.061155,0.059105,0.063272,0.049318,0.046604,0.052181,1.0417,0.4846,0.9596,0.928,1000
Gentle-S,WDRO-inject-K1,0.154000,0.132956,0.177692,0.012581,0.011640,0.013597,0.002741,0.002143,0.003505,1.0486,0.5352,0.9591,0.949,1000
Gentle-S,WDRO-inject-K2,0.131000,0.111492,0.153332,0.013738,0.012751,0.014799,0.002528,0.001957,0.003267,1.0518,0.6006,0.9590,0.941,1000
Gentle-S,WDRO-inject-K3,0.168000,0.146108,0.192433,0.010119,0.009280,0.011034,0.001299,0.000910,0.001854,1.0297,0.5056,0.9591,0.939,1000
Gentle-S,TopRisk-K1,0.173000,0.150819,0.197684,0.013635,0.012659,0.014685,0.002913,0.002295,0.003697,1.0361,0.5383,0.9590,0.938,1000
Gentle-S,TopRisk-K2,0.163000,0.141404,0.187176,0.013960,0.012969,0.015026,0.003296,0.002630,0.004129,1.0385,0.5582,0.9591,0.945,1000
Gentle-S,TopRisk-K3,0.175000,0.152705,0.199782,0.012813,0.011868,0.013833,0.002256,0.001721,0.002957,1.0405,0.5539,0.9592,0.943,1000
Gentle-S,DiverseRisk-K1,0.152000,0.131082,0.175581,0.013692,0.012715,0.014744,0.002811,0.002206,0.003581,1.0471,0.5823,0.9593,0.945,1000
Gentle-S,Softmax-tau5,0.217000,0.192560,0.243606,0.001665,0.001348,0.002055,0.002580,0.002009,0.003312,1.0112,0.4799,0.9596,0.964,1000
S-curve,Base,0.803000,0.777209,0.826472,0.733416,0.729564,0.737232,0.842012,0.837325,0.846590,0.6162,0.1479,0.9441,0.856,1000
S-curve,WDRO-sampling,0.153000,0.132019,0.176637,0.059871,0.057800,0.062011,0.051080,0.048276,0.054037,1.1025,0.4838,0.9582,0.951,1000
S-curve,WDRO-inject-K1,0.131000,0.111492,0.153332,0.012827,0.011858,0.013874,0.002662,0.002064,0.003431,1.0813,0.5053,0.9583,0.963,1000
S-curve,WDRO-inject-K2,0.138000,0.118004,0.160766,0.012201,0.011257,0.013224,0.001852,0.001366,0.002512,1.0794,0.5163,0.9581,0.963,1000
S-curve,WDRO-inject-K3,0.138000,0.118004,0.160766,0.009742,0.008901,0.010663,0.001367,0.000958,0.001951,1.0783,0.5345,0.9581,0.970,1000
S-curve,TopRisk-K1,0.143000,0.122667,0.166065,0.012663,0.011702,0.013702,0.002939,0.002311,0.003737,1.0830,0.5190,0.9582,0.974,1000
S-curve,TopRisk-K2,0.134000,0.114281,0.156521,0.012321,0.011373,0.013347,0.001956,0.001458,0.002625,1.0920,0.5421,0.9583,0.980,1000
S-curve,TopRisk-K3,0.145000,0.124535,0.168183,0.012334,0.011387,0.013358,0.002178,0.001648,0.002877,1.0749,0.4667,0.9584,0.985,1000
S-curve,DiverseRisk-K1,0.144000,0.123601,0.167124,0.012648,0.011688,0.013685,0.002307,0.001755,0.003031,1.0745,0.4785,0.9581,0.991,1000
S-curve,Softmax-tau5,0.218000,0.193514,0.244644,0.002151,0.001780,0.002598,0.004244,0.003481,0.005175,1.0488,0.3659,0.9578,0.983,1000
Tight-S,Base,0.978000,0.966914,0.985427,0.705095,0.700213,0.709930,0.834436,0.828395,0.840305,0.3687,0.1056,0.9565,0.823,1000
Tight-S,WDRO-sampling,0.294000,0.266594,0.322983,0.070951,0.068580,0.073397,0.045523,0.042714,0.048508,0.9617,0.1723,0.9577,1.021,1000
Tight-S,WDRO-inject-K1,0.275000,0.248225,0.303497,0.012666,0.011651,0.013770,0.002142,0.001585,0.002893,0.9517,0.2273,0.9577,1.018,1000
Tight-S,WDRO-inject-K2,0.274000,0.247260,0.302469,0.011709,0.010733,0.012774,0.001531,0.001073,0.002185,0.9493,0.2185,0.9576,1.023,1000
Tight-S,WDRO-inject-K3,0.269000,0.242438,0.297330,0.008728,0.007891,0.009652,0.000814,0.000501,0.001323,0.9506,0.2103,0.9577,1.012,1000
Tight-S,TopRisk-K1,0.267000,0.240510,0.295273,0.012446,0.011442,0.013538,0.002573,0.001958,0.003381,0.9666,0.2050,0.9577,1.001,1000
Tight-S,TopRisk-K2,0.271000,0.244366,0.299386,0.012015,0.011023,0.013094,0.003248,0.002540,0.004154,0.9553,0.2316,0.9579,1.041,1000
Tight-S,TopRisk-K3,0.305000,0.277255,0.334238,0.011833,0.010855,0.012898,0.002329,0.001747,0.003105,0.9234,0.1895,0.9580,1.020,1000
Tight-S,DiverseRisk-K1,0.303000,0.275315,0.332193,0.013099,0.012069,0.014217,0.002485,0.001880,0.003284,0.9314,0.1910,0.9578,1.019,1000
Tight-S,Softmax-tau5,0.342000,0.313252,0.371957,0.001603,0.001271,0.002021,0.002614,0.001994,0.003426,0.9126,0.1995,0.9579,1.030,1000
Circle,Base,0.000000,0.000000,0.003827,0.700067,0.694856,0.705226,0.848596,0.842417,0.854575,2.1405,1.6798,0.9648,0.597,1000
Circle,WDRO-sampling,0.000000,0.000000,0.003827,0.019533,0.018027,0.021161,0.008586,0.007153,0.010304,2.2065,1.7976,0.9648,0.691,1000
Circle,WDRO-inject-K1,0.000000,0.000000,0.003827,0.010066,0.008998,0.011260,0.003171,0.002355,0.004268,2.1772,1.7978,0.9648,0.670,1000
Circle,WDRO-inject-K2,0.000000,0.000000,0.003827,0.010267,0.009187,0.011472,0.003540,0.002671,0.004690,2.1738,1.7896,0.9648,0.698,1000
Circle,WDRO-inject-K3,0.000000,0.000000,0.003827,0.006900,0.006024,0.007902,0.000959,0.000560,0.001640,2.1785,1.8149,0.9648,0.690,1000
Circle,TopRisk-K1,0.000000,0.000000,0.003827,0.010433,0.009344,0.011647,0.004583,0.003570,0.005882,2.1760,1.7869,0.9648,0.677,1000
Circle,TopRisk-K2,0.000000,0.000000,0.003827,0.010596,0.009499,0.011819,0.003306,0.002463,0.004434,2.1835,1.8238,0.9648,0.667,1000
Circle,TopRisk-K3,0.000000,0.000000,0.003827,0.010300,0.009218,0.011506,0.003230,0.002399,0.004348,2.1808,1.7842,0.9648,0.665,1000
Circle,DiverseRisk-K1,0.000000,0.000000,0.003827,0.010433,0.009344,0.011647,0.003680,0.002785,0.004861,2.1777,1.8032,0.9648,0.668,1000
Circle,Softmax-tau5,0.000000,0.000000,0.003827,0.000867,0.000591,0.001269,0.001575,0.001030,0.002407,2.2000,1.7763,0.9648,0.672,1000
