challenge,num_obstacles,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mm_ci_lo,mm_ci_hi,rare_miss_rate,rare_ci_lo,rare_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
HighSpeed-1.5,1,Base,0.169000,0.147049,0.193484,0.749736,0.746351,0.753091,0.858843,0.854834,0.862760,1.5343,0.4786,0.9174,0.867,1000
HighSpeed-1.5,1,WDRO-sampling,0.108000,0.090241,0.128759,0.038988,0.037176,0.040884,0.025926,0.023735,0.028312,1.3098,0.4319,0.9590,0.917,1000
HighSpeed-1.5,1,WDRO-inject-K1,0.128000,0.108707,0.150140,0.012808,0.011780,0.013924,0.002795,0.002143,0.003645,1.2685,0.3087,0.9587,0.928,1000
HighSpeed-1.5,1,WDRO-inject-K2,0.161000,0.139524,0.185070,0.011157,0.010202,0.012199,0.002320,0.001735,0.003103,1.2329,0.2718,0.9586,0.945,1000
HighSpeed-1.5,1,WDRO-inject-K3,0.136000,0.116142,0.158644,0.008455,0.007626,0.009373,0.001191,0.000794,0.001787,1.2619,0.3063,0.9586,0.917,1000
HighSpeed-1.5,1,TopRisk-K1,0.130000,0.110563,0.152268,0.012728,0.011701,0.013844,0.002741,0.002096,0.003583,1.2730,0.2742,0.9588,0.911,1000
HighSpeed-1.5,1,TopRisk-K2,0.140000,0.119868,0.162887,0.012116,0.011117,0.013203,0.002680,0.002044,0.003512,1.2672,0.2893,0.9588,0.913,1000
HighSpeed-1.5,1,TopRisk-K3,0.147000,0.126404,0.170298,0.012794,0.011768,0.013908,0.002835,0.002179,0.003688,1.2803,0.3068,0.9586,0.912,1000
HighSpeed-1.5,1,DiverseRisk-K1,0.118000,0.099451,0.139473,0.012395,0.011379,0.013501,0.002142,0.001585,0.002893,1.2886,0.3245,0.9589,0.915,1000
HighSpeed-1.5,1,Softmax-tau5,0.143000,0.122667,0.166065,0.001957,0.001582,0.002423,0.003139,0.002449,0.004021,1.2892,0.2669,0.9587,0.917,1000
HighSpeed-2.0,1,Base,0.014000,0.008357,0.023362,0.787738,0.785194,0.790260,0.892320,0.889526,0.895052,2.4517,1.1235,0.8333,0.854,1000
HighSpeed-2.0,1,WDRO-sampling,0.113000,0.094840,0.134122,0.034569,0.032898,0.036321,0.016490,0.014823,0.018341,1.7450,0.3393,0.9561,0.936,1000
