num_modes,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mm_ci_lo,mm_ci_hi,rare_miss_rate,rare_ci_lo,rare_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
2,Base,0.770000,0.742913,0.795021,0.528255,0.523895,0.532611,0.812866,0.808606,0.817054,0.6717,0.2477,0.9449,0.821,1000
2,WDRO-sampling,0.110000,0.092079,0.130906,0.066720,0.064562,0.068945,0.086355,0.083324,0.089485,1.0205,0.7384,0.9589,0.907,1000
2,WDRO-inject-K1,0.106000,0.088405,0.126611,0.000580,0.000404,0.000833,0.000901,0.000627,0.001294,1.0149,0.7465,0.9589,0.902,1000
2,WDRO-inject-K2,0.102000,0.084739,0.122307,0.000000,0.000000,0.000077,0.000000,0.000000,0.000119,1.0243,0.7675,0.9591,0.902,1000
2,WDRO-inject-K3,0.096000,0.079257,0.115836,0.000000,0.000000,0.000077,0.000000,0.000000,0.000120,1.0237,0.7547,0.9589,0.902,1000
2,TopRisk-K1,0.092000,0.075614,0.111509,0.000644,0.000457,0.000910,0.001004,0.000712,0.001418,1.0256,0.7864,0.9591,0.901,1000
2,TopRisk-K2,0.096000,0.079257,0.115836,0.000664,0.000473,0.000933,0.001036,0.000738,0.001454,1.0247,0.7751,0.9589,0.899,1000
2,TopRisk-K3,0.103000,0.085655,0.123384,0.000463,0.000309,0.000695,0.000722,0.000481,0.001084,1.0191,0.7639,0.9590,0.900,1000
3,Base,0.858000,0.834994,0.878266,0.642534,0.638262,0.646783,0.846625,0.842189,0.850959,0.5119,0.1075,0.9502,0.819,1000
3,WDRO-sampling,0.144000,0.123601,0.167124,0.068582,0.066374,0.070858,0.068053,0.065124,0.071103,1.0628,0.3561,0.9589,0.889,1000
3,WDRO-inject-K1,0.126000,0.106853,0.148010,0.003706,0.003201,0.004291,0.001511,0.001110,0.002057,1.0672,0.4129,0.9594,0.888,1000
3,WDRO-inject-K2,0.119000,0.100375,0.140541,0.003530,0.003037,0.004103,0.000796,0.000520,0.001216,1.0743,0.4432,0.9593,0.893,1000
3,WDRO-inject-K3,0.125000,0.105926,0.146944,0.000167,0.000085,0.000329,0.000151,0.000059,0.000389,1.0719,0.4458,0.9594,0.895,1000
3,TopRisk-K1,0.132000,0.112421,0.154395,0.003774,0.003266,0.004361,0.002095,0.001610,0.002726,1.0601,0.3599,0.9595,0.891,1000
3,TopRisk-K2,0.137000,0.117073,0.159706,0.003565,0.003071,0.004137,0.001617,0.001196,0.002184,1.0619,0.4041,0.9593,0.894,1000
3,TopRisk-K3,0.139000,0.118936,0.161827,0.003327,0.002852,0.003881,0.001455,0.001060,0.001996,1.0514,0.3755,0.9591,0.897,1000
4,Base,0.457000,0.426348,0.487981,0.684624,0.680542,0.688678,0.820906,0.816044,0.825667,0.9313,0.2565,0.9461,0.816,1000
4,WDRO-sampling,0.080000,0.064748,0.098467,0.047887,0.045975,0.049874,0.019809,0.018084,0.021695,1.1142,0.7537,0.9590,0.890,1000
4,WDRO-inject-K1,0.078000,0.062947,0.096283,0.008383,0.007591,0.009258,0.002187,0.001655,0.002890,1.0957,0.7367,0.9592,0.889,1000
4,WDRO-inject-K2,0.073000,0.058459,0.090809,0.007464,0.006717,0.008295,0.001570,0.001129,0.002183,1.0949,0.7537,0.9592,0.892,1000
4,WDRO-inject-K3,0.082000,0.066552,0.100648,0.005307,0.004682,0.006015,0.000718,0.000442,0.001167,1.0990,0.7500,0.9591,0.894,1000
4,TopRisk-K1,0.088000,0.071981,0.107173,0.008474,0.007676,0.009355,0.002351,0.001793,0.003081,1.0898,0.7117,0.9590,0.892,1000
4,TopRisk-K2,0.097000,0.080169,0.116916,0.008336,0.007545,0.009208,0.002028,0.001516,0.002712,1.0886,0.6998,0.9589,0.895,1000
4,TopRisk-K3,0.081000,0.065649,0.099558,0.008088,0.007310,0.008949,0.002114,0.001590,0.002810,1.0935,0.7169,0.9591,0.894,1000
5,Base,0.810000,0.784516,0.833111,0.729691,0.725847,0.733501,0.834530,0.829714,0.839236,0.6073,0.1320,0.9429,0.816,1000
5,WDRO-sampling,0.134000,0.114281,0.156521,0.060972,0.058870,0.063145,0.051295,0.048475,0.054269,1.1110,0.5654,0.9581,0.932,1000
5,WDRO-inject-K1,0.137000,0.117073,0.159706,0.012829,0.011860,0.013875,0.002598,0.002006,0.003364,1.0721,0.4909,0.9581,0.938,1000
5,WDRO-inject-K2,0.148000,0.127339,0.171356,0.011833,0.010905,0.012839,0.002509,0.001928,0.003264,1.0728,0.4780,0.9583,0.929,1000
5,WDRO-inject-K3,0.162000,0.140464,0.186123,0.010236,0.009377,0.011174,0.001225,0.000842,0.001782,1.0620,0.4884,0.9581,0.934,1000
5,TopRisk-K1,0.152000,0.131082,0.175581,0.013630,0.012635,0.014703,0.002852,0.002234,0.003640,1.0686,0.4350,0.9581,0.921,1000
5,TopRisk-K2,0.139000,0.118936,0.161827,0.012549,0.011593,0.013583,0.002324,0.001773,0.003046,1.0790,0.4913,0.9581,0.920,1000
5,TopRisk-K3,0.141000,0.120801,0.163947,0.013179,0.012199,0.014236,0.002855,0.002237,0.003644,1.0816,0.5305,0.9580,0.922,1000
6,Base,0.714000,0.685214,0.741148,0.767736,0.764050,0.771383,0.860723,0.856138,0.865186,0.6851,0.1943,0.9443,0.815,1000
6,WDRO-sampling,0.130000,0.110563,0.152268,0.069352,0.067135,0.071638,0.060505,0.057416,0.063748,1.0644,0.6034,0.9586,0.944,1000
6,WDRO-inject-K1,0.127000,0.107780,0.149075,0.018516,0.017358,0.019750,0.002834,0.002203,0.003646,1.0487,0.6119,0.9586,0.946,1000
6,WDRO-inject-K2,0.136000,0.116142,0.158644,0.016473,0.015381,0.017641,0.002608,0.002005,0.003393,1.0530,0.6149,0.9585,0.948,1000
6,WDRO-inject-K3,0.123000,0.104074,0.144812,0.014383,0.013363,0.015480,0.001374,0.000957,0.001973,1.0487,0.6057,0.9587,0.948,1000
