path,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mm_ci_lo,mm_ci_hi,rare_miss_rate,rare_ci_lo,rare_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
Straight,Base,0.588000,0.557213,0.618113,0.752309,0.748866,0.755720,0.863286,0.859224,0.867249,0.8083,0.1730,0.9314,0.838,1000
Straight,WDRO-sampling,0.132000,0.112421,0.154395,0.048260,0.046423,0.050166,0.052018,0.049228,0.054958,1.0661,0.5908,0.9602,0.922,1000
Straight,WDRO-inject-K1,0.128000,0.108707,0.150140,0.000000,0.000000,0.000076,0.000000,0.000000,0.000164,1.0506,0.6458,0.9601,0.923,1000
Straight,WDRO-inject-K2,0.130000,0.110563,0.152268,0.000000,0.000000,0.000076,0.000000,0.000000,0.000164,1.0612,0.6511,0.9603,0.930,1000
Straight,WDRO-inject-K3,0.135000,0.115211,0.157583,0.000000,0.000000,0.000076,0.000000,0.000000,0.000164,1.0596,0.6551,0.9601,0.926,1000
Straight,TopRisk-K1,0.135000,0.115211,0.157583,0.000000,0.000000,0.000076,0.000000,0.000000,0.000165,1.0552,0.6288,0.9603,0.916,1000
Straight,TopRisk-K2,0.149000,0.128274,0.172412,0.000000,0.000000,0.000076,0.000000,0.000000,0.000164,1.0554,0.6553,0.9605,0.920,1000
Straight,TopRisk-K3,0.130000,0.110563,0.152268,0.000000,0.000000,0.000076,0.000000,0.000000,0.000165,1.0530,0.6400,0.9603,0.921,1000
Straight,DiverseRisk-K1,0.151000,0.130146,0.174525,0.000000,0.000000,0.000076,0.000000,0.000000,0.000166,1.0435,0.6233,0.9602,0.926,1000
Straight,Softmax-tau5,0.149000,0.128274,0.172412,0.000000,0.000000,0.000075,0.000000,0.000000,0.000160,1.0653,0.5749,0.9607,0.927,1000
Gentle-S,Base,0.707000,0.678041,0.734375,0.749207,0.745552,0.752827,0.849280,0.844835,0.853620,0.6869,0.1590,0.9449,0.838,1000
Gentle-S,WDRO-sampling,0.170000,0.147991,0.194535,0.048489,0.046656,0.050391,0.043255,0.040710,0.045951,1.0421,0.4843,0.9588,0.964,1000
Gentle-S,WDRO-inject-K1,0.165000,0.143284,0.189280,0.000000,0.000000,0.000076,0.000000,0.000000,0.000167,1.0313,0.5074,0.9589,0.952,1000
Gentle-S,WDRO-inject-K2,0.168000,0.146108,0.192433,0.000000,0.000000,0.000076,0.000000,0.000000,0.000165,1.0331,0.5589,0.9592,0.932,1000
Gentle-S,WDRO-inject-K3,0.139000,0.118936,0.161827,0.000000,0.000000,0.000077,0.000000,0.000000,0.000167,1.0476,0.5551,0.9591,0.937,1000
Gentle-S,TopRisk-K1,0.170000,0.147991,0.194535,0.000000,0.000000,0.000076,0.000000,0.000000,0.000167,1.0381,0.5303,0.9593,0.934,1000
Gentle-S,TopRisk-K2,0.169000,0.147049,0.193484,0.000000,0.000000,0.000076,0.000000,0.000000,0.000166,1.0408,0.5581,0.9590,0.934,1000
Gentle-S,TopRisk-K3,0.161000,0.139524,0.185070,0.000000,0.000000,0.000076,0.000000,0.000000,0.000168,1.0463,0.5511,0.9595,0.937,1000
Gentle-S,DiverseRisk-K1,0.152000,0.131082,0.175581,0.000000,0.000000,0.000076,0.000000,0.000000,0.000166,1.0438,0.5850,0.9591,0.938,1000
Gentle-S,Softmax-tau5,0.223000,0.198288,0.249832,0.000000,0.000000,0.000075,0.000000,0.000000,0.000165,1.0107,0.4540,0.9595,0.946,1000
S-curve,Base,0.794000,0.767831,0.817919,0.734981,0.731176,0.738751,0.846514,0.841932,0.850986,0.6180,0.1464,0.9421,0.842,1000
S-curve,WDRO-sampling,0.172000,0.149876,0.196634,0.047044,0.045199,0.048959,0.050238,0.047459,0.053170,1.0750,0.4446,0.9580,0.946,1000
S-curve,WDRO-inject-K1,0.148000,0.127339,0.171356,0.000000,0.000000,0.000080,0.000000,0.000000,0.000174,1.0720,0.5356,0.9583,0.955,1000
S-curve,WDRO-inject-K2,0.144000,0.123601,0.167124,0.000000,0.000000,0.000080,0.000000,0.000000,0.000174,1.0823,0.5348,0.9582,0.952,1000
S-curve,WDRO-inject-K3,0.157000,0.135769,0.180856,0.000000,0.000000,0.000079,0.000000,0.000000,0.000172,1.0727,0.4863,0.9582,0.951,1000
S-curve,TopRisk-K1,0.145000,0.124535,0.168183,0.000000,0.000000,0.000080,0.000000,0.000000,0.000170,1.0682,0.4900,0.9583,0.956,1000
S-curve,TopRisk-K2,0.142000,0.121734,0.165006,0.000000,0.000000,0.000080,0.000000,0.000000,0.000171,1.0760,0.5191,0.9580,0.950,1000
S-curve,TopRisk-K3,0.156000,0.134831,0.179802,0.000000,0.000000,0.000079,0.000000,0.000000,0.000170,1.0734,0.4426,0.9582,0.954,1000
S-curve,DiverseRisk-K1,0.152000,0.131082,0.175581,0.000000,0.000000,0.000079,0.000000,0.000000,0.000173,1.0742,0.4748,0.9580,0.952,1000
S-curve,Softmax-tau5,0.180000,0.157427,0.205023,0.000000,0.000000,0.000078,0.000000,0.000000,0.000170,1.0659,0.3761,0.9574,0.962,1000
Tight-S,Base,0.982000,0.971727,0.988584,0.706367,0.701501,0.711187,0.835963,0.829955,0.841799,0.3738,0.0875,0.9562,0.801,1000
Tight-S,WDRO-sampling,0.312000,0.284049,0.341390,0.057097,0.054964,0.059307,0.039038,0.036433,0.041821,0.9386,0.1959,0.9575,0.998,1000
Tight-S,WDRO-inject-K1,0.279000,0.252087,0.307604,0.000000,0.000000,0.000090,0.000000,0.000000,0.000195,0.9469,0.1929,0.9578,1.000,1000
Tight-S,WDRO-inject-K2,0.280000,0.253053,0.308631,0.000000,0.000000,0.000089,0.000000,0.000000,0.000196,0.9477,0.2464,0.9578,1.002,1000
Tight-S,WDRO-inject-K3,0.274000,0.247260,0.302469,0.000000,0.000000,0.000089,0.000000,0.000000,0.000195,0.9469,0.1884,0.9580,1.005,1000
Tight-S,TopRisk-K1,0.278000,0.251122,0.306578,0.000000,0.000000,0.000089,0.000000,0.000000,0.000196,0.9563,0.2416,0.9577,1.002,1000
Tight-S,TopRisk-K2,0.301000,0.273376,0.330147,0.000000,0.000000,0.000090,0.000000,0.000000,0.000197,0.9281,0.2040,0.9578,1.006,1000
Tight-S,TopRisk-K3,0.312000,0.284049,0.341390,0.000000,0.000000,0.000088,0.000000,0.000000,0.000194,0.9275,0.1660,0.9578,1.004,1000
Tight-S,DiverseRisk-K1,0.314000,0.285992,0.343432,0.000000,0.000000,0.000089,0.000000,0.000000,0.000196,0.9324,0.2268,0.9579,1.004,1000
Tight-S,Softmax-tau5,0.334000,0.305452,0.363819,0.000000,0.000000,0.000086,0.000000,0.000000,0.000192,0.9119,0.1696,0.9579,1.016,1000
Circle,Base,0.000000,0.000000,0.003827,0.700067,0.694856,0.705226,0.848596,0.842417,0.854575,2.1385,1.6637,0.9648,0.574,1000
Circle,WDRO-sampling,0.000000,0.000000,0.003827,0.009967,0.008904,0.011155,0.003992,0.003053,0.005217,2.2064,1.7915,0.9648,0.667,1000
Circle,WDRO-inject-K1,0.000000,0.000000,0.003827,0.000000,0.000000,0.000128,0.000000,0.000000,0.000283,2.1793,1.8006,0.9648,0.663,1000
Circle,WDRO-inject-K2,0.000000,0.000000,0.003827,0.000000,0.000000,0.000128,0.000000,0.000000,0.000283,2.1804,1.8205,0.9648,0.663,1000
Circle,WDRO-inject-K3,0.000000,0.000000,0.003827,0.000000,0.000000,0.000128,0.000000,0.000000,0.000283,2.1782,1.7924,0.9648,0.664,1000
Circle,TopRisk-K1,0.000000,0.000000,0.003827,0.000000,0.000000,0.000128,0.000000,0.000000,0.000289,2.1865,1.8058,0.9648,0.661,1000
Circle,TopRisk-K2,0.000000,0.000000,0.003827,0.000000,0.000000,0.000128,0.000000,0.000000,0.000289,2.1828,1.7937,0.9648,0.658,1000
Circle,TopRisk-K3,0.000000,0.000000,0.003827,0.000000,0.000000,0.000128,0.000000,0.000000,0.000289,2.1836,1.8181,0.9648,0.662,1000
Circle,DiverseRisk-K1,0.000000,0.000000,0.003827,0.000000,0.000000,0.000128,0.000000,0.000000,0.000288,2.1720,1.7682,0.9648,0.662,1000
Circle,Softmax-tau5,0.000000,0.000000,0.003827,0.000000,0.000000,0.000128,0.000000,0.000000,0.000288,2.1994,1.7577,0.9648,0.675,1000
