num_obstacles,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mm_ci_lo,mm_ci_hi,rare_miss_rate,rare_ci_lo,rare_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
1,Base,0.088000,0.066206,0.116077,0.763124,0.758638,0.767552,0.873252,0.868044,0.878282,1.9741,0.5355,0.9106,0.949,500
1,WDRO-sampling,0.100000,0.076677,0.129423,0.037989,0.035511,0.040633,0.030413,0.027208,0.033983,1.2432,0.5149,0.9590,1.168,500
1,WDRO-inject-K1,0.156000,0.126830,0.190415,0.000000,0.000000,0.000176,0.000000,0.000000,0.000391,1.1664,0.4050,0.9587,1.018,500
1,WDRO-inject-K2,0.134000,0.106915,0.166667,0.000000,0.000000,0.000177,0.000000,0.000000,0.000391,1.1566,0.3172,0.9588,1.070,500
1,TopRisk-K1,0.122000,0.096159,0.153605,0.000000,0.000000,0.000178,0.000000,0.000000,0.000392,1.1910,0.3559,0.9589,1.158,500
1,DiverseRisk-K1,0.152000,0.123192,0.186115,0.000000,0.000000,0.000175,0.000000,0.000000,0.000389,1.1816,0.4336,0.9585,1.069,500
1,Softmax-tau5,0.132000,0.105116,0.164495,0.000000,0.000000,0.000177,0.000000,0.000000,0.000387,1.2028,0.2977,0.9591,1.026,500
2,Base,0.718000,0.677011,0.755664,0.731389,0.727247,0.735492,0.850189,0.845185,0.855060,0.6925,0.1572,0.9518,1.139,500
2,WDRO-sampling,0.152000,0.123192,0.186115,0.024427,0.023069,0.025863,0.015568,0.013999,0.017311,1.0995,0.5253,0.9586,1.304,500
2,WDRO-inject-K1,0.190000,0.158027,0.226700,0.000000,0.000000,0.000080,0.000000,0.000000,0.000171,1.0497,0.4615,0.9583,1.379,500
2,WDRO-inject-K2,0.174000,0.143289,0.209682,0.000000,0.000000,0.000080,0.000000,0.000000,0.000173,1.0623,0.4685,0.9583,1.277,500
2,TopRisk-K1,0.196000,0.163578,0.233058,0.000000,0.000000,0.000080,0.000000,0.000000,0.000174,1.0397,0.4759,0.9577,1.448,500
2,DiverseRisk-K1,0.178000,0.146964,0.213946,0.000000,0.000000,0.000080,0.000000,0.000000,0.000173,1.0528,0.4353,0.9579,1.393,500
2,Softmax-tau5,0.188000,0.156179,0.224578,0.000000,0.000000,0.000079,0.000000,0.000000,0.000173,1.0559,0.5023,0.9577,1.362,500
3,Base,0.454000,0.410875,0.497827,0.722174,0.718633,0.725687,0.843583,0.839316,0.847757,0.9415,0.2682,0.9598,1.185,500
3,WDRO-sampling,0.122000,0.096159,0.153605,0.023770,0.022643,0.024951,0.015357,0.014033,0.016803,1.1953,0.5215,0.9581,1.481,500
3,WDRO-inject-K1,0.144000,0.115938,0.177491,0.000000,0.000000,0.000057,0.000000,0.000000,0.000123,1.1562,0.4698,0.9583,1.547,500
3,WDRO-inject-K2,0.122000,0.096159,0.153605,0.000000,0.000000,0.000058,0.000000,0.000000,0.000126,1.1710,0.4539,0.9584,1.537,500
3,TopRisk-K1,0.122000,0.096159,0.153605,0.000000,0.000000,0.000057,0.000000,0.000000,0.000124,1.1829,0.3885,0.9580,1.481,500
3,DiverseRisk-K1,0.126000,0.099735,0.157968,0.000000,0.000000,0.000058,0.000000,0.000000,0.000124,1.1759,0.4927,0.9583,1.516,500
3,Softmax-tau5,0.116000,0.090813,0.147042,0.000000,0.000000,0.000058,0.000000,0.000000,0.000125,1.1760,0.4455,0.9584,1.543,500
