switch_prob,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mm_ci_lo,mm_ci_hi,rare_miss_rate,rare_ci_lo,rare_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
0.02,Base,0.696000,0.654313,0.734699,0.720134,0.714700,0.725505,0.855339,0.850430,0.860114,0.7680,0.1818,0.9399,0.947,500
0.02,WDRO-sampling,0.106000,0.081957,0.136052,0.041812,0.039310,0.044466,0.046320,0.043268,0.049575,1.2038,0.4778,0.9587,0.980,500
0.02,WDRO-inject-K1,0.088000,0.066206,0.116077,0.000000,0.000000,0.000167,0.000000,0.000000,0.000230,1.1951,0.4480,0.9593,1.012,500
0.02,TopRisk-K1,0.078000,0.057581,0.104854,0.000000,0.000000,0.000166,0.000000,0.000000,0.000225,1.2171,0.4753,0.9587,1.124,500
0.02,Softmax-tau5,0.220000,0.185900,0.258369,0.000000,0.000000,0.000158,0.000000,0.000000,0.000209,1.1469,0.2641,0.9579,1.117,500
0.05,Base,0.704000,0.662554,0.742335,0.757153,0.752063,0.762171,0.901740,0.897374,0.905939,0.7598,0.1450,0.9340,0.966,500
0.05,WDRO-sampling,0.108000,0.083722,0.138255,0.038381,0.035998,0.040915,0.042197,0.039150,0.045469,1.1931,0.4621,0.9590,1.091,500
0.05,WDRO-inject-K1,0.090000,0.067942,0.118310,0.000000,0.000000,0.000169,0.000000,0.000000,0.000252,1.1695,0.6082,0.9590,1.013,500
0.05,TopRisk-K1,0.092000,0.069682,0.120539,0.000000,0.000000,0.000166,0.000000,0.000000,0.000249,1.1784,0.5055,0.9589,0.964,500
0.05,Softmax-tau5,0.206000,0.172856,0.243627,0.000000,0.000000,0.000157,0.000000,0.000000,0.000232,1.1141,0.2541,0.9573,1.045,500
0.10,Base,0.774000,0.735331,0.808491,0.723679,0.718232,0.729060,0.828044,0.821874,0.834042,0.6526,0.1510,0.9407,0.888,500
0.10,WDRO-sampling,0.120000,0.094374,0.151420,0.040776,0.038340,0.043360,0.046004,0.042634,0.049628,1.1666,0.5506,0.9585,0.965,500
0.10,WDRO-inject-K1,0.100000,0.076677,0.129423,0.000000,0.000000,0.000165,0.000000,0.000000,0.000289,1.1266,0.5416,0.9588,0.965,500
0.10,TopRisk-K1,0.098000,0.074924,0.127207,0.000000,0.000000,0.000164,0.000000,0.000000,0.000289,1.1430,0.5512,0.9587,0.970,500
0.10,Softmax-tau5,0.204000,0.170998,0.241516,0.000000,0.000000,0.000157,0.000000,0.000000,0.000275,1.0767,0.3378,0.9578,0.961,500
0.20,Base,0.804000,0.766942,0.836422,0.753138,0.747832,0.758368,0.866441,0.860269,0.872381,0.5948,0.1494,0.9422,0.839,500
0.20,WDRO-sampling,0.154000,0.125010,0.188266,0.047423,0.044833,0.050155,0.050079,0.046222,0.054240,1.0893,0.4769,0.9581,0.935,500
0.20,WDRO-inject-K1,0.152000,0.123192,0.186115,0.000000,0.000000,0.000159,0.000000,0.000000,0.000348,1.0551,0.4255,0.9580,0.946,500
0.20,TopRisk-K1,0.154000,0.125010,0.188266,0.000000,0.000000,0.000159,0.000000,0.000000,0.000349,1.0824,0.5563,0.9584,0.943,500
0.20,Softmax-tau5,0.246000,0.210280,0.285593,0.000000,0.000000,0.000152,0.000000,0.000000,0.000330,1.0210,0.2823,0.9574,0.957,500
0.35,Base,0.834000,0.798864,0.864043,0.719454,0.713994,0.724850,0.824008,0.816403,0.831363,0.5844,0.1549,0.9408,0.836,500
0.35,WDRO-sampling,0.188000,0.156179,0.224578,0.052547,0.049847,0.055385,0.050032,0.045813,0.054617,1.0526,0.4776,0.9577,0.942,500
0.35,WDRO-inject-K1,0.166000,0.135957,0.201136,0.000000,0.000000,0.000157,0.000000,0.000000,0.000410,1.0452,0.5192,0.9582,0.947,500
0.35,TopRisk-K1,0.152000,0.123192,0.186115,0.000000,0.000000,0.000158,0.000000,0.000000,0.000406,1.0562,0.5192,0.9580,0.955,500
0.35,Softmax-tau5,0.220000,0.185900,0.258369,0.000000,0.000000,0.000151,0.000000,0.000000,0.000397,1.0066,0.4128,0.9571,0.958,500
0.50,Base,0.822000,0.786054,0.853036,0.722831,0.717490,0.728109,0.816700,0.808745,0.824397,0.5557,0.1316,0.9349,0.826,500
0.50,WDRO-sampling,0.214000,0.180302,0.252059,0.055146,0.052395,0.058032,0.051332,0.046882,0.056180,1.0243,0.4847,0.9575,0.948,500
0.50,WDRO-inject-K1,0.194000,0.161726,0.230940,0.000000,0.000000,0.000157,0.000000,0.000000,0.000460,1.0125,0.4472,0.9578,0.961,500
0.50,TopRisk-K1,0.146000,0.117748,0.179650,0.000000,0.000000,0.000155,0.000000,0.000000,0.000451,1.0375,0.5289,0.9572,0.961,500
0.50,Softmax-tau5,0.216000,0.182167,0.254164,0.000000,0.000000,0.000152,0.000000,0.000000,0.000455,1.0141,0.4492,0.9574,0.964,500
