mode_set,num_modes,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mm_ci_lo,mm_ci_hi,rare_miss_rate,rare_ci_lo,rare_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
3-modes,4,Base,0.436000,0.393185,0.479791,0.710133,0.704558,0.715645,0.844865,0.838484,0.851039,0.9459,0.2353,0.9432,0.833,500
3-modes,4,WDRO-sampling,0.092000,0.069682,0.120539,0.041985,0.039477,0.044646,0.019702,0.017295,0.022436,1.1063,0.6937,0.9588,0.908,500
3-modes,4,WDRO-inject-K1,0.084000,0.062744,0.111600,0.000000,0.000000,0.000168,0.000000,0.000000,0.000348,1.0878,0.7487,0.9590,0.911,500
3-modes,4,WDRO-inject-K2,0.064000,0.045696,0.088953,0.000000,0.000000,0.000169,0.000000,0.000000,0.000352,1.1032,0.7995,0.9592,0.913,500
3-modes,4,TopRisk-K1,0.074000,0.054161,0.100335,0.000000,0.000000,0.000167,0.000000,0.000000,0.000344,1.0968,0.7500,0.9595,0.912,500
3-modes,4,DiverseRisk-K1,0.102000,0.078434,0.131635,0.000000,0.000000,0.000165,0.000000,0.000000,0.000344,1.0890,0.7240,0.9594,0.913,500
4-modes,5,Base,0.810000,0.773300,0.841973,0.752543,0.747344,0.757669,0.851928,0.845505,0.858129,0.6096,0.1525,0.9372,0.826,500
4-modes,5,WDRO-sampling,0.176000,0.145126,0.211815,0.046101,0.043536,0.048810,0.049235,0.045418,0.053354,1.0804,0.4285,0.9582,0.933,500
4-modes,5,WDRO-inject-K1,0.122000,0.096159,0.153605,0.000000,0.000000,0.000162,0.000000,0.000000,0.000351,1.0739,0.4485,0.9587,0.941,500
4-modes,5,WDRO-inject-K2,0.140000,0.112322,0.173168,0.000000,0.000000,0.000160,0.000000,0.000000,0.000349,1.0720,0.5020,0.9584,0.941,500
4-modes,5,TopRisk-K1,0.148000,0.119561,0.181807,0.000000,0.000000,0.000159,0.000000,0.000000,0.000360,1.0738,0.4581,0.9583,0.948,500
4-modes,5,DiverseRisk-K1,0.156000,0.126830,0.190415,0.000000,0.000000,0.000160,0.000000,0.000000,0.000348,1.0795,0.4260,0.9583,0.943,500
5-modes,6,Base,0.716000,0.674943,0.753763,0.770625,0.765400,0.775769,0.870589,0.864285,0.876643,0.6787,0.1586,0.9456,0.850,500
5-modes,6,WDRO-sampling,0.154000,0.125010,0.188266,0.052514,0.049824,0.055341,0.058554,0.054302,0.063116,1.0701,0.5489,0.9578,0.970,500
5-modes,6,WDRO-inject-K1,0.118000,0.092593,0.149233,0.000000,0.000000,0.000158,0.000000,0.000000,0.000358,1.0480,0.6261,0.9586,1.014,500
5-modes,6,WDRO-inject-K2,0.126000,0.099735,0.157968,0.000000,0.000000,0.000158,0.000000,0.000000,0.000360,1.0553,0.6692,0.9585,1.009,500
5-modes,6,TopRisk-K1,0.144000,0.115938,0.177491,0.000000,0.000000,0.000156,0.000000,0.000000,0.000360,1.0316,0.4669,0.9584,0.982,500
5-modes,6,DiverseRisk-K1,0.130000,0.103320,0.162322,0.000000,0.000000,0.000157,0.000000,0.000000,0.000365,1.0556,0.6411,0.9586,0.987,500
6-modes,6,Base,0.744000,0.703986,0.780293,0.729119,0.723678,0.734491,0.000000,0.000000,1.000000,0.6594,0.1639,0.9422,0.840,500
6-modes,6,WDRO-sampling,0.174000,0.143289,0.209682,0.047571,0.044988,0.050294,0.000000,0.000000,1.000000,1.0621,0.4483,0.9582,0.987,500
6-modes,6,WDRO-inject-K1,0.120000,0.094374,0.151420,0.000000,0.000000,0.000158,0.000000,0.000000,1.000000,1.0615,0.5749,0.9585,0.994,500
6-modes,6,WDRO-inject-K2,0.142000,0.114129,0.175330,0.000000,0.000000,0.000159,0.000000,0.000000,1.000000,1.0598,0.5944,0.9587,1.009,500
6-modes,6,TopRisk-K1,0.154000,0.125010,0.188266,0.000000,0.000000,0.000157,0.000000,0.000000,1.000000,1.0458,0.4899,0.9585,1.016,500
6-modes,6,DiverseRisk-K1,0.138000,0.110518,0.171003,0.000000,0.000000,0.000159,0.000000,0.000000,1.000000,1.0538,0.6211,0.9583,1.017,500
