path,num_obstacles,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mm_ci_lo,mm_ci_hi,rare_miss_rate,rare_ci_lo,rare_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
Straight,1,Base,0.614000,0.570612,0.655649,0.739263,0.733980,0.744478,0.855373,0.849081,0.861446,0.7421,0.1498,0.9572,0.890,500
Straight,1,WDRO-sampling,0.150000,0.121375,0.183962,0.048543,0.045968,0.051253,0.051165,0.047265,0.055368,1.0457,0.6311,0.9609,0.941,500
Straight,1,WDRO-inject-K1,0.108000,0.083722,0.138255,0.000000,0.000000,0.000154,0.000000,0.000000,0.000332,1.0567,0.6723,0.9600,0.951,500
Straight,2,Base,0.762000,0.722763,0.797242,0.746721,0.743163,0.750245,0.866887,0.862755,0.870913,0.6080,0.1341,0.9558,0.986,500
Straight,2,WDRO-sampling,0.328000,0.288295,0.370327,0.044004,0.042322,0.045750,0.043833,0.041394,0.046407,0.9208,0.4907,0.9596,1.153,500
Straight,2,WDRO-inject-K1,0.322000,0.282535,0.364179,0.000000,0.000000,0.000072,0.000000,0.000000,0.000156,0.9280,0.5288,0.9606,1.148,500
Straight,3,Base,0.806000,0.769060,0.838274,0.736313,0.733519,0.739088,0.830443,0.826962,0.833867,0.5450,0.1192,0.9574,1.105,500
Straight,3,WDRO-sampling,0.450000,0.406939,0.493824,0.041211,0.039912,0.042550,0.036365,0.034576,0.038244,0.8503,0.4012,0.9624,1.407,500
Straight,3,WDRO-inject-K1,0.402000,0.359928,0.445566,0.000000,0.000000,0.000045,0.000000,0.000000,0.000099,0.8773,0.4710,0.9603,1.415,500
S-curve,1,Base,0.088000,0.066206,0.116077,0.768195,0.763837,0.772497,0.877677,0.872714,0.882473,1.9693,0.5967,0.9026,0.848,500
S-curve,1,WDRO-sampling,0.102000,0.078434,0.131635,0.045294,0.042599,0.048151,0.040220,0.036474,0.044333,1.2116,0.4551,0.9585,0.931,500
S-curve,1,WDRO-inject-K1,0.110000,0.085491,0.140456,0.000000,0.000000,0.000179,0.000000,0.000000,0.000398,1.1869,0.3794,0.9589,0.941,500
S-curve,2,Base,0.668000,0.625578,0.707860,0.728885,0.724834,0.732899,0.845814,0.840895,0.850607,0.7247,0.1654,0.9461,0.918,500
S-curve,2,WDRO-sampling,0.156000,0.126830,0.190415,0.022444,0.021148,0.023817,0.013241,0.011792,0.014867,1.0860,0.5021,0.9581,1.148,500
S-curve,2,WDRO-inject-K1,0.160000,0.130476,0.194709,0.000000,0.000000,0.000081,0.000000,0.000000,0.000176,1.0853,0.5235,0.9581,1.153,500
S-curve,3,Base,0.452000,0.408907,0.495825,0.723642,0.720104,0.727153,0.856352,0.852180,0.860425,0.9562,0.3128,0.9605,1.107,500
S-curve,3,WDRO-sampling,0.142000,0.114129,0.175330,0.023143,0.022035,0.024306,0.013271,0.012060,0.014602,1.1773,0.3748,0.9579,1.406,500
S-curve,3,WDRO-inject-K1,0.136000,0.108715,0.168836,0.000000,0.000000,0.000057,0.000000,0.000000,0.000123,1.1916,0.4220,0.9582,1.357,500
Tight-S,1,Base,0.004000,0.001098,0.014466,0.746961,0.741424,0.752419,0.873736,0.867364,0.879846,2.1689,1.4412,0.9451,0.907,500
Tight-S,1,WDRO-sampling,0.008000,0.003115,0.020387,0.023161,0.021049,0.025480,0.020838,0.017949,0.024182,1.4741,1.1170,0.9573,0.886,500
Tight-S,1,WDRO-inject-K1,0.022000,0.012328,0.038961,0.000000,0.000000,0.000215,0.000000,0.000000,0.000487,1.4359,1.0924,0.9572,0.910,500
Tight-S,2,Base,0.172000,0.141454,0.207548,0.707452,0.702526,0.712329,0.839835,0.833929,0.845570,1.2408,0.5784,0.9575,0.856,500
Tight-S,2,WDRO-sampling,0.042000,0.027632,0.063352,0.021560,0.020085,0.023141,0.011347,0.009805,0.013128,1.3372,0.9761,0.9575,1.078,500
Tight-S,2,WDRO-inject-K1,0.044000,0.029234,0.065720,0.000000,0.000000,0.000111,0.000000,0.000000,0.000248,1.3141,0.9629,0.9572,1.057,500
Tight-S,3,Base,0.008000,0.003115,0.020387,0.710042,0.706207,0.713847,0.822186,0.817316,0.826955,1.8959,1.2284,0.9570,1.012,500
Tight-S,3,WDRO-sampling,0.000000,0.000000,0.007625,0.005085,0.004498,0.005748,0.001347,0.000943,0.001922,2.0033,1.4000,0.9574,1.211,500
Tight-S,3,WDRO-inject-K1,0.002000,0.000353,0.011241,0.000000,0.000000,0.000077,0.000000,0.000000,0.000171,1.9874,1.4291,0.9573,1.196,500
Circle,1,Base,0.000000,0.000000,0.007625,0.708467,0.701141,0.715686,0.842995,0.834118,0.851482,2.0883,1.6643,0.9648,0.585,500
Circle,1,WDRO-sampling,0.000000,0.000000,0.007625,0.007066,0.005846,0.008539,0.001401,0.000737,0.002661,2.0677,1.6078,0.9648,0.642,500
Circle,1,WDRO-inject-K1,0.000000,0.000000,0.007625,0.000000,0.000000,0.000256,0.000000,0.000000,0.000591,2.0517,1.6012,0.9648,0.652,500
Circle,2,Base,0.000000,0.000000,0.007625,0.701300,0.696095,0.706453,0.825076,0.818510,0.831452,1.7293,1.4063,0.9648,0.683,500
Circle,2,WDRO-sampling,0.000000,0.000000,0.007625,0.008283,0.007319,0.009372,0.002052,0.001411,0.002984,1.7732,1.3756,0.9647,0.866,500
Circle,2,WDRO-inject-K1,0.000000,0.000000,0.007625,0.000000,0.000000,0.000128,0.000000,0.000000,0.000286,1.7518,1.4095,0.9648,0.870,500
Circle,3,Base,0.000000,0.000000,0.007625,0.694726,0.690482,0.698937,0.828621,0.823370,0.833747,1.3287,1.0425,0.9647,0.831,500
Circle,3,WDRO-sampling,0.006000,0.002043,0.017491,0.007200,0.006478,0.008001,0.001916,0.001407,0.002607,1.4271,1.1674,0.9640,1.081,500
Circle,3,WDRO-inject-K1,0.006000,0.002043,0.017491,0.000000,0.000000,0.000083,0.000000,0.000000,0.000188,1.3678,1.1067,0.9644,1.065,500
