challenge,num_obstacles,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mm_ci_lo,mm_ci_hi,rare_miss_rate,rare_ci_lo,rare_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
HighSpeed-1.5,1,Base,0.163000,0.141404,0.187176,0.749314,0.745926,0.752672,0.861064,0.857068,0.864966,1.5354,0.4464,0.9180,0.868,1000
HighSpeed-1.5,1,WDRO-sampling,0.121000,0.102223,0.142677,0.027287,0.025769,0.028892,0.021935,0.019927,0.024141,1.3009,0.3583,0.9589,0.909,1000
HighSpeed-1.5,1,WDRO-inject-K1,0.151000,0.130146,0.174525,0.000000,0.000000,0.000090,0.000000,0.000000,0.000198,1.2424,0.3555,0.9586,0.915,1000
HighSpeed-1.5,1,WDRO-inject-K2,0.136000,0.116142,0.158644,0.000000,0.000000,0.000091,0.000000,0.000000,0.000199,1.2538,0.2510,0.9587,0.921,1000
HighSpeed-1.5,1,WDRO-inject-K3,0.144000,0.123601,0.167124,0.000000,0.000000,0.000091,0.000000,0.000000,0.000199,1.2470,0.2571,0.9587,0.924,1000
HighSpeed-1.5,1,TopRisk-K1,0.128000,0.108707,0.150140,0.000000,0.000000,0.000091,0.000000,0.000000,0.000199,1.2815,0.3068,0.9589,0.913,1000
HighSpeed-1.5,1,TopRisk-K2,0.136000,0.116142,0.158644,0.000000,0.000000,0.000091,0.000000,0.000000,0.000199,1.2839,0.3148,0.9589,0.914,1000
HighSpeed-1.5,1,TopRisk-K3,0.130000,0.110563,0.152268,0.000000,0.000000,0.000091,0.000000,0.000000,0.000198,1.2860,0.3193,0.9586,0.918,1000
HighSpeed-1.5,1,DiverseRisk-K1,0.117000,0.098528,0.138403,0.000000,0.000000,0.000092,0.000000,0.000000,0.000195,1.2959,0.2987,0.9589,0.909,1000
HighSpeed-1.5,1,Softmax-tau5,0.157000,0.135769,0.180856,0.000000,0.000000,0.000089,0.000000,0.000000,0.000195,1.2738,0.2454,0.9587,0.926,1000
HighSpeed-2.0,1,Base,0.014000,0.008357,0.023362,0.782049,0.779451,0.784625,0.890157,0.887291,0.892959,2.4609,1.1905,0.8404,0.851,1000
HighSpeed-2.0,1,WDRO-sampling,0.123000,0.104074,0.144812,0.022247,0.020908,0.023670,0.013410,0.011917,0.015088,1.7172,0.2896,0.9557,0.926,1000
HighSpeed-2.0,1,WDRO-inject-K1,0.114000,0.095761,0.135193,0.000000,0.000000,0.000088,0.000000,0.000000,0.000193,1.7363,0.3300,0.9560,0.925,1000
HighSpeed-2.0,1,WDRO-inject-K2,0.114000,0.095761,0.135193,0.000000,0.000000,0.000088,0.000000,0.000000,0.000192,1.7430,0.3429,0.9561,0.927,1000
HighSpeed-2.0,1,WDRO-inject-K3,0.109000,0.091160,0.129833,0.000000,0.000000,0.000088,0.000000,0.000000,0.000193,1.7322,0.3843,0.9559,0.929,1000
HighSpeed-2.0,1,TopRisk-K1,0.107000,0.089323,0.127685,0.000000,0.000000,0.000089,0.000000,0.000000,0.000192,1.7557,0.3343,0.9561,0.923,1000
HighSpeed-2.0,1,TopRisk-K2,0.140000,0.119868,0.162887,0.000000,0.000000,0.000088,0.000000,0.000000,0.000189,1.7301,0.3019,0.9559,0.933,1000
HighSpeed-2.0,1,TopRisk-K3,0.116000,0.097605,0.137334,0.000000,0.000000,0.000088,0.000000,0.000000,0.000190,1.7582,0.3370,0.9560,0.931,1000
HighSpeed-2.0,1,DiverseRisk-K1,0.132000,0.112421,0.154395,0.000000,0.000000,0.000088,0.000000,0.000000,0.000197,1.7283,0.3249,0.9561,0.929,1000
HighSpeed-2.0,1,Softmax-tau5,0.098000,0.081082,0.117995,0.000000,0.000000,0.000086,0.000000,0.000000,0.000193,1.8564,0.3987,0.9550,0.938,1000
Crossing,1,Base,0.853000,0.829702,0.873596,0.712951,0.708539,0.717322,0.838673,0.833280,0.843923,0.5269,0.1084,0.9586,0.808,1000
Crossing,1,WDRO-sampling,0.201000,0.177327,0.226962,0.043499,0.041726,0.045343,0.045119,0.042474,0.047920,1.0700,0.2341,0.9580,0.953,1000
