obstacle_speed,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mm_ci_lo,mm_ci_hi,rare_miss_rate,rare_ci_lo,rare_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
0.3,Base,0.758000,0.718583,0.793483,0.719380,0.713239,0.725440,0.842967,0.835546,0.850114,0.6371,0.1745,0.9594,0.957,500
0.3,WDRO-sampling,0.116000,0.090813,0.147042,0.048830,0.046247,0.051550,0.033296,0.030193,0.036706,1.0718,0.5926,0.9580,1.180,500
0.3,WDRO-inject-K1,0.124000,0.097946,0.155788,0.000000,0.000000,0.000150,0.000000,0.000000,0.000329,1.0517,0.5477,0.9576,1.189,500
0.3,TopRisk-K1,0.140000,0.112322,0.173168,0.000000,0.000000,0.000149,0.000000,0.000000,0.000325,1.0612,0.5306,0.9578,1.329,500
0.5,Base,0.874000,0.842032,0.900265,0.733146,0.727229,0.738982,0.867907,0.860935,0.874580,0.5449,0.1743,0.9590,1.123,500
0.5,WDRO-sampling,0.144000,0.115938,0.177491,0.046627,0.044107,0.049284,0.040335,0.036950,0.044017,1.0701,0.5382,0.9575,1.205,500
0.5,WDRO-inject-K1,0.098000,0.074924,0.127207,0.000000,0.000000,0.000156,0.000000,0.000000,0.000353,1.0709,0.6710,0.9577,1.311,500
0.5,TopRisk-K1,0.154000,0.125010,0.188266,0.000000,0.000000,0.000152,0.000000,0.000000,0.000327,1.0406,0.5403,0.9575,1.155,500
0.8,Base,0.764000,0.724855,0.799119,0.746801,0.741784,0.751754,0.832518,0.826172,0.838678,0.6851,0.1652,0.9250,1.041,500
0.8,WDRO-sampling,0.142000,0.114129,0.175330,0.044911,0.042380,0.047586,0.047772,0.043926,0.051937,1.1034,0.5177,0.9574,1.156,500
0.8,WDRO-inject-K1,0.120000,0.094374,0.151420,0.000000,0.000000,0.000161,0.000000,0.000000,0.000351,1.0872,0.4798,0.9581,1.294,500
0.8,TopRisk-K1,0.116000,0.090813,0.147042,0.000000,0.000000,0.000161,0.000000,0.000000,0.000350,1.1008,0.4920,0.9579,1.088,500
1.0,Base,0.390000,0.348241,0.433437,0.747119,0.742430,0.751751,0.847857,0.842132,0.853410,1.1102,0.2379,0.9084,1.079,500
1.0,WDRO-sampling,0.198000,0.165431,0.235175,0.041372,0.038926,0.043964,0.035130,0.031830,0.038758,1.1335,0.3283,0.9575,1.219,500
1.0,WDRO-inject-K1,0.200000,0.167285,0.237290,0.000000,0.000000,0.000161,0.000000,0.000000,0.000346,1.1021,0.3356,0.9575,1.225,500
1.0,TopRisk-K1,0.192000,0.159876,0.228821,0.000000,0.000000,0.000162,0.000000,0.000000,0.000355,1.0862,0.3895,0.9574,1.179,500
1.3,Base,0.238000,0.202758,0.277237,0.729654,0.724573,0.734676,0.828047,0.821685,0.834229,1.4088,0.3771,0.9310,1.033,500
1.3,WDRO-sampling,0.132000,0.105116,0.164495,0.038613,0.036126,0.041264,0.035248,0.031749,0.039117,1.1549,0.3661,0.9587,1.056,500
1.3,WDRO-inject-K1,0.158000,0.128652,0.192563,0.000000,0.000000,0.000178,0.000000,0.000000,0.000396,1.1188,0.2279,0.9591,1.153,500
1.3,TopRisk-K1,0.140000,0.112322,0.173168,0.000000,0.000000,0.000178,0.000000,0.000000,0.000386,1.1375,0.3260,0.9592,1.057,500
1.5,Base,0.182000,0.150646,0.218203,0.741696,0.736925,0.746410,0.829517,0.823473,0.835396,1.5394,0.4641,0.9138,1.131,500
1.5,WDRO-sampling,0.102000,0.078434,0.131635,0.023606,0.021637,0.025750,0.019124,0.016586,0.022042,1.3329,0.3874,0.9589,1.181,500
1.5,WDRO-inject-K1,0.144000,0.115938,0.177491,0.000000,0.000000,0.000179,0.000000,0.000000,0.000395,1.2744,0.3371,0.9582,1.292,500
1.5,TopRisk-K1,0.142000,0.114129,0.175330,0.000000,0.000000,0.000181,0.000000,0.000000,0.000395,1.2703,0.2903,0.9591,1.143,500
1.8,Base,0.052000,0.035730,0.075102,0.778497,0.774285,0.782653,0.897774,0.893223,0.902151,2.0300,0.8472,0.8915,1.080,500
1.8,WDRO-sampling,0.084000,0.062744,0.111600,0.017326,0.015652,0.019176,0.012490,0.010448,0.014924,1.6251,0.5026,0.9577,1.283,500
1.8,WDRO-inject-K1,0.048000,0.032465,0.070428,0.000000,0.000000,0.000182,0.000000,0.000000,0.000399,1.6579,0.9187,0.9581,1.188,500
1.8,TopRisk-K1,0.060000,0.042348,0.084362,0.000000,0.000000,0.000183,0.000000,0.000000,0.000400,1.6509,0.4738,0.9579,1.128,500
2.0,Base,0.016000,0.008129,0.031251,0.776910,0.773165,0.780611,0.871810,0.867400,0.876093,2.4228,1.2344,0.8446,1.066,500
2.0,WDRO-sampling,0.102000,0.078434,0.131635,0.020764,0.018953,0.022745,0.013851,0.011764,0.016302,1.7644,0.3721,0.9561,1.190,500
2.0,WDRO-inject-K1,0.116000,0.090813,0.147042,0.000000,0.000000,0.000176,0.000000,0.000000,0.000392,1.7589,0.3566,0.9560,1.220,500
2.0,TopRisk-K1,0.106000,0.081957,0.136052,0.000000,0.000000,0.000177,0.000000,0.000000,0.000386,1.7966,0.3709,0.9558,1.136,500
