path,obstacle_type,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mm_ci_lo,mm_ci_hi,rare_miss_rate,rare_ci_lo,rare_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
S-curve,Oncoming-slow,Base,0.818000,0.781797,0.849354,0.745575,0.740226,0.750851,0.855491,0.849021,0.861729,0.5852,0.1211,0.9427,1.032,500
S-curve,Oncoming-slow,WDRO-sampling,0.142000,0.114129,0.175330,0.045902,0.043340,0.048608,0.046706,0.042937,0.050789,1.1073,0.4038,0.9581,1.254,500
S-curve,Oncoming-slow,WDRO-inject-K1,0.112000,0.087262,0.142654,0.000000,0.000000,0.000160,0.000000,0.000000,0.000348,1.0868,0.5255,0.9582,1.234,500
S-curve,Oncoming-fast,Base,0.060000,0.042348,0.084362,0.767802,0.763470,0.772077,0.881921,0.877066,0.886609,1.9586,0.7933,0.8959,1.093,500
S-curve,Oncoming-fast,WDRO-sampling,0.058000,0.040683,0.082057,0.017097,0.015432,0.018938,0.013673,0.011557,0.016171,1.6662,0.6978,0.9580,1.195,500
S-curve,Oncoming-fast,WDRO-inject-K1,0.054000,0.037374,0.077427,0.000000,0.000000,0.000183,0.000000,0.000000,0.000411,1.6592,0.6559,0.9582,1.150,500
S-curve,Crossing,Base,0.628000,0.584808,0.669240,0.756266,0.751309,0.761156,0.869102,0.863330,0.874665,1.0123,0.1801,0.9148,1.040,500
S-curve,Crossing,WDRO-sampling,0.156000,0.126830,0.190415,0.034783,0.032502,0.037217,0.016562,0.014322,0.019145,1.1300,0.2015,0.9595,1.257,500
S-curve,Crossing,WDRO-inject-K1,0.140000,0.112322,0.173168,0.000000,0.000000,0.000167,0.000000,0.000000,0.000359,1.1552,0.2774,0.9595,1.174,500
S-curve,Diagonal,Base,0.346000,0.305621,0.388728,0.727129,0.721230,0.732951,0.859323,0.852333,0.866034,1.0952,0.2252,0.9522,1.020,500
S-curve,Diagonal,WDRO-sampling,0.146000,0.117748,0.179650,0.030851,0.028652,0.033214,0.008791,0.007142,0.010818,1.1499,0.2580,0.9603,1.044,500
S-curve,Diagonal,WDRO-inject-K1,0.180000,0.148804,0.216075,0.000000,0.000000,0.000172,0.000000,0.000000,0.000384,1.0925,0.1884,0.9605,1.270,500
Tight-S,Oncoming-slow,Base,0.960000,0.939026,0.973959,0.715216,0.708361,0.721973,0.854172,0.845950,0.862027,0.3765,0.0863,0.9566,1.061,500
Tight-S,Oncoming-slow,WDRO-sampling,0.308000,0.269125,0.349803,0.056824,0.053832,0.059972,0.042870,0.039086,0.047002,0.9369,0.1638,0.9578,1.224,500
Tight-S,Oncoming-slow,WDRO-inject-K1,0.314000,0.274867,0.355969,0.000000,0.000000,0.000178,0.000000,0.000000,0.000372,0.9178,0.1265,0.9576,1.312,500
Tight-S,Oncoming-fast,Base,0.016000,0.008129,0.031251,0.734996,0.730783,0.739167,0.792030,0.786309,0.797637,2.2925,1.1463,0.8601,1.152,500
Tight-S,Oncoming-fast,WDRO-sampling,0.002000,0.000353,0.011241,0.018748,0.016847,0.020859,0.017200,0.014560,0.020309,1.8602,1.3142,0.9579,1.080,500
Tight-S,Oncoming-fast,WDRO-inject-K1,0.002000,0.000353,0.011241,0.000000,0.000000,0.000218,0.000000,0.000000,0.000469,1.8857,1.2792,0.9580,1.122,500
Tight-S,Crossing,Base,0.218000,0.184033,0.256267,0.756627,0.751795,0.761394,0.868072,0.862460,0.873488,1.4205,0.3365,0.8949,0.910,500
Tight-S,Crossing,WDRO-sampling,0.050000,0.034094,0.072769,0.028322,0.026071,0.030762,0.006167,0.004742,0.008018,1.2820,0.8263,0.9572,1.247,500
Tight-S,Crossing,WDRO-inject-K1,0.058000,0.040683,0.082057,0.000000,0.000000,0.000197,0.000000,0.000000,0.000430,1.2427,0.4865,0.9569,1.005,500
Tight-S,Diagonal,Base,0.066000,0.047378,0.091240,0.710683,0.703714,0.717553,0.851403,0.842935,0.859490,1.5468,0.7991,0.9572,0.832,500
Tight-S,Diagonal,WDRO-sampling,0.130000,0.103320,0.162322,0.042462,0.039741,0.045360,0.032489,0.029035,0.036338,1.3183,0.2592,0.9576,1.127,500
Tight-S,Diagonal,WDRO-inject-K1,0.122000,0.096159,0.153605,0.000000,0.000000,0.000192,0.000000,0.000000,0.000409,1.3321,0.2183,0.9567,1.064,500
Circle,Oncoming-slow,Base,0.000000,0.000000,0.007625,0.692200,0.684765,0.699537,0.828485,0.819461,0.837148,2.1496,1.7257,0.9648,0.800,500
Circle,Oncoming-slow,WDRO-sampling,0.000000,0.000000,0.007625,0.011800,0.010193,0.013657,0.005009,0.003587,0.006991,2.2191,1.8208,0.9648,0.758,500
Circle,Oncoming-slow,WDRO-inject-K1,0.000000,0.000000,0.007625,0.000000,0.000000,0.000256,0.000000,0.000000,0.000588,2.1610,1.7918,0.9648,0.823,500
Circle,Oncoming-fast,Base,0.000000,0.000000,0.007625,0.684200,0.676715,0.691591,0.811026,0.801443,0.820250,2.2183,1.7447,0.9648,0.709,500
Circle,Oncoming-fast,WDRO-sampling,0.000000,0.000000,0.007625,0.001733,0.001183,0.002539,0.000601,0.000234,0.001545,2.3175,1.8755,0.9648,0.906,500
Circle,Oncoming-fast,WDRO-inject-K1,0.000000,0.000000,0.007625,0.000000,0.000000,0.000256,0.000000,0.000000,0.000572,2.3182,1.8079,0.9648,0.949,500
Circle,Crossing,Base,0.104000,0.080194,0.133845,0.746820,0.742594,0.751000,0.818716,0.813282,0.824025,2.2140,0.5120,0.8486,0.807,500
Circle,Crossing,WDRO-sampling,0.002000,0.000353,0.011241,0.011542,0.009957,0.013375,0.014460,0.011869,0.017608,2.1623,1.2900,0.9648,0.781,500
Circle,Crossing,WDRO-inject-K1,0.006000,0.002043,0.017491,0.000000,0.000000,0.000252,0.000000,0.000000,0.000567,2.1086,1.2406,0.9647,0.746,500
Circle,Diagonal,Base,0.000000,0.000000,0.007625,0.748584,0.744661,0.752466,0.830035,0.825052,0.834904,2.2187,1.5274,0.8635,0.696,500
Circle,Diagonal,WDRO-sampling,0.000000,0.000000,0.007625,0.002600,0.001902,0.003552,0.001034,0.000501,0.002133,2.1398,1.4930,0.9648,0.755,500
Circle,Diagonal,WDRO-inject-K1,0.000000,0.000000,0.007625,0.000000,0.000000,0.000256,0.000000,0.000000,0.000589,2.1481,1.5065,0.9648,0.799,500
