condition,method,K,collision_rate,coll_ci_lo,coll_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
S-curve,Base,0,0.733000,0.704727,0.759490,0.7169,0.1857,0.9314,0.822,1000
S-curve,WDRO-sampling,0,0.159000,0.137646,0.182964,1.0880,0.4295,0.9576,0.926,1000
S-curve,WDRO-inject,1,0.128000,0.108707,0.150140,1.0975,0.5250,0.9578,0.928,1000
S-curve,WDRO-inject,2,0.117000,0.098528,0.138403,1.0980,0.5344,0.9579,0.928,1000
S-curve,WDRO-inject,3,0.141000,0.120801,0.163947,1.0823,0.5078,0.9578,0.924,1000
S-curve,WDRO-inject,4,0.143000,0.122667,0.166065,1.0951,0.5057,0.9577,0.932,1000
S-curve,WDRO-inject,5,0.149000,0.128274,0.172412,1.0877,0.5401,0.9578,0.933,1000
S-curve,WDRO-inject,6,0.132000,0.112421,0.154395,1.0854,0.5069,0.9578,0.940,1000
S-curve,TopRisk,1,0.138000,0.118004,0.160766,1.0904,0.4553,0.9579,0.929,1000
S-curve,TopRisk,2,0.134000,0.114281,0.156521,1.0858,0.4989,0.9579,0.932,1000
S-curve,TopRisk,3,0.134000,0.114281,0.156521,1.1019,0.4992,0.9577,0.937,1000
S-curve,TopRisk,4,0.155000,0.133893,0.178747,1.0773,0.4353,0.9575,0.943,1000
S-curve,TopRisk,5,0.145000,0.124535,0.168183,1.0824,0.4828,0.9573,0.940,1000
S-curve,TopRisk,6,0.158000,0.136707,0.181910,1.0803,0.4722,0.9576,0.942,1000
S-curve,DiverseRisk,1,0.140000,0.119868,0.162887,1.0885,0.5192,0.9577,0.935,1000
S-curve,DiverseRisk,2,0.149000,0.128274,0.172412,1.0790,0.4436,0.9576,0.932,1000
S-curve,DiverseRisk,3,0.133000,0.113351,0.155458,1.1044,0.5238,0.9578,0.941,1000
S-curve,DiverseRisk,4,0.144000,0.123601,0.167124,1.0913,0.4478,0.9579,0.948,1000
S-curve,DiverseRisk,5,0.139000,0.118936,0.161827,1.0763,0.4143,0.9577,0.939,1000
S-curve,DiverseRisk,6,0.155000,0.133893,0.178747,1.0856,0.4477,0.9575,0.942,1000
Tight-S,Base,0,0.982000,0.971727,0.988584,0.3723,0.0894,0.9568,0.794,1000
Tight-S,WDRO-sampling,0,0.257000,0.230882,0.284978,0.9871,0.2107,0.9578,0.976,1000
Tight-S,WDRO-inject,1,0.239000,0.213597,0.266400,0.9913,0.2666,0.9577,0.974,1000
Tight-S,WDRO-inject,2,0.223000,0.198288,0.249832,1.0097,0.2642,0.9578,0.979,1000
Tight-S,WDRO-inject,3,0.248000,0.222232,0.275697,0.9801,0.1948,0.9579,0.995,1000
Tight-S,WDRO-inject,4,0.252000,0.226074,0.279824,0.9797,0.2082,0.9579,0.988,1000
Tight-S,WDRO-inject,5,0.264000,0.237620,0.292187,0.9679,0.2165,0.9577,0.984,1000
Tight-S,WDRO-inject,6,0.231000,0.205936,0.258123,1.0039,0.2607,0.9580,0.981,1000
Tight-S,TopRisk,1,0.262000,0.235693,0.290128,0.9778,0.2014,0.9580,0.986,1000
Tight-S,TopRisk,2,0.276000,0.249191,0.304524,0.9604,0.2285,0.9579,0.981,1000
Tight-S,TopRisk,3,0.241000,0.215515,0.268467,0.9775,0.1728,0.9581,0.991,1000
Tight-S,TopRisk,4,0.252000,0.226074,0.279824,0.9732,0.2326,0.9579,1.000,1000
Tight-S,TopRisk,5,0.280000,0.253053,0.308631,0.9589,0.1823,0.9581,0.999,1000
Tight-S,TopRisk,6,0.270000,0.243402,0.298358,0.9509,0.2024,0.9581,1.002,1000
Tight-S,DiverseRisk,1,0.279000,0.252087,0.307604,0.9695,0.2285,0.9576,0.984,1000
Tight-S,DiverseRisk,2,0.230000,0.204979,0.257087,0.9878,0.2351,0.9580,0.987,1000
Tight-S,DiverseRisk,3,0.277000,0.250156,0.305551,0.9603,0.2152,0.9581,0.989,1000
Tight-S,DiverseRisk,4,0.310000,0.282107,0.339347,0.9260,0.1627,0.9579,0.998,1000
Tight-S,DiverseRisk,5,0.277000,0.250156,0.305551,0.9532,0.2161,0.9580,0.999,1000
Tight-S,DiverseRisk,6,0.296000,0.268530,0.325031,0.9444,0.1880,0.9582,0.995,1000
2obs-S-curve,Base,0,0.709000,0.680090,0.736311,0.6721,0.1370,0.9515,0.896,1000
2obs-S-curve,WDRO-sampling,0,0.182000,0.159317,0.207117,1.0491,0.4335,0.9583,1.130,1000
2obs-S-curve,WDRO-inject,1,0.171000,0.148933,0.195585,1.0656,0.4560,0.9584,1.134,1000
2obs-S-curve,WDRO-inject,2,0.176000,0.153649,0.200831,1.0507,0.4366,0.9583,1.136,1000
2obs-S-curve,WDRO-inject,3,0.190000,0.166889,0.215484,1.0430,0.3933,0.9582,1.152,1000
2obs-S-curve,WDRO-inject,4,0.206000,0.182081,0.232169,1.0371,0.4454,0.9582,1.151,1000
2obs-S-curve,WDRO-inject,5,0.154000,0.132956,0.177692,1.0664,0.4697,0.9580,1.153,1000
2obs-S-curve,WDRO-inject,6,0.195000,0.171630,0.220705,1.0452,0.4282,0.9582,1.145,1000
2obs-S-curve,TopRisk,1,0.179000,0.156482,0.203975,1.0566,0.4540,0.9582,1.113,1000
2obs-S-curve,TopRisk,2,0.208000,0.183984,0.234251,1.0381,0.4373,0.9582,1.108,1000
2obs-S-curve,TopRisk,3,0.196000,0.172579,0.221748,1.0464,0.4487,0.9582,1.113,1000
2obs-S-curve,TopRisk,4,0.216000,0.191607,0.242567,1.0462,0.4332,0.9581,1.116,1000
2obs-S-curve,TopRisk,5,0.170000,0.147991,0.194535,1.0613,0.4356,0.9581,1.108,1000
2obs-S-curve,TopRisk,6,0.183000,0.160262,0.208164,1.0559,0.4385,0.9583,1.107,1000
2obs-S-curve,DiverseRisk,1,0.196000,0.172579,0.221748,1.0406,0.4469,0.9583,1.109,1000
2obs-S-curve,DiverseRisk,2,0.187000,0.164047,0.212348,1.0528,0.4566,0.9581,1.110,1000
2obs-S-curve,DiverseRisk,3,0.183000,0.160262,0.208164,1.0599,0.4575,0.9581,1.105,1000
2obs-S-curve,DiverseRisk,4,0.178000,0.155537,0.202927,1.0546,0.4248,0.9582,1.103,1000
2obs-S-curve,DiverseRisk,5,0.199000,0.175427,0.224877,1.0453,0.3902,0.9583,1.105,1000
2obs-S-curve,DiverseRisk,6,0.180000,0.157427,0.205023,1.0469,0.4453,0.9582,1.109,1000
HighSwitch,Base,0,0.805000,0.779295,0.828370,0.5900,0.1499,0.9292,0.809,1000
HighSwitch,WDRO-sampling,0,0.159000,0.137646,0.182964,1.0594,0.4821,0.9572,0.922,1000
HighSwitch,WDRO-inject,1,0.146000,0.125469,0.169241,1.0537,0.4913,0.9574,0.928,1000
HighSwitch,WDRO-inject,2,0.167000,0.145166,0.191383,1.0389,0.4908,0.9575,0.930,1000
HighSwitch,WDRO-inject,3,0.167000,0.145166,0.191383,1.0419,0.4753,0.9573,0.932,1000
HighSwitch,WDRO-inject,4,0.173000,0.150819,0.197684,1.0507,0.5301,0.9572,0.931,1000
HighSwitch,WDRO-inject,5,0.171000,0.148933,0.195585,1.0423,0.5188,0.9572,0.933,1000
HighSwitch,WDRO-inject,6,0.146000,0.125469,0.169241,1.0610,0.5488,0.9575,0.930,1000
HighSwitch,TopRisk,1,0.160000,0.138585,0.184017,1.0539,0.5079,0.9574,0.928,1000
HighSwitch,TopRisk,2,0.153000,0.132019,0.176637,1.0505,0.5229,0.9574,0.929,1000
HighSwitch,TopRisk,3,0.178000,0.155537,0.202927,1.0368,0.4948,0.9573,0.929,1000
HighSwitch,TopRisk,4,0.150000,0.129210,0.173469,1.0618,0.5409,0.9573,0.928,1000
HighSwitch,TopRisk,5,0.158000,0.136707,0.181910,1.0533,0.5152,0.9575,0.953,1000
HighSwitch,TopRisk,6,0.167000,0.145166,0.191383,1.0462,0.4964,0.9568,0.957,1000
HighSwitch,DiverseRisk,1,0.154000,0.132956,0.177692,1.0648,0.5482,0.9573,0.957,1000
HighSwitch,DiverseRisk,2,0.179000,0.156482,0.203975,1.0482,0.4945,0.9572,0.943,1000
HighSwitch,DiverseRisk,3,0.176000,0.153649,0.200831,1.0418,0.4999,0.9572,0.975,1000
HighSwitch,DiverseRisk,4,0.166000,0.144225,0.190331,1.0411,0.4907,0.9575,0.948,1000
HighSwitch,DiverseRisk,5,0.168000,0.146108,0.192433,1.0463,0.5294,0.9573,0.960,1000
HighSwitch,DiverseRisk,6,0.175000,0.152705,0.199782,1.0488,0.5170,0.9570,0.952,1000
