condition,method,K,collision_rate,coll_ci_lo,coll_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
Straight-head-on,Base,0,0.480000,0.449170,0.510983,0.9626,0.2354,0.9193,0.783,1000
Straight-head-on,WDRO-sampling,0,0.084000,0.068359,0.102825,1.1668,0.6375,0.9605,0.959,1000
Straight-head-on,WDRO-inject-K1,1,0.111000,0.092999,0.131978,1.1332,0.6044,0.9603,0.952,1000
Straight-head-on,WDRO-inject-K2,2,0.125000,0.105926,0.146944,1.1169,0.5505,0.9602,0.954,1000
Straight-head-on,WDRO-inject-K3,3,0.110000,0.092079,0.130906,1.1325,0.5593,0.9603,0.955,1000
Straight-head-on,WDRO-inject-K4,4,0.103000,0.085655,0.123384,1.1231,0.5928,0.9601,0.955,1000
Straight-head-on,WDRO-inject-K5,5,0.112000,0.093919,0.133050,1.1289,0.5939,0.9603,0.958,1000
Straight-head-on,TopRisk-K1,1,0.122000,0.103148,0.143745,1.1340,0.5626,0.9607,0.949,1000
Straight-head-on,TopRisk-K2,2,0.114000,0.095761,0.135193,1.1290,0.5926,0.9608,0.955,1000
Straight-head-on,TopRisk-K3,3,0.115000,0.096683,0.136264,1.1341,0.6138,0.9610,0.947,1000
Straight-head-on,TopRisk-K4,4,0.115000,0.096683,0.136264,1.1310,0.5838,0.9610,0.955,1000
Straight-head-on,TopRisk-K5,5,0.099000,0.081995,0.119074,1.1296,0.6530,0.9607,0.954,1000
Straight-head-on,DiverseRisk-K1,1,0.110000,0.092079,0.130906,1.1370,0.6084,0.9606,0.950,1000
Straight-head-on,DiverseRisk-K2,2,0.109000,0.091160,0.129833,1.1366,0.6045,0.9605,0.950,1000
Straight-head-on,DiverseRisk-K3,3,0.123000,0.104074,0.144812,1.1299,0.5884,0.9607,0.954,1000
Straight-head-on,DiverseRisk-K4,4,0.120000,0.101299,0.141609,1.1301,0.5586,0.9608,0.954,1000
Straight-head-on,DiverseRisk-K5,5,0.129000,0.109635,0.151204,1.1241,0.5649,0.9610,0.961,1000
S-curve-head-on,Base,0,0.630000,0.599631,0.659374,0.8003,0.1729,0.9034,0.790,1000
S-curve-head-on,WDRO-sampling,0,0.142000,0.121734,0.165006,1.1238,0.3717,0.9569,0.985,1000
S-curve-head-on,WDRO-inject-K1,1,0.120000,0.101299,0.141609,1.1165,0.4892,0.9579,0.988,1000
S-curve-head-on,WDRO-inject-K2,2,0.123000,0.104074,0.144812,1.1160,0.5428,0.9575,0.992,1000
S-curve-head-on,WDRO-inject-K3,3,0.131000,0.111492,0.153332,1.1148,0.5331,0.9574,0.989,1000
S-curve-head-on,WDRO-inject-K4,4,0.146000,0.125469,0.169241,1.1035,0.4210,0.9571,0.994,1000
S-curve-head-on,WDRO-inject-K5,5,0.126000,0.106853,0.148010,1.1146,0.5151,0.9574,0.993,1000
S-curve-head-on,TopRisk-K1,1,0.141000,0.120801,0.163947,1.1029,0.4598,0.9575,0.986,1000
S-curve-head-on,TopRisk-K2,2,0.121000,0.102223,0.142677,1.1073,0.4442,0.9574,0.988,1000
S-curve-head-on,TopRisk-K3,3,0.112000,0.093919,0.133050,1.1244,0.5158,0.9574,0.987,1000
S-curve-head-on,TopRisk-K4,4,0.124000,0.105000,0.145878,1.1093,0.5183,0.9573,0.992,1000
S-curve-head-on,TopRisk-K5,5,0.150000,0.129210,0.173469,1.0946,0.4182,0.9571,0.987,1000
S-curve-head-on,DiverseRisk-K1,1,0.130000,0.110563,0.152268,1.0967,0.4729,0.9571,0.994,1000
S-curve-head-on,DiverseRisk-K2,2,0.123000,0.104074,0.144812,1.1148,0.5082,0.9574,0.986,1000
S-curve-head-on,DiverseRisk-K3,3,0.128000,0.108707,0.150140,1.1078,0.4496,0.9572,0.991,1000
S-curve-head-on,DiverseRisk-K4,4,0.128000,0.108707,0.150140,1.1008,0.4854,0.9567,0.993,1000
S-curve-head-on,DiverseRisk-K5,5,0.133000,0.113351,0.155458,1.1052,0.4502,0.9567,0.998,1000
Tight-S-head-on,Base,0,0.976000,0.964537,0.983820,0.3692,0.0970,0.9567,0.784,1000
Tight-S-head-on,WDRO-sampling,0,0.191000,0.167837,0.216528,1.0546,0.1963,0.9583,1.035,1000
Tight-S-head-on,WDRO-inject-K1,1,0.214000,0.189700,0.240489,1.0181,0.1901,0.9572,1.023,1000
