test,condition,method,collision_rate,coll_ci_lo,coll_ci_hi,mean_clearance,mean_progress,mean_solve_ms,n_rollouts
A-risk-noise,rn=0,Base,0.743000,0.715022,0.769118,0.7064,0.9223,0.821,1000
A-risk-noise,rn=0,WDRO-sampling,0.152000,0.131082,0.175581,1.1048,0.9576,0.931,1000
A-risk-noise,rn=0,WDRO-inject-K1,0.158000,0.136707,0.181910,1.0684,0.9576,0.953,1000
A-risk-noise,rn=0,WDRO-inject-K2,0.132000,0.112421,0.154395,1.0828,0.9579,0.926,1000
A-risk-noise,rn=0,TopRisk-K1,0.121000,0.102223,0.142677,1.1016,0.9578,0.922,1000
A-risk-noise,rn=0,TopRisk-K2,0.138000,0.118004,0.160766,1.0917,0.9578,0.918,1000
A-risk-noise,rn=0,DiverseRisk-K1,0.117000,0.098528,0.138403,1.1104,0.9576,0.918,1000
A-risk-noise,rn=5,Base,0.731000,0.702670,0.757562,0.7219,0.9282,0.813,1000
A-risk-noise,rn=5,WDRO-sampling,0.138000,0.118004,0.160766,1.1054,0.9576,0.947,1000
A-risk-noise,rn=5,WDRO-inject-K1,0.127000,0.107780,0.149075,1.0963,0.9576,0.962,1000
A-risk-noise,rn=5,WDRO-inject-K2,0.122000,0.103148,0.143745,1.1045,0.9577,0.958,1000
A-risk-noise,rn=5,TopRisk-K1,0.129000,0.109635,0.151204,1.0846,0.9578,0.965,1000
A-risk-noise,rn=5,TopRisk-K2,0.127000,0.107780,0.149075,1.1119,0.9576,0.961,1000
A-risk-noise,rn=5,DiverseRisk-K1,0.146000,0.125469,0.169241,1.0862,0.9578,0.956,1000
A-risk-noise,rn=10,Base,0.768000,0.740842,0.793107,0.6829,0.9312,0.808,1000
A-risk-noise,rn=10,WDRO-sampling,0.138000,0.118004,0.160766,1.0976,0.9575,0.950,1000
A-risk-noise,rn=10,WDRO-inject-K1,0.112000,0.093919,0.133050,1.1084,0.9579,0.958,1000
A-risk-noise,rn=10,WDRO-inject-K2,0.125000,0.105926,0.146944,1.0934,0.9578,0.977,1000
A-risk-noise,rn=10,TopRisk-K1,0.140000,0.119868,0.162887,1.0814,0.9575,0.973,1000
A-risk-noise,rn=10,TopRisk-K2,0.136000,0.116142,0.158644,1.0908,0.9575,0.970,1000
A-risk-noise,rn=10,DiverseRisk-K1,0.116000,0.097605,0.137334,1.1083,0.9579,0.977,1000
A-risk-noise,rn=20,Base,0.745000,0.717083,0.771042,0.7013,0.9304,0.836,1000
A-risk-noise,rn=20,WDRO-sampling,0.144000,0.123601,0.167124,1.0913,0.9577,0.969,1000
A-risk-noise,rn=20,WDRO-inject-K1,0.144000,0.123601,0.167124,1.0860,0.9578,0.965,1000
A-risk-noise,rn=20,WDRO-inject-K2,0.134000,0.114281,0.156521,1.0863,0.9575,0.960,1000
A-risk-noise,rn=20,TopRisk-K1,0.133000,0.113351,0.155458,1.0878,0.9578,0.955,1000
A-risk-noise,rn=20,TopRisk-K2,0.142000,0.121734,0.165006,1.0890,0.9577,0.970,1000
A-risk-noise,rn=20,DiverseRisk-K1,0.127000,0.107780,0.149075,1.1050,0.9579,0.976,1000
A-risk-noise,rn=50,Base,0.733000,0.704727,0.759490,0.7207,0.9227,0.813,1000
A-risk-noise,rn=50,WDRO-sampling,0.151000,0.130146,0.174525,1.0694,0.9579,0.950,1000
A-risk-noise,rn=50,WDRO-inject-K1,0.131000,0.111492,0.153332,1.0855,0.9579,0.973,1000
A-risk-noise,rn=50,WDRO-inject-K2,0.134000,0.114281,0.156521,1.0834,0.9577,0.965,1000
A-risk-noise,rn=50,TopRisk-K1,0.148000,0.127339,0.171356,1.0972,0.9580,0.955,1000
A-risk-noise,rn=50,TopRisk-K2,0.114000,0.095761,0.135193,1.1084,0.9576,0.965,1000
A-risk-noise,rn=50,DiverseRisk-K1,0.141000,0.120801,0.163947,1.0797,0.9577,0.965,1000
A-risk-noise,rn=100,Base,0.748000,0.720176,0.773926,0.7126,0.9294,0.820,1000
A-risk-noise,rn=100,WDRO-sampling,0.131000,0.111492,0.153332,1.0845,0.9577,0.966,1000
A-risk-noise,rn=100,WDRO-inject-K1,0.150000,0.129210,0.173469,1.0817,0.9578,0.973,1000
A-risk-noise,rn=100,WDRO-inject-K2,0.123000,0.104074,0.144812,1.0982,0.9576,0.978,1000
A-risk-noise,rn=100,TopRisk-K1,0.137000,0.117073,0.159706,1.0903,0.9578,0.981,1000
A-risk-noise,rn=100,TopRisk-K2,0.136000,0.116142,0.158644,1.0944,0.9577,0.977,1000
A-risk-noise,rn=100,DiverseRisk-K1,0.138000,0.118004,0.160766,1.0867,0.9577,0.987,1000
A-risk-noise,rn=0-tight,Base,0.994000,0.986972,0.997247,0.3559,0.9564,0.793,1000
A-risk-noise,rn=0-tight,WDRO-sampling,0.313000,0.285020,0.342411,0.9277,0.9578,0.985,1000
A-risk-noise,rn=0-tight,WDRO-inject-K1,0.250000,0.224153,0.277761,0.9686,0.9579,0.983,1000
A-risk-noise,rn=0-tight,WDRO-inject-K2,0.247000,0.221272,0.274665,0.9762,0.9578,1.006,1000
A-risk-noise,rn=0-tight,TopRisk-K1,0.258000,0.231844,0.286009,0.9721,0.9576,1.002,1000
