novel_mode,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
Spiral,Base,0.762000,0.722763,0.797242,0.741732,0.6743,0.1727,0.9455,0.850,500
Spiral,WDRO-sampling,0.104000,0.080194,0.133845,0.125038,1.1096,0.4728,0.9596,0.949,500
Spiral,WDRO-inject-K1,0.086000,0.064473,0.113840,0.075412,1.1056,0.5855,0.9594,0.965,500
Spiral,WDRO-inject-K2,0.086000,0.064473,0.113840,0.081785,1.1070,0.4834,0.9595,0.962,500
Spiral,TopRisk-K1,0.078000,0.057581,0.104854,0.078301,1.1111,0.6084,0.9595,0.962,500
Spiral,TopRisk-K2,0.092000,0.069682,0.120539,0.073975,1.1029,0.4764,0.9596,0.968,500
HardBrake,Base,0.750000,0.710236,0.785952,0.758832,0.7184,0.1352,0.9419,0.853,500
HardBrake,WDRO-sampling,0.092000,0.069682,0.120539,0.118698,1.1210,0.5253,0.9594,0.947,500
HardBrake,WDRO-inject-K1,0.088000,0.066206,0.116077,0.080459,1.0936,0.5232,0.9594,0.967,500
HardBrake,WDRO-inject-K2,0.084000,0.062744,0.111600,0.077785,1.1006,0.5691,0.9596,0.972,500
HardBrake,TopRisk-K1,0.092000,0.069682,0.120539,0.077771,1.0981,0.4667,0.9595,0.972,500
HardBrake,TopRisk-K2,0.092000,0.069682,0.120539,0.088121,1.1070,0.4735,0.9594,0.970,500
U-turn,Base,0.752000,0.712321,0.787836,0.767603,0.6911,0.1595,0.9393,0.862,500
U-turn,WDRO-sampling,0.098000,0.074924,0.127207,0.120472,1.1194,0.4449,0.9592,0.960,500
U-turn,WDRO-inject-K1,0.074000,0.054161,0.100335,0.080021,1.0930,0.5309,0.9595,0.964,500
U-turn,WDRO-inject-K2,0.070000,0.050759,0.095798,0.080414,1.1238,0.6223,0.9591,0.964,500
U-turn,TopRisk-K1,0.084000,0.062744,0.111600,0.080242,1.1024,0.4971,0.9597,0.959,500
U-turn,TopRisk-K2,0.086000,0.064473,0.113840,0.074693,1.1143,0.5130,0.9595,0.958,500
Skid,Base,0.756000,0.716494,0.791602,0.766601,0.6763,0.1632,0.9388,0.857,500
Skid,WDRO-sampling,0.094000,0.071426,0.122765,0.117861,1.1174,0.5691,0.9596,0.955,500
Skid,WDRO-inject-K1,0.078000,0.057581,0.104854,0.080492,1.0937,0.5400,0.9597,0.960,500
Skid,WDRO-inject-K2,0.090000,0.067942,0.118310,0.082680,1.1001,0.4571,0.9593,0.972,500
Skid,TopRisk-K1,0.076000,0.055869,0.102597,0.078222,1.1047,0.4813,0.9594,0.952,500
Skid,TopRisk-K2,0.094000,0.071426,0.122765,0.077746,1.0965,0.5354,0.9596,0.971,500
No-novel,Base,0.742000,0.701905,0.778404,0.736403,0.7115,0.1705,0.9463,0.875,500
No-novel,WDRO-sampling,0.082000,0.061019,0.109355,0.043284,1.1292,0.5199,0.9592,0.981,500
No-novel,WDRO-inject-K1,0.062000,0.044019,0.086660,0.000000,1.1105,0.7005,0.9593,1.000,500
No-novel,WDRO-inject-K2,0.102000,0.078434,0.131635,0.000000,1.0899,0.4382,0.9594,0.978,500
No-novel,TopRisk-K1,0.082000,0.061019,0.109355,0.000000,1.1071,0.5004,0.9594,0.995,500
No-novel,TopRisk-K2,0.092000,0.069682,0.120539,0.000000,1.1003,0.4099,0.9595,0.984,500
