num_obstacles,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
1,Base,0.732000,0.691516,0.768947,0.761006,0.6950,0.1573,0.9414,0.873,500
1,WDRO-sampling,0.092000,0.069682,0.120539,0.127767,1.1327,0.5637,0.9592,0.970,500
1,WDRO-inject-K1,0.090000,0.067942,0.118310,0.076555,1.0738,0.4080,0.9595,0.984,500
1,WDRO-inject-K2,0.096000,0.073173,0.124988,0.080330,1.0794,0.4149,0.9594,1.034,500
1,TopRisk-K1,0.104000,0.080194,0.133845,0.082080,1.0940,0.4429,0.9593,1.072,500
1,TopRisk-K2,0.096000,0.073173,0.124988,0.081613,1.0932,0.4337,0.9594,1.059,500
2,Base,0.848000,0.813885,0.876808,0.744936,0.5912,0.1278,0.9511,1.009,500
2,WDRO-sampling,0.262000,0.225376,0.302254,0.060236,0.9853,0.2516,0.9568,1.200,500
2,WDRO-inject-K1,0.250000,0.214048,0.289764,0.035018,0.9726,0.2412,0.9571,1.188,500
2,WDRO-inject-K2,0.248000,0.212164,0.287679,0.034552,0.9800,0.2645,0.9567,1.212,500
2,TopRisk-K1,0.244000,0.208398,0.283506,0.034166,0.9994,0.2933,0.9569,1.198,500
2,TopRisk-K2,0.264000,0.227267,0.304332,0.033720,0.9730,0.2502,0.9567,1.197,500
3,Base,0.536000,0.492178,0.579273,0.739812,0.9407,0.2023,0.9386,1.232,500
3,WDRO-sampling,0.174000,0.143289,0.209682,0.052740,1.0412,0.3132,0.9581,1.421,500
3,WDRO-inject-K1,0.206000,0.172856,0.243627,0.024982,1.0023,0.1914,0.9582,1.420,500
3,WDRO-inject-K2,0.174000,0.143289,0.209682,0.026808,1.0228,0.2562,0.9580,1.455,500
3,TopRisk-K1,0.196000,0.163578,0.233058,0.027268,1.0114,0.2659,0.9582,1.428,500
3,TopRisk-K2,0.184000,0.152489,0.220330,0.025158,1.0115,0.2213,0.9585,1.435,500
