num_obstacles,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
1,Base,0.752000,0.712321,0.787836,0.770467,0.6664,0.1609,0.9482,0.858,500
1,WDRO-sampling,0.094000,0.071426,0.122765,0.128143,1.1117,0.5206,0.9591,0.973,500
1,WDRO-inject-K1,0.084000,0.062744,0.111600,0.076437,1.1039,0.6058,0.9594,0.983,500
1,WDRO-inject-K2,0.098000,0.074924,0.127207,0.080716,1.0884,0.5100,0.9595,1.000,500
1,TopRisk-K1,0.084000,0.062744,0.111600,0.082529,1.1092,0.4751,0.9595,0.999,500
1,TopRisk-K2,0.114000,0.089036,0.144850,0.081400,1.0853,0.3871,0.9593,0.987,500
2,Base,0.836000,0.801005,0.865872,0.741148,0.6087,0.1508,0.9472,0.936,500
2,WDRO-sampling,0.244000,0.208398,0.283506,0.061707,0.9944,0.2667,0.9566,1.204,500
2,WDRO-inject-K1,0.286000,0.248139,0.327124,0.035033,0.9490,0.2170,0.9574,1.307,500
2,WDRO-inject-K2,0.242000,0.206517,0.281417,0.034730,0.9755,0.3030,0.9568,1.303,500
2,TopRisk-K1,0.224000,0.189638,0.262570,0.034407,0.9736,0.2634,0.9570,1.305,500
2,TopRisk-K2,0.212000,0.178439,0.249953,0.034569,0.9836,0.2344,0.9568,1.285,500
3,Base,0.582000,0.538302,0.624448,0.744972,0.8957,0.1819,0.9391,1.299,500
3,WDRO-sampling,0.200000,0.167285,0.237290,0.050598,1.0254,0.2611,0.9578,1.548,500
3,WDRO-inject-K1,0.196000,0.163578,0.233058,0.024907,1.0131,0.2095,0.9581,1.607,500
3,WDRO-inject-K2,0.208000,0.174716,0.245737,0.026705,1.0044,0.2347,0.9582,1.554,500
3,TopRisk-K1,0.188000,0.156179,0.224578,0.027449,1.0271,0.2749,0.9584,1.568,500
3,TopRisk-K2,0.184000,0.152489,0.220330,0.025156,1.0115,0.2104,0.9584,1.537,500
2,No-novel-Base,0.852000,0.818193,0.880439,0.729860,0.5974,0.1507,0.9519,0.981,500
2,No-novel-WDRO-sampling,0.256000,0.219707,0.296014,0.025802,0.9767,0.2172,0.9568,1.250,500
