hypothesis,condition,method,collision_rate,coll_ci_lo,coll_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
H1,S=5,Base,0.973000,0.961001,0.981379,0.3718,0.1257,0.9611,0.702,1000
H1,S=5,WDRO-sampling,0.951000,0.935809,0.962739,0.4386,0.1067,0.9599,0.757,1000
H1,S=5,WDRO-inject-K1,0.951000,0.935809,0.962739,0.4366,0.1045,0.9596,0.758,1000
H1,S=5,WDRO-inject-K2,0.948000,0.932444,0.960127,0.4317,0.1023,0.9599,0.762,1000
H1,S=5,TopRisk-K1,0.946000,0.930208,0.958379,0.4415,0.1025,0.9598,0.757,1000
H1,S=5,TopRisk-K2,0.950000,0.934686,0.961870,0.4308,0.0967,0.9596,0.758,1000
H1,S=5,DiverseRisk-K1,0.955000,0.940317,0.966201,0.4265,0.1136,0.9599,0.755,1000
H1,S=8,Base,0.972000,0.959830,0.980558,0.3780,0.1286,0.9611,0.697,1000
H1,S=8,WDRO-sampling,0.943000,0.926863,0.955747,0.4536,0.1089,0.9600,0.760,1000
H1,S=8,WDRO-inject-K1,0.947000,0.931325,0.959254,0.4445,0.1083,0.9598,0.760,1000
H1,S=8,WDRO-inject-K2,0.947000,0.931325,0.959254,0.4423,0.1122,0.9597,0.764,1000
H1,S=8,TopRisk-K1,0.947000,0.931325,0.959254,0.4356,0.1011,0.9598,0.761,1000
H1,S=8,TopRisk-K2,0.954000,0.939187,0.965338,0.4268,0.0826,0.9598,0.758,1000
H1,S=8,DiverseRisk-K1,0.959000,0.944852,0.969635,0.4291,0.0905,0.9598,0.759,1000
H1,S=12,Base,0.977000,0.965723,0.984626,0.3798,0.1326,0.9611,0.704,1000
H1,S=12,WDRO-sampling,0.944000,0.927976,0.956625,0.4554,0.0941,0.9599,0.771,1000
H1,S=12,WDRO-inject-K1,0.951000,0.935809,0.962739,0.4371,0.0907,0.9598,0.772,1000
H1,S=12,WDRO-inject-K2,0.952000,0.936934,0.963607,0.4304,0.0895,0.9597,0.778,1000
H1,S=12,TopRisk-K1,0.957000,0.942581,0.967922,0.4312,0.1022,0.9597,0.772,1000
H1,S=12,TopRisk-K2,0.958000,0.943715,0.968779,0.4351,0.0955,0.9597,0.776,1000
H1,S=12,DiverseRisk-K1,0.954000,0.939187,0.965338,0.4428,0.1075,0.9597,0.776,1000
H1,S=20,Base,0.988000,0.979143,0.993122,0.3944,0.1590,0.9611,0.739,1000
H1,S=20,WDRO-sampling,0.636000,0.605710,0.665249,0.7145,0.2481,0.9600,0.912,1000
H1,S=20,WDRO-inject-K1,0.703000,0.673945,0.730501,0.6828,0.2522,0.9596,0.918,1000
H1,S=20,WDRO-inject-K2,0.654000,0.623977,0.682844,0.6981,0.2279,0.9595,0.917,1000
H1,S=20,TopRisk-K1,0.678000,0.648406,0.706231,0.6916,0.2458,0.9597,0.921,1000
H1,S=20,TopRisk-K2,0.656000,0.626010,0.684796,0.6956,0.2346,0.9597,0.910,1000
H1,S=20,DiverseRisk-K1,0.669000,0.639236,0.697471,0.6890,0.2369,0.9597,0.916,1000
H2,rare=1%,Base,0.723000,0.694449,0.749844,0.6580,0.2113,0.9231,0.798,1000
H2,rare=1%,WDRO-sampling,0.182000,0.159317,0.207117,1.0104,0.4853,0.9562,0.895,1000
H2,rare=1%,WDRO-inject-K1,0.135000,0.115211,0.157583,1.0263,0.5235,0.9577,0.893,1000
H2,rare=1%,WDRO-inject-K2,0.136000,0.116142,0.158644,1.0274,0.6063,0.9574,0.894,1000
H2,rare=1%,TopRisk-K1,0.158000,0.136707,0.181910,1.0129,0.4877,0.9570,0.892,1000
H2,rare=1%,TopRisk-K2,0.126000,0.106853,0.148010,1.0339,0.5865,0.9570,0.894,1000
H2,rare=1%,DiverseRisk-K1,0.145000,0.124535,0.168183,1.0170,0.5181,0.9571,0.899,1000
H2,rare=3%,Base,0.710000,0.681114,0.737278,0.6842,0.2251,0.9322,0.806,1000
H2,rare=3%,WDRO-sampling,0.132000,0.112421,0.154395,1.0271,0.5980,0.9566,0.899,1000
H2,rare=3%,WDRO-inject-K1,0.128000,0.108707,0.150140,1.0218,0.5883,0.9575,0.903,1000
H2,rare=3%,WDRO-inject-K2,0.126000,0.106853,0.148010,1.0270,0.6402,0.9576,0.896,1000
H2,rare=3%,TopRisk-K1,0.123000,0.104074,0.144812,1.0262,0.6312,0.9576,0.895,1000
H2,rare=3%,TopRisk-K2,0.131000,0.111492,0.153332,1.0221,0.6219,0.9574,0.895,1000
H2,rare=3%,DiverseRisk-K1,0.135000,0.115211,0.157583,1.0266,0.5967,0.9575,0.897,1000
H2,rare=5%,Base,0.659000,0.629060,0.687723,0.7290,0.2253,0.9271,0.800,1000
H2,rare=5%,WDRO-sampling,0.139000,0.118936,0.161827,1.0251,0.6118,0.9569,0.899,1000
H2,rare=5%,WDRO-inject-K1,0.124000,0.105000,0.145878,1.0282,0.6740,0.9578,0.892,1000
H2,rare=5%,WDRO-inject-K2,0.125000,0.105926,0.146944,1.0264,0.6401,0.9574,0.894,1000
H2,rare=5%,TopRisk-K1,0.128000,0.108707,0.150140,1.0254,0.6501,0.9577,0.892,1000
H2,rare=5%,TopRisk-K2,0.120000,0.101299,0.141609,1.0255,0.6519,0.9576,0.892,1000
H2,rare=5%,DiverseRisk-K1,0.119000,0.100375,0.140541,1.0342,0.6386,0.9578,0.892,1000
H2,rare=10%,Base,0.639000,0.608752,0.668185,0.7531,0.2791,0.9336,0.804,1000
H2,rare=10%,WDRO-sampling,0.137000,0.117073,0.159706,1.0230,0.5796,0.9580,0.892,1000
H2,rare=10%,WDRO-inject-K1,0.097000,0.080169,0.116916,1.0411,0.6677,0.9584,0.892,1000
H2,rare=10%,WDRO-inject-K2,0.099000,0.081995,0.119074,1.0357,0.7466,0.9582,0.896,1000
H2,rare=10%,TopRisk-K1,0.091000,0.074704,0.110426,1.0394,0.6891,0.9581,0.892,1000
H2,rare=10%,TopRisk-K2,0.111000,0.092999,0.131978,1.0263,0.6444,0.9578,0.895,1000
H2,rare=10%,DiverseRisk-K1,0.093000,0.076523,0.112592,1.0397,0.7130,0.9583,0.890,1000
H3,every-3-steps,Base,0.172000,0.149876,0.196634,1.3041,0.3209,0.9305,0.806,1000
H3,every-3-steps,WDRO-sampling,0.242000,0.216474,0.269501,0.9584,0.5218,0.9568,0.944,1000
H3,every-3-steps,WDRO-inject-K1,0.206000,0.182081,0.232169,0.9715,0.5948,0.9573,0.943,1000
H3,every-3-steps,WDRO-inject-K2,0.218000,0.193514,0.244644,0.9671,0.5719,0.9572,0.945,1000
H3,every-3-steps,TopRisk-K1,0.213000,0.188747,0.239450,0.9651,0.5781,0.9571,0.942,1000
H3,every-3-steps,TopRisk-K2,0.198000,0.174477,0.223834,0.9863,0.6707,0.9568,0.946,1000
H3,every-3-steps,DiverseRisk-K1,0.225000,0.200199,0.251906,0.9660,0.5787,0.9570,0.946,1000
H3,every-5-steps,Base,0.168000,0.146108,0.192433,1.1178,0.2988,0.9286,0.801,1000
H3,every-5-steps,WDRO-sampling,0.241000,0.215515,0.268467,0.9616,0.5019,0.9572,0.940,1000
H3,every-5-steps,WDRO-inject-K1,0.245000,0.219352,0.272600,0.9497,0.4794,0.9571,0.947,1000
H3,every-5-steps,WDRO-inject-K2,0.264000,0.237620,0.292187,0.9440,0.5258,0.9572,0.951,1000
H3,every-5-steps,TopRisk-K1,0.259000,0.232806,0.287039,0.9370,0.4795,0.9574,0.944,1000
H3,every-5-steps,TopRisk-K2,0.288000,0.260787,0.316836,0.9371,0.4781,0.9572,0.944,1000
H3,every-5-steps,DiverseRisk-K1,0.251000,0.225113,0.278792,0.9489,0.5131,0.9571,0.946,1000
H3,every-8-steps,Base,0.325000,0.296687,0.354652,0.9181,0.3904,0.9342,0.802,1000
H3,every-8-steps,WDRO-sampling,0.133000,0.113351,0.155458,1.0051,0.7622,0.9582,0.941,1000
H3,every-8-steps,WDRO-inject-K1,0.108000,0.090241,0.128759,1.0084,0.7647,0.9589,0.937,1000
H3,every-8-steps,WDRO-inject-K2,0.117000,0.098528,0.138403,1.0091,0.7808,0.9590,0.943,1000
H3,every-8-steps,TopRisk-K1,0.139000,0.118936,0.161827,1.0024,0.7498,0.9588,0.937,1000
H3,every-8-steps,TopRisk-K2,0.115000,0.096683,0.136264,1.0116,0.7727,0.9588,0.935,1000
H3,every-8-steps,DiverseRisk-K1,0.134000,0.114281,0.156521,1.0043,0.7608,0.9589,0.938,1000
H4,noise=1x,Base,0.739000,0.710901,0.765269,0.7186,0.2055,0.9325,0.806,1000
H4,noise=1x,WDRO-sampling,0.143000,0.122667,0.166065,1.0984,0.4677,0.9574,0.903,1000
H4,noise=1x,WDRO-inject-K1,0.149000,0.128274,0.172412,1.0833,0.4970,0.9577,0.913,1000
H4,noise=1x,WDRO-inject-K2,0.131000,0.111492,0.153332,1.0986,0.4902,0.9577,0.912,1000
H4,noise=1x,TopRisk-K1,0.124000,0.105000,0.145878,1.0991,0.5199,0.9579,0.909,1000
H4,noise=1x,TopRisk-K2,0.148000,0.127339,0.171356,1.0907,0.4911,0.9576,0.912,1000
H4,noise=1x,DiverseRisk-K1,0.134000,0.114281,0.156521,1.0981,0.5070,0.9579,0.913,1000
H4,noise=2x,Base,0.550000,0.519032,0.580585,0.8894,0.2165,0.9244,0.826,1000
H4,noise=2x,WDRO-sampling,0.130000,0.110563,0.152268,1.1429,0.5155,0.9560,0.932,1000
H4,noise=2x,WDRO-inject-K1,0.118000,0.099451,0.139473,1.1240,0.5230,0.9569,0.932,1000
H4,noise=2x,WDRO-inject-K2,0.122000,0.103148,0.143745,1.1171,0.4801,0.9572,0.938,1000
H4,noise=2x,TopRisk-K1,0.133000,0.113351,0.155458,1.1112,0.4759,0.9565,0.940,1000
H4,noise=2x,TopRisk-K2,0.130000,0.110563,0.152268,1.1252,0.4942,0.9567,0.943,1000
H4,noise=2x,DiverseRisk-K1,0.135000,0.115211,0.157583,1.1160,0.4882,0.9567,0.942,1000
H4,noise=4x,Base,0.749000,0.721208,0.774887,0.7183,0.1810,0.9526,0.902,1000
H4,noise=4x,WDRO-sampling,0.150000,0.129210,0.173469,1.1580,0.4544,0.9564,1.002,1000
H4,noise=4x,WDRO-inject-K1,0.152000,0.131082,0.175581,1.1160,0.4139,0.9568,0.999,1000
H4,noise=4x,WDRO-inject-K2,0.140000,0.119868,0.162887,1.1327,0.4604,0.9570,0.999,1000
H4,noise=4x,TopRisk-K1,0.140000,0.119868,0.162887,1.1339,0.4647,0.9571,0.998,1000
H4,noise=4x,TopRisk-K2,0.133000,0.113351,0.155458,1.1483,0.4703,0.9568,0.993,1000
H4,noise=4x,DiverseRisk-K1,0.147000,0.126404,0.170298,1.1264,0.4146,0.9568,0.995,1000
H4,noise=8x,Base,0.668000,0.638217,0.696497,0.8488,0.1559,0.9278,1.058,1000
H4,noise=8x,WDRO-sampling,0.032000,0.022757,0.044825,1.3931,1.0626,0.9561,1.088,1000
H4,noise=8x,WDRO-inject-K1,0.022000,0.014573,0.033086,1.3646,1.0440,0.9568,1.085,1000
H4,noise=8x,WDRO-inject-K2,0.032000,0.022757,0.044825,1.3500,1.0391,0.9566,1.088,1000
H4,noise=8x,TopRisk-K1,0.025000,0.016990,0.036646,1.3628,1.0728,0.9565,1.086,1000
H4,noise=8x,TopRisk-K2,0.030000,0.021094,0.042504,1.3596,1.0640,0.9560,1.084,1000
H4,noise=8x,DiverseRisk-K1,0.023000,0.015374,0.034277,1.3566,1.0647,0.9566,1.089,1000
H5,sp=40%,Base,0.745000,0.717083,0.771042,0.6938,0.1707,0.9252,0.803,1000
H5,sp=40%,WDRO-sampling,0.174000,0.151762,0.198733,1.0830,0.3850,0.9565,0.912,1000
H5,sp=40%,WDRO-inject-K1,0.145000,0.124535,0.168183,1.0771,0.4423,0.9573,0.915,1000
H5,sp=40%,WDRO-inject-K2,0.142000,0.121734,0.165006,1.0774,0.4537,0.9571,0.918,1000
H5,sp=40%,TopRisk-K1,0.163000,0.141404,0.187176,1.0717,0.3871,0.9572,0.916,1000
H5,sp=40%,TopRisk-K2,0.122000,0.103148,0.143745,1.1060,0.5264,0.9571,0.915,1000
H5,sp=40%,DiverseRisk-K1,0.137000,0.117073,0.159706,1.0902,0.4688,0.9571,0.917,1000
H5,sp=60%,Base,0.770000,0.742913,0.795021,0.6493,0.1543,0.9295,0.807,1000
H5,sp=60%,WDRO-sampling,0.158000,0.136707,0.181910,1.0789,0.4911,0.9562,0.910,1000
H5,sp=60%,WDRO-inject-K1,0.160000,0.138585,0.184017,1.0517,0.4567,0.9566,0.927,1000
H5,sp=60%,WDRO-inject-K2,0.164000,0.142344,0.188228,1.0496,0.4325,0.9567,0.926,1000
H5,sp=60%,TopRisk-K1,0.183000,0.160262,0.208164,1.0452,0.4312,0.9567,0.927,1000
H5,sp=60%,TopRisk-K2,0.194000,0.170681,0.219661,1.0396,0.4436,0.9565,0.925,1000
H5,sp=60%,DiverseRisk-K1,0.155000,0.133893,0.178747,1.0645,0.4721,0.9566,0.922,1000
H5,sp=80%,Base,0.810000,0.784516,0.833111,0.5793,0.1494,0.9234,0.796,1000
H5,sp=80%,WDRO-sampling,0.189000,0.165941,0.214439,1.0412,0.4321,0.9557,0.917,1000
H5,sp=80%,WDRO-inject-K1,0.184000,0.161208,0.209210,1.0213,0.4257,0.9566,0.931,1000
H5,sp=80%,WDRO-inject-K2,0.170000,0.147991,0.194535,1.0361,0.5093,0.9561,0.931,1000
H5,sp=80%,TopRisk-K1,0.175000,0.152705,0.199782,1.0343,0.4587,0.9563,0.933,1000
H5,sp=80%,TopRisk-K2,0.197000,0.173528,0.222791,1.0347,0.4802,0.9560,0.929,1000
H5,sp=80%,DiverseRisk-K1,0.172000,0.149876,0.196634,1.0303,0.4660,0.9562,0.930,1000
