path,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mm_ci_lo,mm_ci_hi,rare_miss_rate,rare_ci_lo,rare_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
Straight,Base,0.566000,0.522216,0.608777,0.757603,0.752842,0.762301,0.852395,0.846589,0.858018,0.8103,0.1849,0.9255,0.833,500
Straight,WDRO-sampling,0.118000,0.092593,0.149233,0.048996,0.046408,0.051720,0.051282,0.047449,0.055407,1.0858,0.6813,0.9605,0.912,500
Straight,WDRO-inject-K1,0.126000,0.099735,0.157968,0.000000,0.000000,0.000154,0.000000,0.000000,0.000326,1.0494,0.6775,0.9603,0.930,500
Straight,WDRO-inject-K2,0.118000,0.092593,0.149233,0.000000,0.000000,0.000152,0.000000,0.000000,0.000323,1.0636,0.6805,0.9599,0.961,500
Straight,TopRisk-K1,0.124000,0.097946,0.155788,0.000000,0.000000,0.000153,0.000000,0.000000,0.000328,1.0516,0.6681,0.9603,0.988,500
Straight,DiverseRisk-K1,0.124000,0.097946,0.155788,0.000000,0.000000,0.000153,0.000000,0.000000,0.000340,1.0462,0.6371,0.9602,1.008,500
Straight,Softmax-tau5,0.136000,0.108715,0.168836,0.000000,0.000000,0.000152,0.000000,0.000000,0.000326,1.0732,0.6209,0.9604,0.986,500
Gentle-S,Base,0.712000,0.670810,0.749957,0.751128,0.745895,0.756289,0.851669,0.845297,0.857823,0.6833,0.1600,0.9486,0.872,500
Gentle-S,WDRO-sampling,0.198000,0.165431,0.235175,0.049575,0.046983,0.052301,0.039862,0.036450,0.043579,1.0285,0.5088,0.9595,1.023,500
Gentle-S,WDRO-inject-K1,0.142000,0.114129,0.175330,0.000000,0.000000,0.000154,0.000000,0.000000,0.000338,1.0489,0.6217,0.9590,1.014,500
