switch_prob,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mm_ci_lo,mm_ci_hi,rare_miss_rate,rare_ci_lo,rare_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
0.02,Base,0.668000,0.625578,0.707860,0.725484,0.720202,0.730703,0.856169,0.851370,0.860837,0.7900,0.1546,0.9323,0.836,500
0.02,WDRO-sampling,0.108000,0.083722,0.138255,0.041217,0.038738,0.043848,0.045167,0.042166,0.048371,1.2125,0.5005,0.9587,0.934,500
0.02,WDRO-inject-K1,0.088000,0.066206,0.116077,0.000000,0.000000,0.000168,0.000000,0.000000,0.000232,1.1863,0.5047,0.9592,0.937,500
0.02,TopRisk-K1,0.088000,0.066206,0.116077,0.000000,0.000000,0.000167,0.000000,0.000000,0.000227,1.1989,0.4439,0.9588,0.965,500
0.02,Softmax-tau5,0.192000,0.159876,0.228821,0.000000,0.000000,0.000159,0.000000,0.000000,0.000211,1.1543,0.2550,0.9575,1.012,500
0.05,Base,0.720000,0.679081,0.757565,0.753208,0.747972,0.758370,0.902373,0.897912,0.906659,0.7309,0.1744,0.9401,0.934,500
0.05,WDRO-sampling,0.114000,0.089036,0.144850,0.039071,0.036660,0.041634,0.043155,0.040063,0.046474,1.1898,0.5042,0.9588,1.102,500
0.05,WDRO-inject-K1,0.088000,0.066206,0.116077,0.000000,0.000000,0.000168,0.000000,0.000000,0.000251,1.1800,0.6105,0.9591,1.089,500
0.05,TopRisk-K1,0.086000,0.064473,0.113840,0.000000,0.000000,0.000166,0.000000,0.000000,0.000248,1.1759,0.4789,0.9588,1.006,500
0.05,Softmax-tau5,0.212000,0.178439,0.249953,0.000000,0.000000,0.000157,0.000000,0.000000,0.000232,1.0912,0.2227,0.9572,1.034,500
0.10,Base,0.778000,0.739529,0.812231,0.718870,0.713342,0.724333,0.823344,0.817073,0.829445,0.6484,0.1565,0.9434,0.940,500
